,date,value,name_B07WR677PG
0,2019-08-23,2500.0,Lunch Bags
1,2019-08-24,2515.0,Lunch Bags
2,2019-08-25,2422.0,Lunch Bags
3,2019-08-26,2841.0,Lunch Bags
4,2019-08-27,2557.0,Lunch Bags
5,2019-08-28,2835.0,Lunch Bags
6,2019-08-29,2794.0,Lunch Bags
7,2019-08-30,2838.0,Lunch Bags
8,2019-08-31,2847.0,Lunch Bags
9,2019-09-01,2963.0,Lunch Bags
10,2019-09-02,3653.0,Lunch Bags
11,2019-09-03,3013.0,Lunch Bags
12,2019-09-04,2777.0,Lunch Bags
13,2019-09-05,2777.0,Lunch Bags
14,2019-09-06,3273.0,Lunch Bags
15,2019-09-07,2906.0,Lunch Bags
16,2019-09-08,3353.0,Lunch Bags
17,2019-09-09,3418.0,Lunch Bags
18,2019-09-10,3332.0,Lunch Bags
19,2019-09-11,3433.0,Lunch Bags
20,2019-09-12,2998.0,Lunch Bags
21,2019-09-13,2374.0,Lunch Bags
22,2019-09-14,2480.0,Lunch Bags
23,2019-09-15,3406.0,Lunch Bags
24,2019-09-16,2899.0,Lunch Bags
25,2019-09-17,2888.0,Lunch Bags
26,2019-09-18,2860.0,Lunch Bags
27,2019-09-19,2563.0,Lunch Bags
28,2019-09-20,2626.0,Lunch Bags
29,2019-09-21,2591.0,Lunch Bags
30,2019-09-22,3040.0,Lunch Bags
31,2019-09-23,3391.0,Lunch Bags
32,2019-09-24,3652.0,Lunch Bags
33,2019-09-25,2711.0,Lunch Bags
34,2019-09-26,3178.0,Lunch Bags
35,2019-09-27,3103.0,Lunch Bags
36,2019-09-28,3690.0,Lunch Bags
37,2019-09-29,3292.0,Lunch Bags
38,2019-09-30,3843.0,Lunch Bags
39,2019-10-01,3409.0,Lunch Bags
40,2019-10-02,3698.0,Lunch Bags
41,2019-10-03,2768.0,Lunch Bags
42,2019-10-04,2820.0,Lunch Bags
43,2019-10-05,3204.0,Lunch Bags
44,2019-10-06,3043.0,Lunch Bags
45,2019-10-07,3021.0,Lunch Bags
46,2019-10-08,4062.0,Lunch Bags
47,2019-10-09,3419.0,Lunch Bags
48,2019-10-10,3618.0,Lunch Bags
49,2019-10-11,3618.0,Lunch Bags
50,2019-10-12,3043.0,Lunch Bags
51,2019-10-13,3749.0,Lunch Bags
52,2019-10-14,2846.0,Lunch Bags
53,2019-10-15,3224.0,Lunch Bags
54,2019-10-16,3752.0,Lunch Bags
55,2019-10-17,4069.0,Lunch Bags
56,2019-10-18,3604.0,Lunch Bags
57,2019-10-19,4005.0,Lunch Bags
58,2019-10-20,3845.0,Lunch Bags
59,2019-10-21,3226.0,Lunch Bags
60,2019-10-22,3742.0,Lunch Bags
61,2019-10-23,3543.0,Lunch Bags
62,2019-10-24,3706.0,Lunch Bags
63,2019-10-25,3884.0,Lunch Bags
64,2019-10-26,3332.0,Lunch Bags
65,2019-10-27,4705.0,Lunch Bags
66,2019-10-28,3580.0,Lunch Bags
67,2019-10-29,3514.0,Lunch Bags
68,2019-10-30,3521.0,Lunch Bags
69,2019-10-31,4037.0,Lunch Bags
70,2019-11-01,2829.0,Lunch Bags
71,2019-11-02,3501.0,Lunch Bags
72,2019-11-03,4115.0,Lunch Bags
73,2019-11-04,3883.0,Lunch Bags
74,2019-11-05,4070.0,Lunch Bags
75,2019-11-06,4072.0,Lunch Bags
76,2019-11-07,4130.0,Lunch Bags
77,2019-11-08,4130.0,Lunch Bags
78,2019-11-09,3385.0,Lunch Bags
79,2019-11-10,3385.0,Lunch Bags
80,2019-11-11,3385.0,Lunch Bags
81,2019-11-12,3385.0,Lunch Bags
82,2019-11-13,3586.0,Lunch Bags
83,2019-11-14,3586.0,Lunch Bags
84,2019-11-15,3738.0,Lunch Bags
85,2019-11-16,3738.0,Lunch Bags
86,2019-11-17,3738.0,Lunch Bags
87,2019-11-18,4379.0,Lunch Bags
88,2019-11-19,4379.0,Lunch Bags
89,2019-11-20,4379.0,Lunch Bags
90,2019-11-21,4125.0,Lunch Bags
91,2019-11-22,4125.0,Lunch Bags
92,2019-11-23,4125.0,Lunch Bags
93,2019-11-24,4125.0,Lunch Bags
94,2019-11-25,4125.0,Lunch Bags
95,2019-11-26,4292.0,Lunch Bags
96,2019-11-27,4336.0,Lunch Bags
97,2019-11-28,4336.0,Lunch Bags
