,date,value,name_B07ZPGP66B
0,2019-10-31,75720.0,Shelf Baskets
1,2019-11-01,62131.0,Shelf Baskets
2,2019-11-02,36716.0,Shelf Baskets
3,2019-11-03,46141.0,Shelf Baskets
4,2019-11-04,58799.0,Shelf Baskets
5,2019-11-05,26333.0,Shelf Baskets
6,2019-11-06,56911.0,Shelf Baskets
7,2019-11-07,47791.0,Shelf Baskets
8,2019-11-08,44709.0,Shelf Baskets
9,2019-11-09,42321.0,Shelf Baskets
10,2019-11-10,62315.0,Shelf Baskets
11,2019-11-11,50034.0,Shelf Baskets
12,2019-11-12,32778.0,Shelf Baskets
13,2019-11-13,37335.0,Shelf Baskets
14,2019-11-14,34149.0,Shelf Baskets
15,2019-11-15,39205.0,Shelf Baskets
16,2019-11-16,39205.0,Shelf Baskets
17,2019-11-17,27839.0,Shelf Baskets
18,2019-11-18,38262.0,Shelf Baskets
19,2019-11-19,59056.0,Shelf Baskets
20,2019-11-20,59056.0,Shelf Baskets
21,2019-11-21,46701.0,Shelf Baskets
22,2019-11-22,46701.0,Shelf Baskets
23,2019-11-23,46701.0,Shelf Baskets
24,2019-11-24,46646.0,Shelf Baskets
25,2019-11-25,46646.0,Shelf Baskets
26,2019-11-26,49238.0,Shelf Baskets
27,2019-11-27,46181.0,Shelf Baskets
28,2019-11-28,46181.0,Shelf Baskets
29,2019-11-29,32351.0,Shelf Baskets
30,2019-11-30,48754.0,Shelf Baskets
31,2019-12-01,48754.0,Shelf Baskets
32,2019-12-02,27189.0,Shelf Baskets
33,2019-12-03,34816.0,Shelf Baskets
34,2019-12-04,34307.0,Shelf Baskets
35,2019-12-05,34307.0,Shelf Baskets
36,2019-12-06,34307.0,Shelf Baskets
37,2019-12-07,47409.0,Shelf Baskets
38,2019-12-08,47409.0,Shelf Baskets
39,2019-12-09,30717.0,Shelf Baskets
40,2019-12-10,33029.0,Shelf Baskets
41,2019-12-11,34746.0,Shelf Baskets
42,2019-12-12,34746.0,Shelf Baskets
43,2019-12-13,34746.0,Shelf Baskets
44,2019-12-14,34746.0,Shelf Baskets
45,2019-12-15,129053.0,Shelf Baskets
46,2019-12-16,129053.0,Shelf Baskets
47,2019-12-17,129053.0,Shelf Baskets
48,2019-12-18,206810.0,Shelf Baskets
49,2019-12-19,206810.0,Shelf Baskets
50,2019-12-20,229960.0,Shelf Baskets
51,2019-12-21,229960.0,Shelf Baskets
52,2019-12-22,229960.0,Shelf Baskets
53,2019-12-23,229960.0,Shelf Baskets
54,2019-12-24,229960.0,Shelf Baskets
55,2019-12-25,229960.0,Shelf Baskets
56,2019-12-26,229960.0,Shelf Baskets
57,2019-12-27,229960.0,Shelf Baskets
58,2019-12-28,229960.0,Shelf Baskets
59,2019-12-29,229960.0,Shelf Baskets
60,2019-12-30,229960.0,Shelf Baskets
61,2019-12-31,229960.0,Shelf Baskets
62,2020-01-01,229960.0,Shelf Baskets
63,2020-01-02,229960.0,Shelf Baskets
64,2020-01-03,229960.0,Shelf Baskets
65,2020-01-04,229960.0,Shelf Baskets
66,2020-01-05,229960.0,Shelf Baskets
67,2020-01-06,229960.0,Shelf Baskets
