,date,value,name_B07GWCDZJC
0,2018-08-31,1223.0,Platters
1,2018-09-01,1556.0,Platters
2,2018-09-02,1741.0,Platters
3,2018-09-03,1733.0,Platters
4,2018-09-04,1928.0,Platters
5,2018-09-05,1377.0,Platters
6,2018-09-06,1584.0,Platters
7,2018-09-07,1688.0,Platters
8,2018-09-08,1698.0,Platters
9,2018-09-09,1579.0,Platters
10,2018-09-10,1721.0,Platters
11,2018-09-11,1410.0,Platters
12,2018-09-12,991.0,Platters
13,2018-09-13,1427.0,Platters
14,2018-09-14,1201.0,Platters
15,2018-09-15,1404.0,Platters
16,2018-09-16,1404.0,Platters
17,2018-09-17,1792.0,Platters
18,2018-09-18,1290.0,Platters
19,2018-09-19,1361.0,Platters
20,2018-09-20,1550.0,Platters
21,2018-09-21,1550.0,Platters
22,2018-09-22,1949.0,Platters
23,2018-09-23,1796.0,Platters
24,2018-09-24,2000.0,Platters
25,2018-09-25,981.0,Platters
26,2018-09-26,1094.0,Platters
27,2018-09-27,1002.0,Platters
28,2018-09-28,1002.0,Platters
29,2018-09-29,1564.0,Platters
30,2018-09-30,1977.0,Platters
31,2018-10-01,1773.0,Platters
32,2018-10-02,1771.0,Platters
33,2018-10-03,1771.0,Platters
34,2018-10-04,1771.0,Platters
35,2018-10-05,2141.0,Platters
36,2018-10-06,3162.0,Platters
37,2018-10-07,3162.0,Platters
38,2018-10-08,3420.0,Platters
39,2018-10-09,3420.0,Platters
40,2018-10-10,2905.0,Platters
41,2018-10-11,2905.0,Platters
42,2018-10-12,2469.0,Platters
43,2018-10-13,2469.0,Platters
44,2018-10-14,2790.0,Platters
45,2018-10-15,2952.0,Platters
46,2018-10-16,3706.0,Platters
47,2018-10-17,5422.0,Platters
48,2018-10-18,5422.0,Platters
49,2018-10-19,5422.0,Platters
50,2018-10-20,5422.0,Platters
51,2018-10-21,5422.0,Platters
52,2018-10-22,5422.0,Platters
53,2018-10-23,1767.0,Platters
54,2018-10-24,1767.0,Platters
55,2018-10-25,1767.0,Platters
56,2018-10-26,1767.0,Platters
57,2018-10-27,1767.0,Platters
58,2018-10-28,4685.0,Platters
59,2018-10-29,4685.0,Platters
60,2018-10-30,4717.0,Platters
61,2018-10-31,4717.0,Platters
62,2018-11-01,4717.0,Platters
63,2018-11-02,4717.0,Platters
64,2018-11-03,4717.0,Platters
65,2018-11-04,4717.0,Platters
66,2018-11-05,4717.0,Platters
67,2018-11-06,4717.0,Platters
68,2018-11-07,4717.0,Platters
69,2018-11-08,2245.0,Platters
70,2018-11-09,2245.0,Platters
71,2018-11-10,2245.0,Platters
72,2018-11-11,2245.0,Platters
73,2018-11-12,2033.0,Platters
74,2018-11-13,2033.0,Platters
75,2018-11-14,1616.0,Platters
76,2018-11-15,1616.0,Platters
77,2018-11-16,1069.0,Platters
78,2018-11-17,1069.0,Platters
79,2018-11-18,1069.0,Platters
