,date,value,name_B06XCGYR89
0,2020-05-24,7360.0,Cups
1,2020-05-25,7360.0,Cups
2,2020-05-26,5770.0,Cups
3,2020-05-27,5269.0,Cups
4,2020-05-28,5269.0,Cups
5,2020-05-29,6221.0,Cups
6,2020-05-30,6221.0,Cups
7,2020-05-31,6677.0,Cups
8,2020-06-01,5788.0,Cups
9,2020-06-02,6176.0,Cups
10,2020-06-03,6176.0,Cups
11,2020-06-04,5725.0,Cups
12,2020-06-05,5725.0,Cups
13,2020-06-06,6664.0,Cups
14,2020-06-07,6664.0,Cups
15,2020-06-08,5408.0,Cups
16,2020-06-09,5408.0,Cups
17,2020-06-10,6006.0,Cups
18,2020-06-11,6006.0,Cups
19,2020-06-12,5589.0,Cups
20,2020-06-13,5362.0,Cups
21,2020-06-14,5362.0,Cups
22,2020-06-15,5727.0,Cups
23,2020-06-16,5727.0,Cups
24,2020-06-17,5265.0,Cups
25,2020-06-18,5265.0,Cups
26,2020-06-19,6150.0,Cups
27,2020-06-20,6150.0,Cups
28,2020-06-21,6737.0,Cups
29,2020-06-22,6201.0,Cups
30,2020-06-23,7100.0,Cups
31,2020-06-24,6611.0,Cups
32,2020-06-25,5775.0,Cups
33,2020-06-26,5775.0,Cups
34,2020-06-27,6849.0,Cups
35,2020-06-28,6849.0,Cups
36,2020-06-29,4978.0,Cups
37,2020-06-30,4978.0,Cups
38,2020-07-01,5724.0,Cups
39,2020-07-02,5724.0,Cups
40,2020-07-03,4802.0,Cups
41,2020-07-04,4933.0,Cups
42,2020-07-05,4933.0,Cups
43,2020-07-06,4917.0,Cups
44,2020-07-07,4917.0,Cups
45,2020-07-08,4559.0,Cups
46,2020-07-09,4020.0,Cups
47,2020-07-10,4020.0,Cups
48,2020-07-11,4678.0,Cups
49,2020-07-12,4882.0,Cups
50,2020-07-13,4228.0,Cups
51,2020-07-14,4537.0,Cups
52,2020-07-15,4537.0,Cups
53,2020-07-16,5610.0,Cups
54,2020-07-17,6510.0,Cups
55,2020-07-18,6510.0,Cups
56,2020-07-19,5185.0,Cups
57,2020-07-20,5430.0,Cups
58,2020-07-21,5430.0,Cups
59,2020-07-22,5328.0,Cups
60,2020-07-23,4503.0,Cups
61,2020-07-24,4503.0,Cups
62,2020-07-25,6349.0,Cups
63,2020-07-26,6349.0,Cups
64,2020-07-27,5671.0,Cups
65,2020-07-28,5671.0,Cups
66,2020-07-29,4906.0,Cups
