,date,value,name_B07K9LT2NL
0,2019-05-20,4317.0,Shade Cloth
1,2019-05-21,4317.0,Shade Cloth
2,2019-05-22,4761.0,Shade Cloth
3,2019-05-23,6287.0,Shade Cloth
4,2019-05-24,5671.0,Shade Cloth
5,2019-05-25,5671.0,Shade Cloth
6,2019-05-26,3489.0,Shade Cloth
7,2019-05-27,3688.0,Shade Cloth
8,2019-05-28,3688.0,Shade Cloth
9,2019-05-29,4750.0,Shade Cloth
10,2019-05-30,4693.0,Shade Cloth
11,2019-05-31,4693.0,Shade Cloth
12,2019-06-01,4693.0,Shade Cloth
13,2019-06-02,4330.0,Shade Cloth
14,2019-06-03,4330.0,Shade Cloth
15,2019-06-04,4330.0,Shade Cloth
16,2019-06-05,4330.0,Shade Cloth
17,2019-06-06,5174.0,Shade Cloth
18,2019-06-07,5773.0,Shade Cloth
19,2019-06-08,5773.0,Shade Cloth
20,2019-06-09,6453.0,Shade Cloth
21,2019-06-10,6453.0,Shade Cloth
22,2019-06-11,5188.0,Shade Cloth
23,2019-06-12,5188.0,Shade Cloth
24,2019-06-13,5188.0,Shade Cloth
25,2019-06-14,5737.0,Shade Cloth
26,2019-06-15,5737.0,Shade Cloth
27,2019-06-16,4941.0,Shade Cloth
28,2019-06-17,4941.0,Shade Cloth
29,2019-06-18,4848.0,Shade Cloth
30,2019-06-19,4848.0,Shade Cloth
31,2019-06-20,4848.0,Shade Cloth
32,2019-06-21,4848.0,Shade Cloth
33,2019-06-22,5787.0,Shade Cloth
34,2019-06-23,5787.0,Shade Cloth
35,2019-06-24,5787.0,Shade Cloth
36,2019-06-25,5787.0,Shade Cloth
37,2019-06-26,5787.0,Shade Cloth
38,2019-06-27,4392.0,Shade Cloth
39,2019-06-28,3769.0,Shade Cloth
40,2019-06-29,3769.0,Shade Cloth
41,2019-06-30,3769.0,Shade Cloth
42,2019-07-01,3236.0,Shade Cloth
43,2019-07-02,3236.0,Shade Cloth
44,2019-07-03,3236.0,Shade Cloth
45,2019-07-04,4962.0,Shade Cloth
46,2019-07-05,4962.0,Shade Cloth
47,2019-07-06,4962.0,Shade Cloth
48,2019-07-07,4962.0,Shade Cloth
49,2019-07-08,4265.0,Shade Cloth
50,2019-07-09,4066.0,Shade Cloth
51,2019-07-10,4066.0,Shade Cloth
52,2019-07-11,4066.0,Shade Cloth
53,2019-07-12,4066.0,Shade Cloth
54,2019-07-13,4066.0,Shade Cloth
55,2019-07-14,4066.0,Shade Cloth
56,2019-07-15,4066.0,Shade Cloth
57,2019-07-16,4066.0,Shade Cloth
58,2019-07-17,4066.0,Shade Cloth
59,2019-07-18,4066.0,Shade Cloth
60,2019-07-19,4379.0,Shade Cloth
61,2019-07-20,4379.0,Shade Cloth
62,2019-07-21,4379.0,Shade Cloth
63,2019-07-22,4379.0,Shade Cloth
64,2019-07-23,4379.0,Shade Cloth
65,2019-07-24,4379.0,Shade Cloth
66,2019-07-25,4379.0,Shade Cloth
67,2019-07-26,4379.0,Shade Cloth
68,2019-07-27,4583.0,Shade Cloth
69,2019-07-28,4583.0,Shade Cloth
70,2019-07-29,4583.0,Shade Cloth
71,2019-07-30,4583.0,Shade Cloth
72,2019-07-31,4583.0,Shade Cloth
73,2019-08-01,4583.0,Shade Cloth
74,2019-08-02,4583.0,Shade Cloth
75,2019-08-03,4583.0,Shade Cloth
76,2019-08-04,4583.0,Shade Cloth
77,2019-08-05,4583.0,Shade Cloth
78,2019-08-06,6213.0,Shade Cloth
79,2019-08-07,6213.0,Shade Cloth
80,2019-08-08,8857.0,Shade Cloth
81,2019-08-09,8857.0,Shade Cloth
82,2019-08-10,8857.0,Shade Cloth
83,2019-08-11,8857.0,Shade Cloth
84,2019-08-12,9310.0,Shade Cloth
85,2019-08-13,9310.0,Shade Cloth
86,2019-08-14,7632.0,Shade Cloth
87,2019-08-15,7412.0,Shade Cloth
88,2019-08-16,7412.0,Shade Cloth
89,2019-08-17,7412.0,Shade Cloth
90,2019-08-18,4089.0,Shade Cloth
91,2019-08-19,4089.0,Shade Cloth
92,2019-08-20,4089.0,Shade Cloth
93,2019-08-21,6476.0,Shade Cloth
94,2019-08-22,6476.0,Shade Cloth
95,2019-08-23,6476.0,Shade Cloth
96,2019-08-24,7783.0,Shade Cloth
97,2019-08-25,7783.0,Shade Cloth
98,2019-08-26,13892.0,Shade Cloth
99,2019-08-27,13892.0,Shade Cloth
100,2019-08-28,13892.0,Shade Cloth
101,2019-08-29,13892.0,Shade Cloth
102,2019-08-30,13892.0,Shade Cloth
103,2019-08-31,13892.0,Shade Cloth
104,2019-09-01,13892.0,Shade Cloth
105,2019-09-02,13892.0,Shade Cloth
106,2019-09-03,13892.0,Shade Cloth
107,2019-09-04,13892.0,Shade Cloth
108,2019-09-05,13892.0,Shade Cloth
109,2019-09-06,13892.0,Shade Cloth
110,2019-09-07,13892.0,Shade Cloth
111,2019-09-08,13892.0,Shade Cloth
112,2019-09-09,13892.0,Shade Cloth
113,2019-09-10,6459.0,Shade Cloth
114,2019-09-11,6459.0,Shade Cloth
115,2019-09-12,6459.0,Shade Cloth
116,2019-09-13,16430.0,Shade Cloth
117,2019-09-14,16430.0,Shade Cloth
118,2019-09-15,16430.0,Shade Cloth
119,2019-09-16,16430.0,Shade Cloth
120,2019-09-17,16430.0,Shade Cloth
121,2019-09-18,16430.0,Shade Cloth
122,2019-09-19,16430.0,Shade Cloth
123,2019-09-20,16430.0,Shade Cloth
124,2019-09-21,16430.0,Shade Cloth
125,2019-09-22,16143.0,Shade Cloth
126,2019-09-23,16143.0,Shade Cloth
127,2019-09-24,16143.0,Shade Cloth
128,2019-09-25,16143.0,Shade Cloth
129,2019-09-26,16143.0,Shade Cloth
130,2019-09-27,16143.0,Shade Cloth
131,2019-09-28,16143.0,Shade Cloth
132,2019-09-29,16143.0,Shade Cloth
133,2019-09-30,16143.0,Shade Cloth
134,2019-10-01,16143.0,Shade Cloth
135,2019-10-02,16143.0,Shade Cloth
136,2019-10-03,16143.0,Shade Cloth
137,2019-10-04,16143.0,Shade Cloth
138,2019-10-05,11018.0,Shade Cloth
139,2019-10-06,11018.0,Shade Cloth
140,2019-10-07,11018.0,Shade Cloth
141,2019-10-08,11018.0,Shade Cloth
142,2019-10-09,11018.0,Shade Cloth
143,2019-10-10,11018.0,Shade Cloth
144,2019-10-11,11018.0,Shade Cloth
145,2019-10-12,11018.0,Shade Cloth
146,2019-10-13,25283.0,Shade Cloth
147,2019-10-14,31375.0,Shade Cloth
148,2019-10-15,31375.0,Shade Cloth
149,2019-10-16,31375.0,Shade Cloth
150,2019-10-17,31375.0,Shade Cloth
151,2019-10-18,31375.0,Shade Cloth
152,2019-10-19,31375.0,Shade Cloth
153,2019-10-20,31375.0,Shade Cloth
154,2019-10-21,31375.0,Shade Cloth
155,2019-10-22,31375.0,Shade Cloth
156,2019-10-23,31375.0,Shade Cloth
157,2019-10-24,27010.0,Shade Cloth
158,2019-10-25,27010.0,Shade Cloth
159,2019-10-26,15108.0,Shade Cloth
160,2019-10-27,15108.0,Shade Cloth
161,2019-10-28,15108.0,Shade Cloth
162,2019-10-29,15108.0,Shade Cloth
163,2019-10-30,15108.0,Shade Cloth
164,2019-10-31,15108.0,Shade Cloth
165,2019-11-01,15108.0,Shade Cloth
166,2019-11-02,15108.0,Shade Cloth
167,2019-11-03,15108.0,Shade Cloth
168,2019-11-04,15108.0,Shade Cloth
169,2019-11-05,17164.0,Shade Cloth
170,2019-11-06,17164.0,Shade Cloth
171,2019-11-07,17164.0,Shade Cloth
172,2019-11-08,17164.0,Shade Cloth
173,2019-11-09,24033.0,Shade Cloth
174,2019-11-10,24033.0,Shade Cloth
175,2019-11-11,34829.0,Shade Cloth
176,2019-11-12,34829.0,Shade Cloth
177,2019-11-13,34829.0,Shade Cloth
178,2019-11-14,34829.0,Shade Cloth
179,2019-11-15,34829.0,Shade Cloth
180,2019-11-16,34829.0,Shade Cloth
181,2019-11-17,34829.0,Shade Cloth
182,2019-11-18,34829.0,Shade Cloth
183,2019-11-19,34829.0,Shade Cloth
184,2019-11-20,42361.0,Shade Cloth
185,2019-11-21,42361.0,Shade Cloth
186,2019-11-22,42361.0,Shade Cloth
187,2019-11-23,42361.0,Shade Cloth
188,2019-11-24,42361.0,Shade Cloth
