,date,value,name_B084RBSB9J
0,2020-05-24,4655.0,Astaxanthin
1,2020-05-25,4655.0,Astaxanthin
2,2020-05-26,4305.0,Astaxanthin
3,2020-05-27,4305.0,Astaxanthin
4,2020-05-28,4466.0,Astaxanthin
5,2020-05-29,4466.0,Astaxanthin
6,2020-05-30,4466.0,Astaxanthin
7,2020-05-31,5592.0,Astaxanthin
8,2020-06-01,1737.0,Astaxanthin
9,2020-06-02,1737.0,Astaxanthin
10,2020-06-03,1737.0,Astaxanthin
11,2020-06-04,3517.0,Astaxanthin
12,2020-06-05,3517.0,Astaxanthin
13,2020-06-06,3517.0,Astaxanthin
14,2020-06-07,3517.0,Astaxanthin
15,2020-06-08,1147.0,Astaxanthin
16,2020-06-09,1147.0,Astaxanthin
17,2020-06-10,1147.0,Astaxanthin
18,2020-06-11,1661.0,Astaxanthin
19,2020-06-12,1842.0,Astaxanthin
20,2020-06-13,2067.0,Astaxanthin
21,2020-06-14,2067.0,Astaxanthin
22,2020-06-15,2141.0,Astaxanthin
23,2020-06-16,2141.0,Astaxanthin
24,2020-06-17,2141.0,Astaxanthin
25,2020-06-18,1928.0,Astaxanthin
26,2020-06-19,1928.0,Astaxanthin
27,2020-06-20,1928.0,Astaxanthin
28,2020-06-21,3019.0,Astaxanthin
29,2020-06-22,3019.0,Astaxanthin
30,2020-06-23,3022.0,Astaxanthin
31,2020-06-24,3022.0,Astaxanthin
32,2020-06-25,3022.0,Astaxanthin
33,2020-06-26,2678.0,Astaxanthin
34,2020-06-27,3016.0,Astaxanthin
35,2020-06-28,3016.0,Astaxanthin
36,2020-06-29,3067.0,Astaxanthin
37,2020-06-30,3067.0,Astaxanthin
38,2020-07-01,3067.0,Astaxanthin
39,2020-07-02,2647.0,Astaxanthin
40,2020-07-03,2918.0,Astaxanthin
41,2020-07-04,2918.0,Astaxanthin
42,2020-07-05,2918.0,Astaxanthin
43,2020-07-06,2033.0,Astaxanthin
44,2020-07-07,2033.0,Astaxanthin
45,2020-07-08,3115.0,Astaxanthin
46,2020-07-09,2815.0,Astaxanthin
47,2020-07-10,2815.0,Astaxanthin
48,2020-07-11,2815.0,Astaxanthin
49,2020-07-12,2928.0,Astaxanthin
50,2020-07-13,2579.0,Astaxanthin
51,2020-07-14,2742.0,Astaxanthin
52,2020-07-15,2742.0,Astaxanthin
53,2020-07-16,2742.0,Astaxanthin
54,2020-07-17,2673.0,Astaxanthin
55,2020-07-18,2673.0,Astaxanthin
56,2020-07-19,2673.0,Astaxanthin
57,2020-07-20,2630.0,Astaxanthin
58,2020-07-21,2645.0,Astaxanthin
59,2020-07-22,2645.0,Astaxanthin
60,2020-07-23,2484.0,Astaxanthin
61,2020-07-24,2484.0,Astaxanthin
62,2020-07-25,2750.0,Astaxanthin
63,2020-07-26,2750.0,Astaxanthin
64,2020-07-27,2750.0,Astaxanthin
65,2020-07-28,2738.0,Astaxanthin
66,2020-07-29,2738.0,Astaxanthin
67,2020-07-30,2933.0,Astaxanthin
68,2020-07-31,2757.0,Astaxanthin
69,2020-08-01,3030.0,Astaxanthin
70,2020-08-02,2947.0,Astaxanthin
71,2020-08-03,2935.0,Astaxanthin
72,2020-08-04,2977.0,Astaxanthin
73,2020-08-05,2977.0,Astaxanthin
74,2020-08-06,2977.0,Astaxanthin
75,2020-08-07,3099.0,Astaxanthin
76,2020-08-08,3099.0,Astaxanthin
77,2020-08-09,3099.0,Astaxanthin
78,2020-08-10,2760.0,Astaxanthin
79,2020-08-11,2793.0,Astaxanthin
80,2020-08-12,2793.0,Astaxanthin
81,2020-08-13,2843.0,Astaxanthin
82,2020-08-14,2843.0,Astaxanthin
83,2020-08-15,3112.0,Astaxanthin
84,2020-08-16,3112.0,Astaxanthin
85,2020-08-17,2505.0,Astaxanthin
86,2020-08-18,2735.0,Astaxanthin
87,2020-08-19,2735.0,Astaxanthin
88,2020-08-20,2991.0,Astaxanthin
89,2020-08-21,2991.0,Astaxanthin
90,2020-08-22,2991.0,Astaxanthin
91,2020-08-23,3048.0,Astaxanthin
92,2020-08-24,3048.0,Astaxanthin
93,2020-08-25,2255.0,Astaxanthin
94,2020-08-26,2255.0,Astaxanthin
95,2020-08-27,2677.0,Astaxanthin
96,2020-08-28,2677.0,Astaxanthin
