,date,value,name_B07ZPC9LQ4
0,2019-11-02,11586.0,Cooking Utensils
1,2019-11-03,10951.0,Cooking Utensils
2,2019-11-04,8641.0,Cooking Utensils
3,2019-11-05,8671.0,Cooking Utensils
4,2019-11-06,8482.0,Cooking Utensils
5,2019-11-07,9814.0,Cooking Utensils
6,2019-11-08,9029.0,Cooking Utensils
7,2019-11-09,10318.0,Cooking Utensils
8,2019-11-10,12219.0,Cooking Utensils
9,2019-11-11,13647.0,Cooking Utensils
10,2019-11-12,11978.0,Cooking Utensils
11,2019-11-13,9654.0,Cooking Utensils
12,2019-11-14,9717.0,Cooking Utensils
13,2019-11-15,8949.0,Cooking Utensils
14,2019-11-16,8521.0,Cooking Utensils
15,2019-11-17,8039.0,Cooking Utensils
16,2019-11-18,9105.0,Cooking Utensils
17,2019-11-19,9105.0,Cooking Utensils
18,2019-11-20,10631.0,Cooking Utensils
19,2019-11-21,12885.0,Cooking Utensils
20,2019-11-22,12885.0,Cooking Utensils
21,2019-11-23,12885.0,Cooking Utensils
22,2019-11-24,-1.0,Cooking Utensils
23,2019-11-25,-1.0,Cooking Utensils
24,2019-11-26,-1.0,Cooking Utensils
25,2019-11-27,-1.0,Cooking Utensils
26,2019-11-28,-1.0,Cooking Utensils
27,2019-11-29,-1.0,Cooking Utensils
28,2019-11-30,-1.0,Cooking Utensils
29,2019-12-01,-1.0,Cooking Utensils
30,2019-12-02,-1.0,Cooking Utensils
31,2019-12-03,-1.0,Cooking Utensils
32,2019-12-04,-1.0,Cooking Utensils
33,2019-12-05,-1.0,Cooking Utensils
34,2019-12-06,-1.0,Cooking Utensils
35,2019-12-07,-1.0,Cooking Utensils
36,2019-12-08,-1.0,Cooking Utensils
37,2019-12-09,-1.0,Cooking Utensils
38,2019-12-10,-1.0,Cooking Utensils
39,2019-12-11,-1.0,Cooking Utensils
40,2019-12-12,-1.0,Cooking Utensils
41,2019-12-13,-1.0,Cooking Utensils
42,2019-12-14,-1.0,Cooking Utensils
43,2019-12-15,-1.0,Cooking Utensils
44,2019-12-16,-1.0,Cooking Utensils
45,2019-12-17,-1.0,Cooking Utensils
46,2019-12-18,-1.0,Cooking Utensils
47,2019-12-19,12924.0,Cooking Utensils
48,2019-12-20,11260.0,Cooking Utensils
49,2019-12-21,11260.0,Cooking Utensils
50,2019-12-22,11260.0,Cooking Utensils
51,2019-12-23,11260.0,Cooking Utensils
52,2019-12-24,11193.0,Cooking Utensils
53,2019-12-25,11193.0,Cooking Utensils
54,2019-12-26,11193.0,Cooking Utensils
55,2019-12-27,16731.0,Cooking Utensils
56,2019-12-28,16731.0,Cooking Utensils
57,2019-12-29,13453.0,Cooking Utensils
58,2019-12-30,13453.0,Cooking Utensils
59,2019-12-31,13453.0,Cooking Utensils
60,2020-01-01,13453.0,Cooking Utensils
61,2020-01-02,13453.0,Cooking Utensils
62,2020-01-03,13453.0,Cooking Utensils
63,2020-01-04,14100.0,Cooking Utensils
64,2020-01-05,14100.0,Cooking Utensils
65,2020-01-06,14100.0,Cooking Utensils
66,2020-01-07,14100.0,Cooking Utensils
67,2020-01-08,11322.0,Cooking Utensils
68,2020-01-09,11593.0,Cooking Utensils
69,2020-01-10,11593.0,Cooking Utensils
70,2020-01-11,7613.0,Cooking Utensils
71,2020-01-12,7613.0,Cooking Utensils
72,2020-01-13,7613.0,Cooking Utensils
73,2020-01-14,9706.0,Cooking Utensils
74,2020-01-15,9935.0,Cooking Utensils
75,2020-01-16,9935.0,Cooking Utensils
76,2020-01-17,9935.0,Cooking Utensils
77,2020-01-18,9210.0,Cooking Utensils
78,2020-01-19,9210.0,Cooking Utensils
79,2020-01-20,14717.0,Cooking Utensils
80,2020-01-21,14717.0,Cooking Utensils
81,2020-01-22,11977.0,Cooking Utensils
82,2020-01-23,11977.0,Cooking Utensils
83,2020-01-24,13133.0,Cooking Utensils
84,2020-01-25,13133.0,Cooking Utensils
85,2020-01-26,13133.0,Cooking Utensils
86,2020-01-27,13133.0,Cooking Utensils
87,2020-01-28,13133.0,Cooking Utensils
88,2020-01-29,9206.0,Cooking Utensils
89,2020-01-30,9206.0,Cooking Utensils
90,2020-01-31,9206.0,Cooking Utensils
91,2020-02-01,9206.0,Cooking Utensils
92,2020-02-02,8945.0,Cooking Utensils
93,2020-02-03,8945.0,Cooking Utensils
94,2020-02-04,8945.0,Cooking Utensils
95,2020-02-05,8945.0,Cooking Utensils
96,2020-02-06,8945.0,Cooking Utensils
97,2020-02-07,9822.0,Cooking Utensils
98,2020-02-08,9822.0,Cooking Utensils
99,2020-02-09,9822.0,Cooking Utensils
100,2020-02-10,9822.0,Cooking Utensils
101,2020-02-11,10943.0,Cooking Utensils
102,2020-02-12,6435.0,Cooking Utensils
103,2020-02-13,8361.0,Cooking Utensils
104,2020-02-14,7716.0,Cooking Utensils
105,2020-02-15,7716.0,Cooking Utensils
106,2020-02-16,7716.0,Cooking Utensils
107,2020-02-17,7716.0,Cooking Utensils
108,2020-02-18,7782.0,Cooking Utensils
109,2020-02-19,7782.0,Cooking Utensils
110,2020-02-20,7782.0,Cooking Utensils
111,2020-02-21,7782.0,Cooking Utensils
112,2020-02-22,7782.0,Cooking Utensils
113,2020-02-23,2378.0,Cooking Utensils
114,2020-02-24,2378.0,Cooking Utensils
115,2020-02-25,6923.0,Cooking Utensils
116,2020-02-26,6923.0,Cooking Utensils
117,2020-02-27,6923.0,Cooking Utensils
118,2020-02-28,6923.0,Cooking Utensils
119,2020-02-29,6409.0,Cooking Utensils
120,2020-03-01,6409.0,Cooking Utensils
121,2020-03-02,6409.0,Cooking Utensils
122,2020-03-03,7641.0,Cooking Utensils
123,2020-03-04,5439.0,Cooking Utensils
124,2020-03-05,5439.0,Cooking Utensils
125,2020-03-06,5439.0,Cooking Utensils
126,2020-03-07,5299.0,Cooking Utensils
127,2020-03-08,5299.0,Cooking Utensils
128,2020-03-09,5299.0,Cooking Utensils
129,2020-03-10,5299.0,Cooking Utensils
130,2020-03-11,5299.0,Cooking Utensils
131,2020-03-12,-1.0,Cooking Utensils
