,date,value,name_B095JP1XNZ
0,2021-05-26,266.0,Stuffed Animals & Teddy Bears
1,2021-05-27,297.0,Stuffed Animals & Teddy Bears
2,2021-05-28,277.0,Stuffed Animals & Teddy Bears
3,2021-05-29,277.0,Stuffed Animals & Teddy Bears
4,2021-05-30,188.0,Stuffed Animals & Teddy Bears
5,2021-05-31,188.0,Stuffed Animals & Teddy Bears
6,2021-06-01,193.0,Stuffed Animals & Teddy Bears
7,2021-06-02,210.0,Stuffed Animals & Teddy Bears
8,2021-06-03,252.0,Stuffed Animals & Teddy Bears
9,2021-06-04,252.0,Stuffed Animals & Teddy Bears
10,2021-06-05,267.0,Stuffed Animals & Teddy Bears
11,2021-06-06,267.0,Stuffed Animals & Teddy Bears
12,2021-06-07,303.0,Stuffed Animals & Teddy Bears
13,2021-06-08,303.0,Stuffed Animals & Teddy Bears
14,2021-06-09,263.0,Stuffed Animals & Teddy Bears
15,2021-06-10,258.0,Stuffed Animals & Teddy Bears
16,2021-06-11,258.0,Stuffed Animals & Teddy Bears
17,2021-06-12,281.0,Stuffed Animals & Teddy Bears
18,2021-06-13,281.0,Stuffed Animals & Teddy Bears
19,2021-06-14,257.0,Stuffed Animals & Teddy Bears
20,2021-06-15,267.0,Stuffed Animals & Teddy Bears
21,2021-06-16,251.0,Stuffed Animals & Teddy Bears
22,2021-06-17,260.0,Stuffed Animals & Teddy Bears
23,2021-06-18,260.0,Stuffed Animals & Teddy Bears
24,2021-06-19,158.0,Stuffed Animals & Teddy Bears
25,2021-06-20,158.0,Stuffed Animals & Teddy Bears
26,2021-06-21,273.0,Stuffed Animals & Teddy Bears
27,2021-06-22,719.0,Stuffed Animals & Teddy Bears
28,2021-06-23,719.0,Stuffed Animals & Teddy Bears
29,2021-06-24,197.0,Stuffed Animals & Teddy Bears
30,2021-06-25,189.0,Stuffed Animals & Teddy Bears
31,2021-06-26,178.0,Stuffed Animals & Teddy Bears
32,2021-06-27,197.0,Stuffed Animals & Teddy Bears
33,2021-06-28,248.0,Stuffed Animals & Teddy Bears
34,2021-06-29,236.0,Stuffed Animals & Teddy Bears
35,2021-06-30,222.0,Stuffed Animals & Teddy Bears
36,2021-07-01,222.0,Stuffed Animals & Teddy Bears
37,2021-07-02,282.0,Stuffed Animals & Teddy Bears
38,2021-07-03,282.0,Stuffed Animals & Teddy Bears
39,2021-07-04,225.0,Stuffed Animals & Teddy Bears
40,2021-07-05,225.0,Stuffed Animals & Teddy Bears
41,2021-07-06,253.0,Stuffed Animals & Teddy Bears
42,2021-07-07,211.0,Stuffed Animals & Teddy Bears
43,2021-07-08,211.0,Stuffed Animals & Teddy Bears
44,2021-07-09,211.0,Stuffed Animals & Teddy Bears
45,2021-07-10,382.0,Stuffed Animals & Teddy Bears
46,2021-07-11,309.0,Stuffed Animals & Teddy Bears
