,date,value,name_B08PHWG1V5
127,2021-04-10,59.0,Canvas Boards & Panels
128,2021-04-11,56.0,Canvas Boards & Panels
129,2021-04-12,56.0,Canvas Boards & Panels
130,2021-04-13,55.0,Canvas Boards & Panels
131,2021-04-14,55.0,Canvas Boards & Panels
132,2021-04-15,59.0,Canvas Boards & Panels
133,2021-04-16,59.0,Canvas Boards & Panels
134,2021-04-17,57.0,Canvas Boards & Panels
135,2021-04-18,57.0,Canvas Boards & Panels
136,2021-04-19,74.0,Canvas Boards & Panels
137,2021-04-20,69.0,Canvas Boards & Panels
138,2021-04-21,61.0,Canvas Boards & Panels
139,2021-04-22,61.0,Canvas Boards & Panels
140,2021-04-23,61.0,Canvas Boards & Panels
141,2021-04-24,65.0,Canvas Boards & Panels
142,2021-04-25,69.0,Canvas Boards & Panels
143,2021-04-26,69.0,Canvas Boards & Panels
144,2021-04-27,71.0,Canvas Boards & Panels
145,2021-04-28,71.0,Canvas Boards & Panels
146,2021-04-29,56.0,Canvas Boards & Panels
147,2021-04-30,56.0,Canvas Boards & Panels
148,2021-05-01,56.0,Canvas Boards & Panels
149,2021-05-02,65.0,Canvas Boards & Panels
150,2021-05-03,57.0,Canvas Boards & Panels
151,2021-05-04,60.0,Canvas Boards & Panels
152,2021-05-05,60.0,Canvas Boards & Panels
153,2021-05-06,74.0,Canvas Boards & Panels
154,2021-05-07,74.0,Canvas Boards & Panels
155,2021-05-08,70.0,Canvas Boards & Panels
156,2021-05-09,70.0,Canvas Boards & Panels
157,2021-05-10,87.0,Canvas Boards & Panels
158,2021-05-11,83.0,Canvas Boards & Panels
159,2021-05-12,87.0,Canvas Boards & Panels
160,2021-05-13,117.0,Canvas Boards & Panels
161,2021-05-14,104.0,Canvas Boards & Panels
162,2021-05-15,104.0,Canvas Boards & Panels
163,2021-05-16,131.0,Canvas Boards & Panels
164,2021-05-17,131.0,Canvas Boards & Panels
165,2021-05-18,130.0,Canvas Boards & Panels
166,2021-05-19,130.0,Canvas Boards & Panels
167,2021-05-20,125.0,Canvas Boards & Panels
168,2021-05-21,114.0,Canvas Boards & Panels
169,2021-05-22,105.0,Canvas Boards & Panels
170,2021-05-23,105.0,Canvas Boards & Panels
171,2021-05-24,147.0,Canvas Boards & Panels
172,2021-05-25,147.0,Canvas Boards & Panels
173,2021-05-26,118.0,Canvas Boards & Panels
174,2021-05-27,118.0,Canvas Boards & Panels
175,2021-05-28,96.0,Canvas Boards & Panels
176,2021-05-29,103.0,Canvas Boards & Panels
177,2021-05-30,99.0,Canvas Boards & Panels
178,2021-05-31,99.0,Canvas Boards & Panels
179,2021-06-01,100.0,Canvas Boards & Panels
180,2021-06-02,69.0,Canvas Boards & Panels
181,2021-06-03,69.0,Canvas Boards & Panels
182,2021-06-04,69.0,Canvas Boards & Panels
183,2021-06-05,72.0,Canvas Boards & Panels
184,2021-06-06,88.0,Canvas Boards & Panels
185,2021-06-07,88.0,Canvas Boards & Panels
186,2021-06-08,88.0,Canvas Boards & Panels
187,2021-06-09,76.0,Canvas Boards & Panels
188,2021-06-10,76.0,Canvas Boards & Panels
189,2021-06-11,81.0,Canvas Boards & Panels
190,2021-06-12,80.0,Canvas Boards & Panels
191,2021-06-13,80.0,Canvas Boards & Panels
192,2021-06-14,79.0,Canvas Boards & Panels
193,2021-06-15,59.0,Canvas Boards & Panels
194,2021-06-16,54.0,Canvas Boards & Panels
195,2021-06-17,55.0,Canvas Boards & Panels
196,2021-06-18,56.0,Canvas Boards & Panels
197,2021-06-19,56.0,Canvas Boards & Panels
198,2021-06-20,69.0,Canvas Boards & Panels
199,2021-06-21,69.0,Canvas Boards & Panels
200,2021-06-22,196.0,Canvas Boards & Panels
201,2021-06-23,175.0,Canvas Boards & Panels
202,2021-06-24,113.0,Canvas Boards & Panels
203,2021-06-25,83.0,Canvas Boards & Panels
204,2021-06-26,83.0,Canvas Boards & Panels
205,2021-06-27,85.0,Canvas Boards & Panels
206,2021-06-28,85.0,Canvas Boards & Panels
207,2021-06-29,71.0,Canvas Boards & Panels
208,2021-06-30,87.0,Canvas Boards & Panels
209,2021-07-01,81.0,Canvas Boards & Panels
210,2021-07-02,86.0,Canvas Boards & Panels
211,2021-07-03,76.0,Canvas Boards & Panels
212,2021-07-04,73.0,Canvas Boards & Panels
213,2021-07-05,74.0,Canvas Boards & Panels
214,2021-07-06,74.0,Canvas Boards & Panels
215,2021-07-07,94.0,Canvas Boards & Panels
216,2021-07-08,99.0,Canvas Boards & Panels
217,2021-07-09,92.0,Canvas Boards & Panels
218,2021-07-10,92.0,Canvas Boards & Panels
219,2021-07-11,93.0,Canvas Boards & Panels
