,date,value,name_B08929NHCW
167,2020-11-10,389.0,Probiotics
168,2020-11-11,447.0,Probiotics
169,2020-11-12,384.0,Probiotics
170,2020-11-13,384.0,Probiotics
171,2020-11-14,414.0,Probiotics
172,2020-11-15,471.0,Probiotics
173,2020-11-16,471.0,Probiotics
174,2020-11-17,471.0,Probiotics
175,2020-11-18,406.0,Probiotics
176,2020-11-19,406.0,Probiotics
177,2020-11-20,442.0,Probiotics
178,2020-11-21,442.0,Probiotics
179,2020-11-22,442.0,Probiotics
180,2020-11-23,505.0,Probiotics
181,2020-11-24,505.0,Probiotics
182,2020-11-25,516.0,Probiotics
183,2020-11-26,546.0,Probiotics
184,2020-11-27,530.0,Probiotics
185,2020-11-28,530.0,Probiotics
186,2020-11-29,558.0,Probiotics
187,2020-11-30,558.0,Probiotics
188,2020-12-01,558.0,Probiotics
189,2020-12-02,577.0,Probiotics
190,2020-12-03,577.0,Probiotics
191,2020-12-04,577.0,Probiotics
192,2020-12-05,500.0,Probiotics
193,2020-12-06,500.0,Probiotics
194,2020-12-07,552.0,Probiotics
195,2020-12-08,495.0,Probiotics
196,2020-12-09,495.0,Probiotics
197,2020-12-10,520.0,Probiotics
198,2020-12-11,520.0,Probiotics
199,2020-12-12,520.0,Probiotics
200,2020-12-13,547.0,Probiotics
201,2020-12-14,547.0,Probiotics
202,2020-12-15,505.0,Probiotics
203,2020-12-16,505.0,Probiotics
204,2020-12-17,505.0,Probiotics
205,2020-12-18,545.0,Probiotics
206,2020-12-19,513.0,Probiotics
207,2020-12-20,513.0,Probiotics
208,2020-12-21,513.0,Probiotics
209,2020-12-22,524.0,Probiotics
210,2020-12-23,524.0,Probiotics
211,2020-12-24,524.0,Probiotics
212,2020-12-25,437.0,Probiotics
213,2020-12-26,437.0,Probiotics
214,2020-12-27,437.0,Probiotics
215,2020-12-28,463.0,Probiotics
216,2020-12-29,463.0,Probiotics
217,2020-12-30,463.0,Probiotics
218,2020-12-31,1665.0,Probiotics
219,2021-01-01,1665.0,Probiotics
220,2021-01-02,1665.0,Probiotics
221,2021-01-03,6304.0,Probiotics
222,2021-01-04,6304.0,Probiotics
223,2021-01-05,8226.0,Probiotics
224,2021-01-06,8226.0,Probiotics
225,2021-01-07,76.0,Probiotics
226,2021-01-08,188.0,Probiotics
227,2021-01-09,188.0,Probiotics
228,2021-01-10,438.0,Probiotics
229,2021-01-11,438.0,Probiotics
230,2021-01-12,644.0,Probiotics
231,2021-01-13,644.0,Probiotics
232,2021-01-14,644.0,Probiotics
233,2021-01-15,613.0,Probiotics
234,2021-01-16,540.0,Probiotics
235,2021-01-17,540.0,Probiotics
236,2021-01-18,464.0,Probiotics
237,2021-01-19,464.0,Probiotics
238,2021-01-20,594.0,Probiotics
239,2021-01-21,594.0,Probiotics
240,2021-01-22,594.0,Probiotics
241,2021-01-23,498.0,Probiotics
242,2021-01-24,498.0,Probiotics
243,2021-01-25,478.0,Probiotics
244,2021-01-26,478.0,Probiotics
245,2021-01-27,478.0,Probiotics
246,2021-01-28,449.0,Probiotics
247,2021-01-29,441.0,Probiotics
248,2021-01-30,441.0,Probiotics
249,2021-01-31,431.0,Probiotics
250,2021-02-01,431.0,Probiotics
251,2021-02-02,601.0,Probiotics
252,2021-02-03,601.0,Probiotics
253,2021-02-04,601.0,Probiotics
254,2021-02-05,493.0,Probiotics
255,2021-02-06,425.0,Probiotics
256,2021-02-07,425.0,Probiotics
257,2021-02-08,425.0,Probiotics
258,2021-02-09,470.0,Probiotics
259,2021-02-10,464.0,Probiotics
260,2021-02-11,464.0,Probiotics
261,2021-02-12,496.0,Probiotics
262,2021-02-13,496.0,Probiotics
263,2021-02-14,372.0,Probiotics
264,2021-02-15,372.0,Probiotics
265,2021-02-16,276.0,Probiotics
266,2021-02-17,276.0,Probiotics
267,2021-02-18,276.0,Probiotics
268,2021-02-19,405.0,Probiotics
269,2021-02-20,433.0,Probiotics
270,2021-02-21,412.0,Probiotics
271,2021-02-22,406.0,Probiotics
272,2021-02-23,406.0,Probiotics
273,2021-02-24,406.0,Probiotics
274,2021-02-25,450.0,Probiotics
275,2021-02-26,450.0,Probiotics
276,2021-02-27,450.0,Probiotics
277,2021-02-28,439.0,Probiotics
278,2021-03-01,439.0,Probiotics
279,2021-03-02,436.0,Probiotics
280,2021-03-03,436.0,Probiotics
281,2021-03-04,436.0,Probiotics
282,2021-03-05,443.0,Probiotics
283,2021-03-06,443.0,Probiotics
284,2021-03-07,443.0,Probiotics
285,2021-03-08,471.0,Probiotics
286,2021-03-09,471.0,Probiotics
287,2021-03-10,471.0,Probiotics
288,2021-03-11,450.0,Probiotics
289,2021-03-12,450.0,Probiotics
290,2021-03-13,1835.0,Probiotics
291,2021-03-14,1835.0,Probiotics
292,2021-03-15,1835.0,Probiotics
293,2021-03-16,6527.0,Probiotics
294,2021-03-17,7511.0,Probiotics
295,2021-03-18,7511.0,Probiotics
296,2021-03-19,7511.0,Probiotics
297,2021-03-20,7511.0,Probiotics
298,2021-03-21,8748.0,Probiotics
299,2021-03-22,8748.0,Probiotics
300,2021-03-23,8748.0,Probiotics
301,2021-03-24,11847.0,Probiotics
302,2021-03-25,11847.0,Probiotics
303,2021-03-26,50.0,Probiotics
