,date,value,name_B07PWZVRGL
0,2019-03-27,229.0,Accessories
1,2019-03-28,172.0,Accessories
2,2019-03-29,233.0,Accessories
3,2019-03-30,226.0,Accessories
4,2019-03-31,288.0,Accessories
5,2019-04-01,228.0,Accessories
6,2019-04-02,172.0,Accessories
7,2019-04-03,169.0,Accessories
8,2019-04-04,154.0,Accessories
9,2019-04-05,164.0,Accessories
10,2019-04-06,147.0,Accessories
11,2019-04-07,147.0,Accessories
12,2019-04-08,230.0,Accessories
13,2019-04-09,559.0,Accessories
14,2019-04-10,1229.0,Accessories
15,2019-04-11,2427.0,Accessories
16,2019-04-12,3003.0,Accessories
17,2019-04-13,2883.0,Accessories
18,2019-04-14,2849.0,Accessories
19,2019-04-15,1100.0,Accessories
20,2019-04-16,449.0,Accessories
21,2019-04-17,310.0,Accessories
22,2019-04-18,300.0,Accessories
23,2019-04-19,363.0,Accessories
24,2019-04-20,493.0,Accessories
25,2019-04-21,493.0,Accessories
26,2019-04-22,543.0,Accessories
27,2019-04-23,543.0,Accessories
28,2019-04-24,340.0,Accessories
29,2019-04-25,289.0,Accessories
30,2019-04-26,301.0,Accessories
31,2019-04-27,324.0,Accessories
32,2019-04-28,225.0,Accessories
33,2019-04-29,252.0,Accessories
34,2019-04-30,220.0,Accessories
35,2019-05-01,226.0,Accessories
36,2019-05-02,236.0,Accessories
37,2019-05-03,236.0,Accessories
38,2019-05-04,257.0,Accessories
39,2019-05-05,257.0,Accessories
40,2019-05-06,311.0,Accessories
41,2019-05-07,311.0,Accessories
42,2019-05-08,244.0,Accessories
43,2019-05-09,222.0,Accessories
44,2019-05-10,242.0,Accessories
45,2019-05-11,242.0,Accessories
46,2019-05-12,248.0,Accessories
47,2019-05-13,244.0,Accessories
48,2019-05-14,159.0,Accessories
49,2019-05-15,133.0,Accessories
50,2019-05-16,134.0,Accessories
51,2019-05-17,144.0,Accessories
52,2019-05-18,151.0,Accessories
53,2019-05-19,218.0,Accessories
54,2019-05-20,152.0,Accessories
55,2019-05-21,113.0,Accessories
56,2019-05-22,92.0,Accessories
57,2019-05-23,112.0,Accessories
58,2019-05-24,117.0,Accessories
59,2019-05-25,117.0,Accessories
60,2019-05-26,163.0,Accessories
61,2019-05-27,139.0,Accessories
62,2019-05-28,154.0,Accessories
63,2019-05-29,153.0,Accessories
64,2019-05-30,136.0,Accessories
65,2019-05-31,171.0,Accessories
66,2019-06-01,208.0,Accessories
67,2019-06-02,195.0,Accessories
68,2019-06-03,215.0,Accessories
69,2019-06-04,157.0,Accessories
70,2019-06-05,126.0,Accessories
71,2019-06-06,125.0,Accessories
72,2019-06-07,142.0,Accessories
73,2019-06-08,155.0,Accessories
74,2019-06-09,158.0,Accessories
75,2019-06-10,178.0,Accessories
76,2019-06-11,128.0,Accessories
77,2019-06-12,134.0,Accessories
78,2019-06-13,133.0,Accessories
79,2019-06-14,142.0,Accessories
80,2019-06-15,148.0,Accessories
81,2019-06-16,148.0,Accessories
82,2019-06-17,149.0,Accessories
83,2019-06-18,143.0,Accessories
84,2019-06-19,140.0,Accessories
85,2019-06-20,140.0,Accessories
86,2019-06-21,110.0,Accessories
87,2019-06-22,135.0,Accessories
88,2019-06-23,135.0,Accessories
89,2019-06-24,126.0,Accessories
90,2019-06-25,101.0,Accessories
91,2019-06-26,101.0,Accessories
92,2019-06-27,79.0,Accessories
93,2019-06-28,72.0,Accessories
94,2019-06-29,99.0,Accessories
95,2019-06-30,99.0,Accessories
96,2019-07-01,99.0,Accessories
97,2019-07-02,59.0,Accessories
98,2019-07-03,59.0,Accessories
99,2019-07-04,70.0,Accessories
100,2019-07-05,82.0,Accessories
101,2019-07-06,82.0,Accessories
102,2019-07-07,105.0,Accessories
103,2019-07-08,105.0,Accessories
104,2019-07-09,122.0,Accessories
105,2019-07-10,122.0,Accessories
106,2019-07-11,149.0,Accessories
107,2019-07-12,150.0,Accessories
108,2019-07-13,140.0,Accessories
109,2019-07-14,132.0,Accessories
110,2019-07-15,132.0,Accessories
111,2019-07-16,154.0,Accessories
112,2019-07-17,161.0,Accessories
113,2019-07-18,161.0,Accessories
114,2019-07-19,148.0,Accessories
115,2019-07-20,154.0,Accessories
116,2019-07-21,170.0,Accessories
117,2019-07-22,122.0,Accessories
118,2019-07-23,122.0,Accessories
119,2019-07-24,104.0,Accessories
120,2019-07-25,104.0,Accessories
121,2019-07-26,126.0,Accessories
122,2019-07-27,126.0,Accessories
123,2019-07-28,179.0,Accessories
124,2019-07-29,179.0,Accessories
125,2019-07-30,179.0,Accessories
126,2019-07-31,135.0,Accessories
127,2019-08-01,150.0,Accessories
128,2019-08-02,186.0,Accessories
129,2019-08-03,186.0,Accessories
130,2019-08-04,215.0,Accessories
131,2019-08-05,215.0,Accessories
132,2019-08-06,186.0,Accessories
133,2019-08-07,186.0,Accessories
134,2019-08-08,208.0,Accessories
135,2019-08-09,208.0,Accessories
136,2019-08-10,210.0,Accessories
137,2019-08-11,210.0,Accessories
