,date,value,name_B077BJ7YJ8
0,2020-05-23,17187.0,Essential Oil Blends
1,2020-05-24,17187.0,Essential Oil Blends
2,2020-05-25,17187.0,Essential Oil Blends
3,2020-05-26,23147.0,Essential Oil Blends
4,2020-05-27,23147.0,Essential Oil Blends
5,2020-05-28,19531.0,Essential Oil Blends
6,2020-05-29,19499.0,Essential Oil Blends
7,2020-05-30,19499.0,Essential Oil Blends
8,2020-05-31,19499.0,Essential Oil Blends
9,2020-06-01,19499.0,Essential Oil Blends
10,2020-06-02,19499.0,Essential Oil Blends
11,2020-06-03,19499.0,Essential Oil Blends
12,2020-06-04,17795.0,Essential Oil Blends
13,2020-06-05,17795.0,Essential Oil Blends
14,2020-06-06,17795.0,Essential Oil Blends
15,2020-06-07,23543.0,Essential Oil Blends
16,2020-06-08,23543.0,Essential Oil Blends
17,2020-06-09,23543.0,Essential Oil Blends
18,2020-06-10,23543.0,Essential Oil Blends
19,2020-06-11,23543.0,Essential Oil Blends
20,2020-06-12,23543.0,Essential Oil Blends
21,2020-06-13,23543.0,Essential Oil Blends
22,2020-06-14,23543.0,Essential Oil Blends
23,2020-06-15,23543.0,Essential Oil Blends
24,2020-06-16,24468.0,Essential Oil Blends
25,2020-06-17,24468.0,Essential Oil Blends
26,2020-06-18,24468.0,Essential Oil Blends
27,2020-06-19,24468.0,Essential Oil Blends
28,2020-06-20,24468.0,Essential Oil Blends
29,2020-06-21,24468.0,Essential Oil Blends
30,2020-06-22,24468.0,Essential Oil Blends
31,2020-06-23,24468.0,Essential Oil Blends
32,2020-06-24,24468.0,Essential Oil Blends
33,2020-06-25,24468.0,Essential Oil Blends
34,2020-06-26,28814.0,Essential Oil Blends
35,2020-06-27,28814.0,Essential Oil Blends
36,2020-06-28,28814.0,Essential Oil Blends
37,2020-06-29,28814.0,Essential Oil Blends
38,2020-06-30,28814.0,Essential Oil Blends
39,2020-07-01,32003.0,Essential Oil Blends
40,2020-07-02,32003.0,Essential Oil Blends
41,2020-07-03,32003.0,Essential Oil Blends
42,2020-07-04,32003.0,Essential Oil Blends
43,2020-07-05,32003.0,Essential Oil Blends
44,2020-07-06,26508.0,Essential Oil Blends
45,2020-07-07,26508.0,Essential Oil Blends
46,2020-07-08,26508.0,Essential Oil Blends
47,2020-07-09,26508.0,Essential Oil Blends
48,2020-07-10,26508.0,Essential Oil Blends
49,2020-07-11,26508.0,Essential Oil Blends
50,2020-07-12,26508.0,Essential Oil Blends
51,2020-07-13,26508.0,Essential Oil Blends
52,2020-07-14,26508.0,Essential Oil Blends
53,2020-07-15,26508.0,Essential Oil Blends
54,2020-07-16,33317.0,Essential Oil Blends
55,2020-07-17,33317.0,Essential Oil Blends
56,2020-07-18,33317.0,Essential Oil Blends
57,2020-07-19,33317.0,Essential Oil Blends
58,2020-07-20,33317.0,Essential Oil Blends
59,2020-07-21,43349.0,Essential Oil Blends
60,2020-07-22,43349.0,Essential Oil Blends
61,2020-07-23,43349.0,Essential Oil Blends
62,2020-07-24,43349.0,Essential Oil Blends
63,2020-07-25,43349.0,Essential Oil Blends
64,2020-07-26,43349.0,Essential Oil Blends
65,2020-07-27,42998.0,Essential Oil Blends
66,2020-07-28,42998.0,Essential Oil Blends
67,2020-07-29,42998.0,Essential Oil Blends
68,2020-07-30,34888.0,Essential Oil Blends
69,2020-07-31,34888.0,Essential Oil Blends
70,2020-08-01,34888.0,Essential Oil Blends
71,2020-08-02,34888.0,Essential Oil Blends
72,2020-08-03,42212.0,Essential Oil Blends
73,2020-08-04,42212.0,Essential Oil Blends
74,2020-08-05,42212.0,Essential Oil Blends
75,2020-08-06,35893.0,Essential Oil Blends
76,2020-08-07,35893.0,Essential Oil Blends
77,2020-08-08,32414.0,Essential Oil Blends
