,date,value,name_B091TY8TZM
0,2021-05-07,43321,Bark Collars
1,2021-05-08,54294,Bark Collars
2,2021-05-09,42437,Bark Collars
3,2021-05-10,20503,Bark Collars
4,2021-05-11,29840,Bark Collars
5,2021-05-12,35928,Bark Collars
6,2021-05-13,45647,Bark Collars
7,2021-05-14,30781,Bark Collars
8,2021-05-15,42124,Bark Collars
9,2021-05-16,48532,Bark Collars
10,2021-05-17,35849,Bark Collars
11,2021-05-18,28760,Bark Collars
12,2021-05-19,22313,Bark Collars
13,2021-05-20,16470,Bark Collars
14,2021-05-21,19244,Bark Collars
15,2021-05-22,13415,Bark Collars
16,2021-05-23,20269,Bark Collars
17,2021-05-24,18517,Bark Collars
18,2021-05-25,13860,Bark Collars
19,2021-05-26,16048,Bark Collars
20,2021-05-27,16645,Bark Collars
21,2021-05-28,12651,Bark Collars
22,2021-05-29,19731,Bark Collars
23,2021-05-30,22273,Bark Collars
24,2021-05-31,14843,Bark Collars
25,2021-06-01,11618,Bark Collars
26,2021-06-02,11138,Bark Collars
27,2021-06-03,10258,Bark Collars
28,2021-06-04,8074,Bark Collars
29,2021-06-05,8123,Bark Collars
30,2021-06-06,10479,Bark Collars
31,2021-06-07,9909,Bark Collars
32,2021-06-08,10351,Bark Collars
33,2021-06-09,7424,Bark Collars
34,2021-06-10,6898,Bark Collars
35,2021-06-11,7055,Bark Collars
36,2021-06-12,9298,Bark Collars
37,2021-06-13,6142,Bark Collars
38,2021-06-14,7500,Bark Collars
39,2021-06-15,8728,Bark Collars
40,2021-06-16,7979,Bark Collars
41,2021-06-17,6324,Bark Collars
42,2021-06-18,5922,Bark Collars
43,2021-06-19,5524,Bark Collars
44,2021-06-20,6615,Bark Collars
45,2021-06-21,7054,Bark Collars
46,2021-06-22,8011,Bark Collars
47,2021-06-23,8394,Bark Collars
48,2021-06-24,6652,Bark Collars
49,2021-06-25,6514,Bark Collars
50,2021-06-26,6458,Bark Collars
51,2021-06-27,5490,Bark Collars
52,2021-06-28,5828,Bark Collars
53,2021-06-29,7126,Bark Collars
54,2021-06-30,8155,Bark Collars
55,2021-07-01,7429,Bark Collars
56,2021-07-02,7820,Bark Collars
57,2021-07-03,6798,Bark Collars
58,2021-07-04,8486,Bark Collars
59,2021-07-05,7863,Bark Collars
60,2021-07-06,6258,Bark Collars
61,2021-07-07,7571,Bark Collars
62,2021-07-08,6515,Bark Collars
63,2021-07-09,6773,Bark Collars
