,date,value,name_B08KVQGGLR
0,2020-10-09,7902.0,Duvet Cover Sets
1,2020-10-10,7006.0,Duvet Cover Sets
2,2020-10-11,7006.0,Duvet Cover Sets
3,2020-10-12,6540.0,Duvet Cover Sets
4,2020-10-13,6944.0,Duvet Cover Sets
5,2020-10-14,10096.0,Duvet Cover Sets
6,2020-10-15,10096.0,Duvet Cover Sets
7,2020-10-16,10096.0,Duvet Cover Sets
8,2020-10-17,8191.0,Duvet Cover Sets
9,2020-10-18,8191.0,Duvet Cover Sets
10,2020-10-19,8460.0,Duvet Cover Sets
11,2020-10-20,7375.0,Duvet Cover Sets
12,2020-10-21,7375.0,Duvet Cover Sets
13,2020-10-22,7375.0,Duvet Cover Sets
14,2020-10-23,8395.0,Duvet Cover Sets
15,2020-10-24,8395.0,Duvet Cover Sets
16,2020-10-25,9931.0,Duvet Cover Sets
17,2020-10-26,9931.0,Duvet Cover Sets
18,2020-10-27,9931.0,Duvet Cover Sets
19,2020-10-28,9643.0,Duvet Cover Sets
20,2020-10-29,7909.0,Duvet Cover Sets
21,2020-10-30,7909.0,Duvet Cover Sets
22,2020-10-31,7909.0,Duvet Cover Sets
23,2020-11-01,9040.0,Duvet Cover Sets
24,2020-11-02,10362.0,Duvet Cover Sets
25,2020-11-03,10362.0,Duvet Cover Sets
26,2020-11-04,11393.0,Duvet Cover Sets
27,2020-11-05,9802.0,Duvet Cover Sets
28,2020-11-06,12112.0,Duvet Cover Sets
29,2020-11-07,14994.0,Duvet Cover Sets
30,2020-11-08,14994.0,Duvet Cover Sets
31,2020-11-09,13321.0,Duvet Cover Sets
32,2020-11-10,13321.0,Duvet Cover Sets
33,2020-11-11,9855.0,Duvet Cover Sets
34,2020-11-12,12316.0,Duvet Cover Sets
35,2020-11-13,12316.0,Duvet Cover Sets
36,2020-11-14,13651.0,Duvet Cover Sets
37,2020-11-15,13651.0,Duvet Cover Sets
38,2020-11-16,13651.0,Duvet Cover Sets
39,2020-11-17,13775.0,Duvet Cover Sets
40,2020-11-18,11964.0,Duvet Cover Sets
41,2020-11-19,11964.0,Duvet Cover Sets
42,2020-11-20,12321.0,Duvet Cover Sets
43,2020-11-21,11818.0,Duvet Cover Sets
44,2020-11-22,11818.0,Duvet Cover Sets
45,2020-11-23,11818.0,Duvet Cover Sets
46,2020-11-24,11818.0,Duvet Cover Sets
47,2020-11-25,11540.0,Duvet Cover Sets
48,2020-11-26,11540.0,Duvet Cover Sets
49,2020-11-27,11540.0,Duvet Cover Sets
50,2020-11-28,11540.0,Duvet Cover Sets
51,2020-11-29,18696.0,Duvet Cover Sets
52,2020-11-30,18696.0,Duvet Cover Sets
53,2020-12-01,18696.0,Duvet Cover Sets
54,2020-12-02,9779.0,Duvet Cover Sets
55,2020-12-03,9779.0,Duvet Cover Sets
56,2020-12-04,12740.0,Duvet Cover Sets
57,2020-12-05,12740.0,Duvet Cover Sets
58,2020-12-06,13864.0,Duvet Cover Sets
59,2020-12-07,13864.0,Duvet Cover Sets
60,2020-12-08,13864.0,Duvet Cover Sets
61,2020-12-09,15777.0,Duvet Cover Sets
62,2020-12-10,15777.0,Duvet Cover Sets
63,2020-12-11,15777.0,Duvet Cover Sets
64,2020-12-12,16868.0,Duvet Cover Sets
65,2020-12-13,16794.0,Duvet Cover Sets
66,2020-12-14,15918.0,Duvet Cover Sets
67,2020-12-15,16161.0,Duvet Cover Sets
68,2020-12-16,15426.0,Duvet Cover Sets
69,2020-12-17,13302.0,Duvet Cover Sets
70,2020-12-18,12884.0,Duvet Cover Sets
71,2020-12-19,12884.0,Duvet Cover Sets
72,2020-12-20,14182.0,Duvet Cover Sets
73,2020-12-21,12105.0,Duvet Cover Sets
74,2020-12-22,10641.0,Duvet Cover Sets
75,2020-12-23,10197.0,Duvet Cover Sets
76,2020-12-24,8239.0,Duvet Cover Sets
77,2020-12-25,9408.0,Duvet Cover Sets
78,2020-12-26,9021.0,Duvet Cover Sets
79,2020-12-27,9639.0,Duvet Cover Sets
80,2020-12-28,9005.0,Duvet Cover Sets
81,2020-12-29,10202.0,Duvet Cover Sets
82,2020-12-30,7019.0,Duvet Cover Sets
83,2020-12-31,5393.0,Duvet Cover Sets
84,2021-01-01,7430.0,Duvet Cover Sets
85,2021-01-02,6867.0,Duvet Cover Sets
86,2021-01-03,10243.0,Duvet Cover Sets
87,2021-01-04,12163.0,Duvet Cover Sets
88,2021-01-05,10752.0,Duvet Cover Sets
89,2021-01-06,7487.0,Duvet Cover Sets
90,2021-01-07,7581.0,Duvet Cover Sets
91,2021-01-08,8414.0,Duvet Cover Sets
92,2021-01-09,10671.0,Duvet Cover Sets
93,2021-01-10,8041.0,Duvet Cover Sets
94,2021-01-11,11579.0,Duvet Cover Sets
95,2021-01-12,17172.0,Duvet Cover Sets
96,2021-01-13,23082.0,Duvet Cover Sets
97,2021-01-14,30283.0,Duvet Cover Sets
98,2021-01-15,30283.0,Duvet Cover Sets
99,2021-01-16,23745.0,Duvet Cover Sets
100,2021-01-17,23745.0,Duvet Cover Sets
101,2021-01-18,23745.0,Duvet Cover Sets
102,2021-01-19,28011.0,Duvet Cover Sets
103,2021-01-20,23945.0,Duvet Cover Sets
104,2021-01-21,39807.0,Duvet Cover Sets
105,2021-01-22,27113.0,Duvet Cover Sets
106,2021-01-23,28647.0,Duvet Cover Sets
107,2021-01-24,28647.0,Duvet Cover Sets
108,2021-01-25,28647.0,Duvet Cover Sets
109,2021-01-26,31205.0,Duvet Cover Sets
110,2021-01-27,22439.0,Duvet Cover Sets
111,2021-01-28,22439.0,Duvet Cover Sets
112,2021-01-29,22439.0,Duvet Cover Sets
113,2021-01-30,22439.0,Duvet Cover Sets
114,2021-01-31,22439.0,Duvet Cover Sets
115,2021-02-01,33876.0,Duvet Cover Sets
116,2021-02-02,26301.0,Duvet Cover Sets
117,2021-02-03,26301.0,Duvet Cover Sets
118,2021-02-04,26301.0,Duvet Cover Sets
119,2021-02-05,31901.0,Duvet Cover Sets
120,2021-02-06,30483.0,Duvet Cover Sets
121,2021-02-07,30483.0,Duvet Cover Sets
122,2021-02-08,16157.0,Duvet Cover Sets
123,2021-02-09,16157.0,Duvet Cover Sets
124,2021-02-10,16157.0,Duvet Cover Sets
125,2021-02-11,16157.0,Duvet Cover Sets
126,2021-02-12,16157.0,Duvet Cover Sets
127,2021-02-13,9913.0,Duvet Cover Sets
128,2021-02-14,14710.0,Duvet Cover Sets
129,2021-02-15,14710.0,Duvet Cover Sets
130,2021-02-16,14710.0,Duvet Cover Sets
131,2021-02-17,11031.0,Duvet Cover Sets
132,2021-02-18,11031.0,Duvet Cover Sets
133,2021-02-19,10929.0,Duvet Cover Sets
134,2021-02-20,10929.0,Duvet Cover Sets
135,2021-02-21,14773.0,Duvet Cover Sets
136,2021-02-22,22583.0,Duvet Cover Sets
137,2021-02-23,19720.0,Duvet Cover Sets
138,2021-02-24,21331.0,Duvet Cover Sets
139,2021-02-25,20120.0,Duvet Cover Sets
140,2021-02-26,23268.0,Duvet Cover Sets
141,2021-02-27,23268.0,Duvet Cover Sets
142,2021-02-28,23268.0,Duvet Cover Sets
143,2021-03-01,25938.0,Duvet Cover Sets
144,2021-03-02,25938.0,Duvet Cover Sets
145,2021-03-03,25938.0,Duvet Cover Sets
146,2021-03-04,16700.0,Duvet Cover Sets
147,2021-03-05,19880.0,Duvet Cover Sets
148,2021-03-06,19880.0,Duvet Cover Sets
149,2021-03-07,19880.0,Duvet Cover Sets
150,2021-03-08,28282.0,Duvet Cover Sets
151,2021-03-09,28282.0,Duvet Cover Sets
152,2021-03-10,20749.0,Duvet Cover Sets
153,2021-03-11,11440.0,Duvet Cover Sets
154,2021-03-12,12347.0,Duvet Cover Sets
155,2021-03-13,12347.0,Duvet Cover Sets
156,2021-03-14,12347.0,Duvet Cover Sets
157,2021-03-15,14595.0,Duvet Cover Sets
158,2021-03-16,14595.0,Duvet Cover Sets
159,2021-03-17,12060.0,Duvet Cover Sets
160,2021-03-18,12060.0,Duvet Cover Sets
161,2021-03-19,12060.0,Duvet Cover Sets
162,2021-03-20,10634.0,Duvet Cover Sets
163,2021-03-21,10634.0,Duvet Cover Sets
164,2021-03-22,11384.0,Duvet Cover Sets
165,2021-03-23,13322.0,Duvet Cover Sets
166,2021-03-24,12368.0,Duvet Cover Sets
167,2021-03-25,11367.0,Duvet Cover Sets
168,2021-03-26,11367.0,Duvet Cover Sets
169,2021-03-27,11367.0,Duvet Cover Sets
170,2021-03-28,12547.0,Duvet Cover Sets
171,2021-03-29,10873.0,Duvet Cover Sets
172,2021-03-30,10873.0,Duvet Cover Sets
173,2021-03-31,13195.0,Duvet Cover Sets
174,2021-04-01,14601.0,Duvet Cover Sets
175,2021-04-02,15865.0,Duvet Cover Sets
176,2021-04-03,15865.0,Duvet Cover Sets
177,2021-04-04,15865.0,Duvet Cover Sets
178,2021-04-05,11281.0,Duvet Cover Sets
179,2021-04-06,13333.0,Duvet Cover Sets
180,2021-04-07,10964.0,Duvet Cover Sets
181,2021-04-08,15504.0,Duvet Cover Sets
182,2021-04-09,14171.0,Duvet Cover Sets
183,2021-04-10,14171.0,Duvet Cover Sets
184,2021-04-11,14903.0,Duvet Cover Sets
185,2021-04-12,14903.0,Duvet Cover Sets
186,2021-04-13,14903.0,Duvet Cover Sets
187,2021-04-14,13241.0,Duvet Cover Sets
188,2021-04-15,13241.0,Duvet Cover Sets
189,2021-04-16,13241.0,Duvet Cover Sets
190,2021-04-17,13241.0,Duvet Cover Sets
191,2021-04-18,13241.0,Duvet Cover Sets
192,2021-04-19,21645.0,Duvet Cover Sets
193,2021-04-20,21645.0,Duvet Cover Sets
194,2021-04-21,21645.0,Duvet Cover Sets
195,2021-04-22,21645.0,Duvet Cover Sets
196,2021-04-23,19025.0,Duvet Cover Sets
197,2021-04-24,19025.0,Duvet Cover Sets
198,2021-04-25,19025.0,Duvet Cover Sets
199,2021-04-26,19025.0,Duvet Cover Sets
200,2021-04-27,17381.0,Duvet Cover Sets
201,2021-04-28,17381.0,Duvet Cover Sets
202,2021-04-29,21187.0,Duvet Cover Sets
203,2021-04-30,29989.0,Duvet Cover Sets
204,2021-05-01,29989.0,Duvet Cover Sets
205,2021-05-02,28407.0,Duvet Cover Sets
206,2021-05-03,28407.0,Duvet Cover Sets
207,2021-05-04,28407.0,Duvet Cover Sets
208,2021-05-05,28407.0,Duvet Cover Sets
209,2021-05-06,22165.0,Duvet Cover Sets
210,2021-05-07,22165.0,Duvet Cover Sets
211,2021-05-08,22165.0,Duvet Cover Sets
212,2021-05-09,22165.0,Duvet Cover Sets
213,2021-05-10,19025.0,Duvet Cover Sets
214,2021-05-11,18147.0,Duvet Cover Sets
215,2021-05-12,14779.0,Duvet Cover Sets
216,2021-05-13,19345.0,Duvet Cover Sets
217,2021-05-14,19345.0,Duvet Cover Sets
218,2021-05-15,19345.0,Duvet Cover Sets
219,2021-05-16,19345.0,Duvet Cover Sets
220,2021-05-17,19206.0,Duvet Cover Sets
221,2021-05-18,16210.0,Duvet Cover Sets
222,2021-05-19,15121.0,Duvet Cover Sets
223,2021-05-20,26945.0,Duvet Cover Sets
224,2021-05-21,27084.0,Duvet Cover Sets
225,2021-05-22,27084.0,Duvet Cover Sets
226,2021-05-23,19219.0,Duvet Cover Sets
227,2021-05-24,20463.0,Duvet Cover Sets
228,2021-05-25,15489.0,Duvet Cover Sets
229,2021-05-26,14033.0,Duvet Cover Sets
230,2021-05-27,16695.0,Duvet Cover Sets
231,2021-05-28,15370.0,Duvet Cover Sets
232,2021-05-29,15370.0,Duvet Cover Sets
233,2021-05-30,18565.0,Duvet Cover Sets
