,date,value,name_B08YQ5KKRH
0,2021-03-18,107086.0,Kiddie Pools
1,2021-03-19,124805.0,Kiddie Pools
2,2021-03-20,107348.0,Kiddie Pools
3,2021-03-21,107348.0,Kiddie Pools
4,2021-03-22,139125.0,Kiddie Pools
5,2021-03-23,93307.0,Kiddie Pools
6,2021-03-24,93307.0,Kiddie Pools
7,2021-03-25,93307.0,Kiddie Pools
8,2021-03-26,93307.0,Kiddie Pools
9,2021-03-27,93307.0,Kiddie Pools
10,2021-03-28,93307.0,Kiddie Pools
11,2021-03-29,93307.0,Kiddie Pools
12,2021-03-30,93307.0,Kiddie Pools
13,2021-03-31,93307.0,Kiddie Pools
14,2021-04-01,93307.0,Kiddie Pools
15,2021-04-02,93307.0,Kiddie Pools
16,2021-04-03,93307.0,Kiddie Pools
17,2021-04-04,93307.0,Kiddie Pools
18,2021-04-05,93307.0,Kiddie Pools
19,2021-04-06,93307.0,Kiddie Pools
20,2021-04-07,93307.0,Kiddie Pools
21,2021-04-08,93307.0,Kiddie Pools
22,2021-04-09,93307.0,Kiddie Pools
23,2021-04-10,93307.0,Kiddie Pools
24,2021-04-11,93307.0,Kiddie Pools
25,2021-04-12,93307.0,Kiddie Pools
26,2021-04-13,93307.0,Kiddie Pools
27,2021-04-14,93307.0,Kiddie Pools
28,2021-04-15,93307.0,Kiddie Pools
29,2021-04-16,93307.0,Kiddie Pools
30,2021-04-17,93307.0,Kiddie Pools
31,2021-04-18,93307.0,Kiddie Pools
32,2021-04-19,93307.0,Kiddie Pools
33,2021-04-20,93307.0,Kiddie Pools
34,2021-04-21,93307.0,Kiddie Pools
35,2021-04-22,93307.0,Kiddie Pools
36,2021-04-23,23150.0,Kiddie Pools
37,2021-04-24,23150.0,Kiddie Pools
38,2021-04-25,23150.0,Kiddie Pools
39,2021-04-26,23984.0,Kiddie Pools
40,2021-04-27,38594.0,Kiddie Pools
41,2021-04-28,41757.0,Kiddie Pools
42,2021-04-29,16090.0,Kiddie Pools
43,2021-04-30,15634.0,Kiddie Pools
44,2021-05-01,15634.0,Kiddie Pools
45,2021-05-02,18552.0,Kiddie Pools
46,2021-05-03,18552.0,Kiddie Pools
47,2021-05-04,24645.0,Kiddie Pools
48,2021-05-05,22944.0,Kiddie Pools
49,2021-05-06,22944.0,Kiddie Pools
50,2021-05-07,17063.0,Kiddie Pools
51,2021-05-08,17065.0,Kiddie Pools
52,2021-05-09,17065.0,Kiddie Pools
53,2021-05-10,16388.0,Kiddie Pools
54,2021-05-11,16388.0,Kiddie Pools
55,2021-05-12,11317.0,Kiddie Pools
56,2021-05-13,11317.0,Kiddie Pools
57,2021-05-14,11317.0,Kiddie Pools
58,2021-05-15,12632.0,Kiddie Pools
59,2021-05-16,12632.0,Kiddie Pools
60,2021-05-17,12632.0,Kiddie Pools
61,2021-05-18,16618.0,Kiddie Pools
62,2021-05-19,13107.0,Kiddie Pools
63,2021-05-20,13107.0,Kiddie Pools
64,2021-05-21,17615.0,Kiddie Pools
65,2021-05-22,17615.0,Kiddie Pools
66,2021-05-23,17615.0,Kiddie Pools
67,2021-05-24,17615.0,Kiddie Pools
68,2021-05-25,8497.0,Kiddie Pools
69,2021-05-26,8497.0,Kiddie Pools
70,2021-05-27,9550.0,Kiddie Pools
71,2021-05-28,9550.0,Kiddie Pools
72,2021-05-29,9550.0,Kiddie Pools
73,2021-05-30,9550.0,Kiddie Pools
74,2021-05-31,11201.0,Kiddie Pools
75,2021-06-01,15503.0,Kiddie Pools
76,2021-06-02,15503.0,Kiddie Pools
77,2021-06-03,15503.0,Kiddie Pools
78,2021-06-04,17989.0,Kiddie Pools
79,2021-06-05,17989.0,Kiddie Pools
80,2021-06-06,17989.0,Kiddie Pools
81,2021-06-07,6876.0,Kiddie Pools
82,2021-06-08,6876.0,Kiddie Pools
83,2021-06-09,6876.0,Kiddie Pools
84,2021-06-10,10289.0,Kiddie Pools
85,2021-06-11,13591.0,Kiddie Pools
86,2021-06-12,13591.0,Kiddie Pools
87,2021-06-13,13591.0,Kiddie Pools
88,2021-06-14,15160.0,Kiddie Pools
89,2021-06-15,15160.0,Kiddie Pools
90,2021-06-16,13779.0,Kiddie Pools
91,2021-06-17,13779.0,Kiddie Pools
92,2021-06-18,13779.0,Kiddie Pools
93,2021-06-19,13779.0,Kiddie Pools
94,2021-06-20,19579.0,Kiddie Pools
95,2021-06-21,24119.0,Kiddie Pools
96,2021-06-22,8196.0,Kiddie Pools
97,2021-06-23,8196.0,Kiddie Pools
98,2021-06-24,8196.0,Kiddie Pools
99,2021-06-25,8495.0,Kiddie Pools
100,2021-06-26,8495.0,Kiddie Pools
101,2021-06-27,8495.0,Kiddie Pools
102,2021-06-28,8090.0,Kiddie Pools
103,2021-06-29,11522.0,Kiddie Pools
104,2021-06-30,13405.0,Kiddie Pools
105,2021-07-01,13405.0,Kiddie Pools
106,2021-07-02,21650.0,Kiddie Pools
107,2021-07-03,21650.0,Kiddie Pools
108,2021-07-04,28659.0,Kiddie Pools
109,2021-07-05,28659.0,Kiddie Pools
110,2021-07-06,33943.0,Kiddie Pools
111,2021-07-07,34830.0,Kiddie Pools
112,2021-07-08,31066.0,Kiddie Pools
113,2021-07-09,39166.0,Kiddie Pools
