,date,value,name_B07F88768W
0,2020-12-27,2630.0,Diffusers
1,2020-12-28,3284.0,Diffusers
2,2020-12-29,3439.0,Diffusers
3,2020-12-30,3480.0,Diffusers
4,2020-12-31,3245.0,Diffusers
5,2021-01-01,3712.0,Diffusers
6,2021-01-02,4087.0,Diffusers
7,2021-01-03,3181.0,Diffusers
8,2021-01-04,3181.0,Diffusers
9,2021-01-05,4952.0,Diffusers
10,2021-01-06,4952.0,Diffusers
11,2021-01-07,4952.0,Diffusers
12,2021-01-08,4952.0,Diffusers
13,2021-01-09,5018.0,Diffusers
14,2021-01-10,5018.0,Diffusers
15,2021-01-11,5018.0,Diffusers
16,2021-01-12,5606.0,Diffusers
17,2021-01-13,5606.0,Diffusers
18,2021-01-14,5606.0,Diffusers
19,2021-01-15,6470.0,Diffusers
20,2021-01-16,6470.0,Diffusers
21,2021-01-17,6470.0,Diffusers
22,2021-01-18,6470.0,Diffusers
23,2021-01-19,6470.0,Diffusers
24,2021-01-20,6242.0,Diffusers
25,2021-01-21,6242.0,Diffusers
26,2021-01-22,6242.0,Diffusers
27,2021-01-23,4082.0,Diffusers
28,2021-01-24,4082.0,Diffusers
29,2021-01-25,4082.0,Diffusers
30,2021-01-26,5420.0,Diffusers
31,2021-01-27,5420.0,Diffusers
32,2021-01-28,6196.0,Diffusers
33,2021-01-29,6196.0,Diffusers
34,2021-01-30,6196.0,Diffusers
35,2021-01-31,6196.0,Diffusers
36,2021-02-01,5226.0,Diffusers
37,2021-02-02,5226.0,Diffusers
38,2021-02-03,5226.0,Diffusers
39,2021-02-04,5567.0,Diffusers
40,2021-02-05,5431.0,Diffusers
41,2021-02-06,5621.0,Diffusers
42,2021-02-07,5621.0,Diffusers
43,2021-02-08,5612.0,Diffusers
44,2021-02-09,5612.0,Diffusers
45,2021-02-10,5612.0,Diffusers
46,2021-02-11,5747.0,Diffusers
47,2021-02-12,5747.0,Diffusers
48,2021-02-13,5747.0,Diffusers
49,2021-02-14,6101.0,Diffusers
50,2021-02-15,6101.0,Diffusers
51,2021-02-16,6101.0,Diffusers
52,2021-02-17,7216.0,Diffusers
53,2021-02-18,6731.0,Diffusers
54,2021-02-19,8331.0,Diffusers
55,2021-02-20,7632.0,Diffusers
56,2021-02-21,7607.0,Diffusers
57,2021-02-22,7134.0,Diffusers
58,2021-02-23,7134.0,Diffusers
59,2021-02-24,5473.0,Diffusers
60,2021-02-25,5473.0,Diffusers
61,2021-02-26,4038.0,Diffusers
62,2021-02-27,4038.0,Diffusers
63,2021-02-28,4038.0,Diffusers
64,2021-03-01,4145.0,Diffusers
65,2021-03-02,4145.0,Diffusers
66,2021-03-03,4702.0,Diffusers
67,2021-03-04,4702.0,Diffusers
68,2021-03-05,5486.0,Diffusers
69,2021-03-06,5486.0,Diffusers
70,2021-03-07,5097.0,Diffusers
71,2021-03-08,5097.0,Diffusers
72,2021-03-09,5635.0,Diffusers
73,2021-03-10,5635.0,Diffusers
74,2021-03-11,5635.0,Diffusers
75,2021-03-12,5635.0,Diffusers
76,2021-03-13,5635.0,Diffusers
77,2021-03-14,4738.0,Diffusers
78,2021-03-15,4738.0,Diffusers
79,2021-03-16,4738.0,Diffusers
80,2021-03-17,6009.0,Diffusers
81,2021-03-18,6009.0,Diffusers
82,2021-03-19,6009.0,Diffusers
83,2021-03-20,6163.0,Diffusers
84,2021-03-21,6163.0,Diffusers
85,2021-03-22,6163.0,Diffusers
86,2021-03-23,6163.0,Diffusers
87,2021-03-24,5649.0,Diffusers
88,2021-03-25,5649.0,Diffusers
89,2021-03-26,5649.0,Diffusers
90,2021-03-27,5628.0,Diffusers
91,2021-03-28,5628.0,Diffusers
92,2021-03-29,5628.0,Diffusers
93,2021-03-30,6704.0,Diffusers
94,2021-03-31,6704.0,Diffusers
95,2021-04-01,6704.0,Diffusers
96,2021-04-02,6326.0,Diffusers
97,2021-04-03,6326.0,Diffusers
98,2021-04-04,6326.0,Diffusers
99,2021-04-05,6569.0,Diffusers
100,2021-04-06,7722.0,Diffusers
101,2021-04-07,8325.0,Diffusers
102,2021-04-08,8325.0,Diffusers
103,2021-04-09,6634.0,Diffusers
104,2021-04-10,6634.0,Diffusers
105,2021-04-11,6634.0,Diffusers
106,2021-04-12,6634.0,Diffusers
107,2021-04-13,6800.0,Diffusers
108,2021-04-14,6800.0,Diffusers
109,2021-04-15,6800.0,Diffusers
110,2021-04-16,7088.0,Diffusers
111,2021-04-17,6303.0,Diffusers
112,2021-04-18,6303.0,Diffusers
113,2021-04-19,7808.0,Diffusers
114,2021-04-20,6880.0,Diffusers
115,2021-04-21,7160.0,Diffusers
116,2021-04-22,7160.0,Diffusers
117,2021-04-23,5729.0,Diffusers
118,2021-04-24,5729.0,Diffusers
119,2021-04-25,5729.0,Diffusers
120,2021-04-26,5416.0,Diffusers
121,2021-04-27,5416.0,Diffusers
122,2021-04-28,6512.0,Diffusers
123,2021-04-29,6512.0,Diffusers
124,2021-04-30,6512.0,Diffusers
125,2021-05-01,6512.0,Diffusers
126,2021-05-02,6592.0,Diffusers
127,2021-05-03,6592.0,Diffusers
128,2021-05-04,6592.0,Diffusers
129,2021-05-05,4957.0,Diffusers
130,2021-05-06,4503.0,Diffusers
131,2021-05-07,4503.0,Diffusers
132,2021-05-08,4503.0,Diffusers
133,2021-05-09,5641.0,Diffusers
134,2021-05-10,6041.0,Diffusers
135,2021-05-11,6041.0,Diffusers
136,2021-05-12,6372.0,Diffusers
137,2021-05-13,6372.0,Diffusers
138,2021-05-14,6441.0,Diffusers
139,2021-05-15,6441.0,Diffusers
140,2021-05-16,6441.0,Diffusers
