,date,value,name_B01M2YFGVE
0,2020-05-23,5561.0,Blood Test Strips
1,2020-05-24,5561.0,Blood Test Strips
2,2020-05-25,6615.0,Blood Test Strips
3,2020-05-26,6574.0,Blood Test Strips
4,2020-05-27,6256.0,Blood Test Strips
5,2020-05-28,6256.0,Blood Test Strips
6,2020-05-29,6250.0,Blood Test Strips
7,2020-05-30,5291.0,Blood Test Strips
8,2020-05-31,5854.0,Blood Test Strips
9,2020-06-01,5854.0,Blood Test Strips
10,2020-06-02,5672.0,Blood Test Strips
11,2020-06-03,6034.0,Blood Test Strips
12,2020-06-04,5360.0,Blood Test Strips
13,2020-06-05,5360.0,Blood Test Strips
14,2020-06-06,5901.0,Blood Test Strips
15,2020-06-07,5744.0,Blood Test Strips
16,2020-06-08,6199.0,Blood Test Strips
17,2020-06-09,5847.0,Blood Test Strips
18,2020-06-10,5847.0,Blood Test Strips
19,2020-06-11,6380.0,Blood Test Strips
20,2020-06-12,5987.0,Blood Test Strips
21,2020-06-13,5834.0,Blood Test Strips
22,2020-06-14,5653.0,Blood Test Strips
23,2020-06-15,6164.0,Blood Test Strips
24,2020-06-16,6164.0,Blood Test Strips
25,2020-06-17,6164.0,Blood Test Strips
26,2020-06-18,4350.0,Blood Test Strips
27,2020-06-19,5497.0,Blood Test Strips
28,2020-06-20,6679.0,Blood Test Strips
29,2020-06-21,6801.0,Blood Test Strips
30,2020-06-22,6801.0,Blood Test Strips
31,2020-06-23,6045.0,Blood Test Strips
32,2020-06-24,6054.0,Blood Test Strips
33,2020-06-25,6116.0,Blood Test Strips
34,2020-06-26,6116.0,Blood Test Strips
35,2020-06-27,5481.0,Blood Test Strips
36,2020-06-28,5481.0,Blood Test Strips
37,2020-06-29,4789.0,Blood Test Strips
38,2020-06-30,5253.0,Blood Test Strips
39,2020-07-01,5576.0,Blood Test Strips
40,2020-07-02,5576.0,Blood Test Strips
41,2020-07-03,5576.0,Blood Test Strips
42,2020-07-04,6164.0,Blood Test Strips
43,2020-07-05,4728.0,Blood Test Strips
44,2020-07-06,5050.0,Blood Test Strips
45,2020-07-07,4507.0,Blood Test Strips
46,2020-07-08,5207.0,Blood Test Strips
47,2020-07-09,5417.0,Blood Test Strips
48,2020-07-10,5306.0,Blood Test Strips
49,2020-07-11,5453.0,Blood Test Strips
50,2020-07-12,5746.0,Blood Test Strips
51,2020-07-13,5273.0,Blood Test Strips
52,2020-07-14,5553.0,Blood Test Strips
53,2020-07-15,5553.0,Blood Test Strips
54,2020-07-16,4907.0,Blood Test Strips
55,2020-07-17,5695.0,Blood Test Strips
56,2020-07-18,4430.0,Blood Test Strips
57,2020-07-19,4842.0,Blood Test Strips
58,2020-07-20,4588.0,Blood Test Strips
59,2020-07-21,4889.0,Blood Test Strips
60,2020-07-22,5182.0,Blood Test Strips
61,2020-07-23,4494.0,Blood Test Strips
62,2020-07-24,4825.0,Blood Test Strips
63,2020-07-25,4825.0,Blood Test Strips
64,2020-07-26,4825.0,Blood Test Strips
65,2020-07-27,5510.0,Blood Test Strips
66,2020-07-28,5511.0,Blood Test Strips
67,2020-07-29,5710.0,Blood Test Strips
68,2020-07-30,5465.0,Blood Test Strips
69,2020-07-31,5561.0,Blood Test Strips
70,2020-08-01,4856.0,Blood Test Strips
71,2020-08-02,4930.0,Blood Test Strips
72,2020-08-03,5138.0,Blood Test Strips
73,2020-08-04,5138.0,Blood Test Strips
74,2020-08-05,5138.0,Blood Test Strips
75,2020-08-06,6164.0,Blood Test Strips
76,2020-08-07,6654.0,Blood Test Strips
77,2020-08-08,6654.0,Blood Test Strips
78,2020-08-09,5979.0,Blood Test Strips
79,2020-08-10,6269.0,Blood Test Strips
80,2020-08-11,7497.0,Blood Test Strips
81,2020-08-12,7298.0,Blood Test Strips
82,2020-08-13,6798.0,Blood Test Strips
83,2020-08-14,7096.0,Blood Test Strips
84,2020-08-15,7209.0,Blood Test Strips
85,2020-08-16,7209.0,Blood Test Strips
86,2020-08-17,8099.0,Blood Test Strips
87,2020-08-18,8402.0,Blood Test Strips
88,2020-08-19,7391.0,Blood Test Strips
89,2020-08-20,7391.0,Blood Test Strips
90,2020-08-21,7168.0,Blood Test Strips
91,2020-08-22,7168.0,Blood Test Strips
92,2020-08-23,7168.0,Blood Test Strips
93,2020-08-24,6965.0,Blood Test Strips
94,2020-08-25,5897.0,Blood Test Strips
95,2020-08-26,6599.0,Blood Test Strips
96,2020-08-27,6599.0,Blood Test Strips
97,2020-08-28,5570.0,Blood Test Strips
98,2020-08-29,5570.0,Blood Test Strips
99,2020-08-30,5986.0,Blood Test Strips
100,2020-08-31,6355.0,Blood Test Strips
101,2020-09-01,6355.0,Blood Test Strips
102,2020-09-02,6355.0,Blood Test Strips
103,2020-09-03,4805.0,Blood Test Strips
104,2020-09-04,4805.0,Blood Test Strips
105,2020-09-05,5525.0,Blood Test Strips
106,2020-09-06,5525.0,Blood Test Strips
107,2020-09-07,5200.0,Blood Test Strips
108,2020-09-08,5529.0,Blood Test Strips
109,2020-09-09,5599.0,Blood Test Strips
110,2020-09-10,5526.0,Blood Test Strips
111,2020-09-11,5404.0,Blood Test Strips
112,2020-09-12,5404.0,Blood Test Strips
113,2020-09-13,5763.0,Blood Test Strips
114,2020-09-14,5467.0,Blood Test Strips
115,2020-09-15,6260.0,Blood Test Strips
116,2020-09-16,6451.0,Blood Test Strips
117,2020-09-17,5584.0,Blood Test Strips
118,2020-09-18,5751.0,Blood Test Strips
119,2020-09-19,6056.0,Blood Test Strips
120,2020-09-20,6116.0,Blood Test Strips
121,2020-09-21,5475.0,Blood Test Strips
122,2020-09-22,6189.0,Blood Test Strips
