,date,value,name_B083QPV95C
130,2020-10-04,445.0,Educational Charts & Posters
131,2020-10-05,531.0,Educational Charts & Posters
132,2020-10-06,608.0,Educational Charts & Posters
133,2020-10-07,634.0,Educational Charts & Posters
134,2020-10-08,634.0,Educational Charts & Posters
135,2020-10-09,654.0,Educational Charts & Posters
136,2020-10-10,654.0,Educational Charts & Posters
137,2020-10-11,654.0,Educational Charts & Posters
138,2020-10-12,729.0,Educational Charts & Posters
139,2020-10-13,729.0,Educational Charts & Posters
140,2020-10-14,729.0,Educational Charts & Posters
141,2020-10-15,994.0,Educational Charts & Posters
142,2020-10-16,994.0,Educational Charts & Posters
143,2020-10-17,1101.0,Educational Charts & Posters
144,2020-10-18,1101.0,Educational Charts & Posters
145,2020-10-19,1101.0,Educational Charts & Posters
146,2020-10-20,1572.0,Educational Charts & Posters
147,2020-10-21,1572.0,Educational Charts & Posters
148,2020-10-22,1572.0,Educational Charts & Posters
149,2020-10-23,1335.0,Educational Charts & Posters
150,2020-10-24,1335.0,Educational Charts & Posters
151,2020-10-25,1335.0,Educational Charts & Posters
152,2020-10-26,1494.0,Educational Charts & Posters
153,2020-10-27,1647.0,Educational Charts & Posters
154,2020-10-28,1647.0,Educational Charts & Posters
155,2020-10-29,1647.0,Educational Charts & Posters
156,2020-10-30,1743.0,Educational Charts & Posters
157,2020-10-31,1743.0,Educational Charts & Posters
158,2020-11-01,1743.0,Educational Charts & Posters
159,2020-11-02,1816.0,Educational Charts & Posters
160,2020-11-03,1816.0,Educational Charts & Posters
161,2020-11-04,1313.0,Educational Charts & Posters
162,2020-11-05,1313.0,Educational Charts & Posters
163,2020-11-06,1313.0,Educational Charts & Posters
164,2020-11-07,1971.0,Educational Charts & Posters
165,2020-11-08,1971.0,Educational Charts & Posters
166,2020-11-09,1971.0,Educational Charts & Posters
167,2020-11-10,2209.0,Educational Charts & Posters
168,2020-11-11,2209.0,Educational Charts & Posters
169,2020-11-12,2209.0,Educational Charts & Posters
170,2020-11-13,2118.0,Educational Charts & Posters
171,2020-11-14,2024.0,Educational Charts & Posters
172,2020-11-15,2024.0,Educational Charts & Posters
173,2020-11-16,2872.0,Educational Charts & Posters
174,2020-11-17,2872.0,Educational Charts & Posters
175,2020-11-18,2872.0,Educational Charts & Posters
176,2020-11-19,2872.0,Educational Charts & Posters
177,2020-11-20,2872.0,Educational Charts & Posters
178,2020-11-21,2538.0,Educational Charts & Posters
179,2020-11-22,2538.0,Educational Charts & Posters
180,2020-11-23,2538.0,Educational Charts & Posters
181,2020-11-24,3733.0,Educational Charts & Posters
182,2020-11-25,3733.0,Educational Charts & Posters
183,2020-11-26,3733.0,Educational Charts & Posters
184,2020-11-27,3733.0,Educational Charts & Posters
185,2020-11-28,3733.0,Educational Charts & Posters
186,2020-11-29,2515.0,Educational Charts & Posters
187,2020-11-30,2515.0,Educational Charts & Posters
188,2020-12-01,2055.0,Educational Charts & Posters
189,2020-12-02,2055.0,Educational Charts & Posters
190,2020-12-03,3421.0,Educational Charts & Posters
191,2020-12-04,3421.0,Educational Charts & Posters
192,2020-12-05,3421.0,Educational Charts & Posters
193,2020-12-06,3298.0,Educational Charts & Posters
194,2020-12-07,3298.0,Educational Charts & Posters
195,2020-12-08,3298.0,Educational Charts & Posters
196,2020-12-09,3298.0,Educational Charts & Posters
197,2020-12-10,3686.0,Educational Charts & Posters
198,2020-12-11,3686.0,Educational Charts & Posters
199,2020-12-12,3123.0,Educational Charts & Posters
200,2020-12-13,3123.0,Educational Charts & Posters
201,2020-12-14,3123.0,Educational Charts & Posters
202,2020-12-15,3123.0,Educational Charts & Posters
203,2020-12-16,3042.0,Educational Charts & Posters
204,2020-12-17,3042.0,Educational Charts & Posters
205,2020-12-18,3042.0,Educational Charts & Posters
206,2020-12-19,3042.0,Educational Charts & Posters
207,2020-12-20,2724.0,Educational Charts & Posters
208,2020-12-21,2724.0,Educational Charts & Posters
209,2020-12-22,2724.0,Educational Charts & Posters
210,2020-12-23,2724.0,Educational Charts & Posters
211,2020-12-24,2724.0,Educational Charts & Posters
212,2020-12-25,2724.0,Educational Charts & Posters
213,2020-12-26,4181.0,Educational Charts & Posters
214,2020-12-27,4181.0,Educational Charts & Posters
215,2020-12-28,4181.0,Educational Charts & Posters
216,2020-12-29,5774.0,Educational Charts & Posters
217,2020-12-30,5774.0,Educational Charts & Posters
218,2020-12-31,5774.0,Educational Charts & Posters
219,2021-01-01,4798.0,Educational Charts & Posters
220,2021-01-02,4798.0,Educational Charts & Posters
221,2021-01-03,4798.0,Educational Charts & Posters
222,2021-01-04,4186.0,Educational Charts & Posters
223,2021-01-05,4186.0,Educational Charts & Posters
224,2021-01-06,4186.0,Educational Charts & Posters
225,2021-01-07,3702.0,Educational Charts & Posters
226,2021-01-08,3702.0,Educational Charts & Posters
227,2021-01-09,3702.0,Educational Charts & Posters
228,2021-01-10,3702.0,Educational Charts & Posters
229,2021-01-11,4560.0,Educational Charts & Posters
230,2021-01-12,4560.0,Educational Charts & Posters
231,2021-01-13,3741.0,Educational Charts & Posters
232,2021-01-14,3741.0,Educational Charts & Posters
233,2021-01-15,4026.0,Educational Charts & Posters
234,2021-01-16,4026.0,Educational Charts & Posters
235,2021-01-17,4026.0,Educational Charts & Posters
236,2021-01-18,4026.0,Educational Charts & Posters
237,2021-01-19,4099.0,Educational Charts & Posters
238,2021-01-20,5275.0,Educational Charts & Posters
239,2021-01-21,5275.0,Educational Charts & Posters
240,2021-01-22,4262.0,Educational Charts & Posters
241,2021-01-23,4262.0,Educational Charts & Posters
242,2021-01-24,4262.0,Educational Charts & Posters
243,2021-01-25,4349.0,Educational Charts & Posters
244,2021-01-26,4349.0,Educational Charts & Posters
245,2021-01-27,4349.0,Educational Charts & Posters
246,2021-01-28,4349.0,Educational Charts & Posters
247,2021-01-29,4349.0,Educational Charts & Posters
248,2021-01-30,4241.0,Educational Charts & Posters
249,2021-01-31,4241.0,Educational Charts & Posters
250,2021-02-01,4241.0,Educational Charts & Posters
251,2021-02-02,2875.0,Educational Charts & Posters
252,2021-02-03,2875.0,Educational Charts & Posters
253,2021-02-04,2875.0,Educational Charts & Posters
254,2021-02-05,1773.0,Educational Charts & Posters
255,2021-02-06,1773.0,Educational Charts & Posters
256,2021-02-07,1773.0,Educational Charts & Posters
257,2021-02-08,1763.0,Educational Charts & Posters
258,2021-02-09,1763.0,Educational Charts & Posters
259,2021-02-10,3720.0,Educational Charts & Posters
260,2021-02-11,3720.0,Educational Charts & Posters
261,2021-02-12,3720.0,Educational Charts & Posters
262,2021-02-13,3720.0,Educational Charts & Posters
263,2021-02-14,3720.0,Educational Charts & Posters
264,2021-02-15,5070.0,Educational Charts & Posters
265,2021-02-16,5070.0,Educational Charts & Posters
266,2021-02-17,5070.0,Educational Charts & Posters
267,2021-02-18,3080.0,Educational Charts & Posters
268,2021-02-19,3080.0,Educational Charts & Posters
269,2021-02-20,3080.0,Educational Charts & Posters
270,2021-02-21,2002.0,Educational Charts & Posters
271,2021-02-22,2002.0,Educational Charts & Posters
272,2021-02-23,2002.0,Educational Charts & Posters
273,2021-02-24,2412.0,Educational Charts & Posters
274,2021-02-25,2412.0,Educational Charts & Posters
275,2021-02-26,2412.0,Educational Charts & Posters
276,2021-02-27,2203.0,Educational Charts & Posters
277,2021-02-28,2203.0,Educational Charts & Posters
278,2021-03-01,2203.0,Educational Charts & Posters
279,2021-03-02,2601.0,Educational Charts & Posters
280,2021-03-03,2601.0,Educational Charts & Posters
281,2021-03-04,2601.0,Educational Charts & Posters
282,2021-03-05,2601.0,Educational Charts & Posters
283,2021-03-06,2587.0,Educational Charts & Posters
284,2021-03-07,2585.0,Educational Charts & Posters
285,2021-03-08,2585.0,Educational Charts & Posters
286,2021-03-09,3079.0,Educational Charts & Posters
287,2021-03-10,3079.0,Educational Charts & Posters
288,2021-03-11,3079.0,Educational Charts & Posters
289,2021-03-12,2322.0,Educational Charts & Posters
290,2021-03-13,2322.0,Educational Charts & Posters
291,2021-03-14,2786.0,Educational Charts & Posters
292,2021-03-15,2786.0,Educational Charts & Posters
293,2021-03-16,1988.0,Educational Charts & Posters
294,2021-03-17,1988.0,Educational Charts & Posters
295,2021-03-18,1988.0,Educational Charts & Posters
296,2021-03-19,2127.0,Educational Charts & Posters
297,2021-03-20,2127.0,Educational Charts & Posters
298,2021-03-21,2127.0,Educational Charts & Posters
299,2021-03-22,1661.0,Educational Charts & Posters
300,2021-03-23,1661.0,Educational Charts & Posters
301,2021-03-24,1661.0,Educational Charts & Posters
302,2021-03-25,2077.0,Educational Charts & Posters
303,2021-03-26,2077.0,Educational Charts & Posters
304,2021-03-27,2445.0,Educational Charts & Posters
305,2021-03-28,2445.0,Educational Charts & Posters
306,2021-03-29,2677.0,Educational Charts & Posters
307,2021-03-30,2677.0,Educational Charts & Posters
308,2021-03-31,2677.0,Educational Charts & Posters
309,2021-04-01,2610.0,Educational Charts & Posters
310,2021-04-02,2610.0,Educational Charts & Posters
311,2021-04-03,2610.0,Educational Charts & Posters
312,2021-04-04,2748.0,Educational Charts & Posters
313,2021-04-05,2748.0,Educational Charts & Posters
314,2021-04-06,2748.0,Educational Charts & Posters
315,2021-04-07,3320.0,Educational Charts & Posters
316,2021-04-08,3248.0,Educational Charts & Posters
317,2021-04-09,3248.0,Educational Charts & Posters
318,2021-04-10,3248.0,Educational Charts & Posters
319,2021-04-11,3248.0,Educational Charts & Posters
320,2021-04-12,4185.0,Educational Charts & Posters
321,2021-04-13,5268.0,Educational Charts & Posters
322,2021-04-14,5268.0,Educational Charts & Posters
323,2021-04-15,5268.0,Educational Charts & Posters
324,2021-04-16,3546.0,Educational Charts & Posters
325,2021-04-17,3546.0,Educational Charts & Posters
326,2021-04-18,3546.0,Educational Charts & Posters
327,2021-04-19,3546.0,Educational Charts & Posters
328,2021-04-20,3546.0,Educational Charts & Posters
329,2021-04-21,3086.0,Educational Charts & Posters
330,2021-04-22,3086.0,Educational Charts & Posters
331,2021-04-23,3039.0,Educational Charts & Posters
332,2021-04-24,3039.0,Educational Charts & Posters
333,2021-04-25,3039.0,Educational Charts & Posters
334,2021-04-26,3392.0,Educational Charts & Posters
335,2021-04-27,3392.0,Educational Charts & Posters
336,2021-04-28,3988.0,Educational Charts & Posters
337,2021-04-29,3988.0,Educational Charts & Posters
