,date,value,name_B08GKJSZFD
0,2020-10-27,536494.0,Closet Systems
1,2020-10-28,536494.0,Closet Systems
2,2020-10-29,536494.0,Closet Systems
3,2020-10-30,542758.0,Closet Systems
4,2020-10-31,542758.0,Closet Systems
5,2020-11-01,542758.0,Closet Systems
6,2020-11-02,347296.0,Closet Systems
7,2020-11-03,347296.0,Closet Systems
8,2020-11-04,347296.0,Closet Systems
9,2020-11-05,347296.0,Closet Systems
10,2020-11-06,347296.0,Closet Systems
11,2020-11-07,347296.0,Closet Systems
12,2020-11-08,347296.0,Closet Systems
13,2020-11-09,347296.0,Closet Systems
14,2020-11-10,347296.0,Closet Systems
15,2020-11-11,347296.0,Closet Systems
16,2020-11-12,264375.0,Closet Systems
17,2020-11-13,264375.0,Closet Systems
18,2020-11-14,264375.0,Closet Systems
19,2020-11-15,264375.0,Closet Systems
20,2020-11-16,264375.0,Closet Systems
21,2020-11-17,395190.0,Closet Systems
22,2020-11-18,395190.0,Closet Systems
23,2020-11-19,395190.0,Closet Systems
24,2020-11-20,526627.0,Closet Systems
25,2020-11-21,526627.0,Closet Systems
26,2020-11-22,526627.0,Closet Systems
27,2020-11-23,526627.0,Closet Systems
28,2020-11-24,526627.0,Closet Systems
29,2020-11-25,526627.0,Closet Systems
30,2020-11-26,526627.0,Closet Systems
31,2020-11-27,526627.0,Closet Systems
32,2020-11-28,432727.0,Closet Systems
33,2020-11-29,432727.0,Closet Systems
34,2020-11-30,432727.0,Closet Systems
35,2020-12-01,432727.0,Closet Systems
36,2020-12-02,432727.0,Closet Systems
37,2020-12-03,530951.0,Closet Systems
38,2020-12-04,530951.0,Closet Systems
39,2020-12-05,772997.0,Closet Systems
40,2020-12-06,772997.0,Closet Systems
41,2020-12-07,772997.0,Closet Systems
42,2020-12-08,772997.0,Closet Systems
43,2020-12-09,772997.0,Closet Systems
44,2020-12-10,772997.0,Closet Systems
45,2020-12-11,654844.0,Closet Systems
46,2020-12-12,654844.0,Closet Systems
47,2020-12-13,654844.0,Closet Systems
48,2020-12-14,654844.0,Closet Systems
49,2020-12-15,654844.0,Closet Systems
50,2020-12-16,654844.0,Closet Systems
51,2020-12-17,383347.0,Closet Systems
52,2020-12-18,383347.0,Closet Systems
53,2020-12-19,383347.0,Closet Systems
54,2020-12-20,681538.0,Closet Systems
55,2020-12-21,681538.0,Closet Systems
56,2020-12-22,681538.0,Closet Systems
57,2020-12-23,681538.0,Closet Systems
58,2020-12-24,681538.0,Closet Systems
59,2020-12-25,681538.0,Closet Systems
60,2020-12-26,255053.0,Closet Systems
61,2020-12-27,255053.0,Closet Systems
62,2020-12-28,255053.0,Closet Systems
63,2020-12-29,255053.0,Closet Systems
64,2020-12-30,136143.0,Closet Systems
65,2020-12-31,131379.0,Closet Systems
66,2021-01-01,131379.0,Closet Systems
67,2021-01-02,163676.0,Closet Systems
68,2021-01-03,163676.0,Closet Systems
69,2021-01-04,163676.0,Closet Systems
70,2021-01-05,78309.0,Closet Systems
71,2021-01-06,78309.0,Closet Systems
72,2021-01-07,78309.0,Closet Systems
73,2021-01-08,78309.0,Closet Systems
74,2021-01-09,78309.0,Closet Systems
75,2021-01-10,78309.0,Closet Systems
76,2021-01-11,91877.0,Closet Systems
77,2021-01-12,91877.0,Closet Systems
78,2021-01-13,91877.0,Closet Systems
79,2021-01-14,166895.0,Closet Systems
80,2021-01-15,166895.0,Closet Systems
81,2021-01-16,166895.0,Closet Systems
82,2021-01-17,166895.0,Closet Systems
83,2021-01-18,166895.0,Closet Systems
84,2021-01-19,166895.0,Closet Systems
85,2021-01-20,182059.0,Closet Systems
86,2021-01-21,182059.0,Closet Systems
87,2021-01-22,182059.0,Closet Systems
88,2021-01-23,115708.0,Closet Systems
89,2021-01-24,115708.0,Closet Systems
90,2021-01-25,115708.0,Closet Systems
91,2021-01-26,115708.0,Closet Systems
92,2021-01-27,115708.0,Closet Systems
93,2021-01-28,115708.0,Closet Systems
94,2021-01-29,115708.0,Closet Systems
95,2021-01-30,115708.0,Closet Systems
96,2021-01-31,115708.0,Closet Systems
97,2021-02-01,84539.0,Closet Systems
98,2021-02-02,84539.0,Closet Systems
99,2021-02-03,84539.0,Closet Systems
100,2021-02-04,84539.0,Closet Systems
101,2021-02-05,84539.0,Closet Systems
102,2021-02-06,84539.0,Closet Systems
103,2021-02-07,110845.0,Closet Systems
104,2021-02-08,110845.0,Closet Systems
105,2021-02-09,203876.0,Closet Systems
106,2021-02-10,203876.0,Closet Systems
107,2021-02-11,203876.0,Closet Systems
108,2021-02-12,203876.0,Closet Systems
109,2021-02-13,203876.0,Closet Systems
110,2021-02-14,203876.0,Closet Systems
111,2021-02-15,203876.0,Closet Systems
112,2021-02-16,203876.0,Closet Systems
113,2021-02-17,203876.0,Closet Systems
114,2021-02-18,203876.0,Closet Systems
115,2021-02-19,95693.0,Closet Systems
116,2021-02-20,95693.0,Closet Systems
117,2021-02-21,95693.0,Closet Systems
118,2021-02-22,95693.0,Closet Systems
119,2021-02-23,95693.0,Closet Systems
120,2021-02-24,199346.0,Closet Systems
121,2021-02-25,118999.0,Closet Systems
122,2021-02-26,118999.0,Closet Systems
123,2021-02-27,118999.0,Closet Systems
124,2021-02-28,118999.0,Closet Systems
125,2021-03-01,118999.0,Closet Systems
126,2021-03-02,118999.0,Closet Systems
127,2021-03-03,117701.0,Closet Systems
128,2021-03-04,117701.0,Closet Systems
129,2021-03-05,73309.0,Closet Systems
130,2021-03-06,73309.0,Closet Systems
131,2021-03-07,73309.0,Closet Systems
132,2021-03-08,73309.0,Closet Systems
133,2021-03-09,73309.0,Closet Systems
134,2021-03-10,73309.0,Closet Systems
135,2021-03-11,73309.0,Closet Systems
136,2021-03-12,143654.0,Closet Systems
137,2021-03-13,143654.0,Closet Systems
138,2021-03-14,143654.0,Closet Systems
139,2021-03-15,58480.0,Closet Systems
140,2021-03-16,75481.0,Closet Systems
141,2021-03-17,79463.0,Closet Systems
142,2021-03-18,84202.0,Closet Systems
143,2021-03-19,84202.0,Closet Systems
144,2021-03-20,84202.0,Closet Systems
145,2021-03-21,84202.0,Closet Systems
146,2021-03-22,38962.0,Closet Systems
147,2021-03-23,28617.0,Closet Systems
148,2021-03-24,38781.0,Closet Systems
149,2021-03-25,42639.0,Closet Systems
150,2021-03-26,37365.0,Closet Systems
151,2021-03-27,37365.0,Closet Systems
152,2021-03-28,37365.0,Closet Systems
153,2021-03-29,25823.0,Closet Systems
154,2021-03-30,25823.0,Closet Systems
155,2021-03-31,25823.0,Closet Systems
156,2021-04-01,27756.0,Closet Systems
157,2021-04-02,27756.0,Closet Systems
158,2021-04-03,27756.0,Closet Systems
159,2021-04-04,25986.0,Closet Systems
160,2021-04-05,25986.0,Closet Systems
161,2021-04-06,25986.0,Closet Systems
162,2021-04-07,25986.0,Closet Systems
163,2021-04-08,55336.0,Closet Systems
164,2021-04-09,38842.0,Closet Systems
165,2021-04-10,36102.0,Closet Systems
166,2021-04-11,36102.0,Closet Systems
167,2021-04-12,28957.0,Closet Systems
168,2021-04-13,40225.0,Closet Systems
169,2021-04-14,34716.0,Closet Systems
170,2021-04-15,34716.0,Closet Systems
171,2021-04-16,34716.0,Closet Systems
172,2021-04-17,41771.0,Closet Systems
173,2021-04-18,41771.0,Closet Systems
174,2021-04-19,37018.0,Closet Systems
175,2021-04-20,37018.0,Closet Systems
176,2021-04-21,37018.0,Closet Systems
177,2021-04-22,31003.0,Closet Systems
178,2021-04-23,31003.0,Closet Systems
179,2021-04-24,31003.0,Closet Systems
180,2021-04-25,31003.0,Closet Systems
181,2021-04-26,31003.0,Closet Systems
182,2021-04-27,22189.0,Closet Systems
183,2021-04-28,31273.0,Closet Systems
184,2021-04-29,41709.0,Closet Systems
185,2021-04-30,30504.0,Closet Systems
186,2021-05-01,30504.0,Closet Systems
187,2021-05-02,21243.0,Closet Systems
188,2021-05-03,17018.0,Closet Systems
189,2021-05-04,15046.0,Closet Systems
190,2021-05-05,23963.0,Closet Systems
191,2021-05-06,31484.0,Closet Systems
192,2021-05-07,31484.0,Closet Systems
193,2021-05-08,21149.0,Closet Systems
194,2021-05-09,21149.0,Closet Systems
195,2021-05-10,20224.0,Closet Systems
196,2021-05-11,28632.0,Closet Systems
197,2021-05-12,28445.0,Closet Systems
198,2021-05-13,24181.0,Closet Systems
199,2021-05-14,26547.0,Closet Systems
200,2021-05-15,26547.0,Closet Systems
201,2021-05-16,26547.0,Closet Systems
202,2021-05-17,19392.0,Closet Systems
203,2021-05-18,15090.0,Closet Systems
204,2021-05-19,17893.0,Closet Systems
205,2021-05-20,18400.0,Closet Systems
206,2021-05-21,18400.0,Closet Systems
207,2021-05-22,18400.0,Closet Systems
208,2021-05-23,13254.0,Closet Systems
209,2021-05-24,15753.0,Closet Systems
210,2021-05-25,15753.0,Closet Systems
211,2021-05-26,17744.0,Closet Systems
212,2021-05-27,16270.0,Closet Systems
213,2021-05-28,14973.0,Closet Systems
214,2021-05-29,14973.0,Closet Systems
215,2021-05-30,14973.0,Closet Systems
216,2021-05-31,15833.0,Closet Systems
217,2021-06-01,18565.0,Closet Systems
218,2021-06-02,18565.0,Closet Systems
219,2021-06-03,19568.0,Closet Systems
220,2021-06-04,19568.0,Closet Systems
221,2021-06-05,18359.0,Closet Systems
222,2021-06-06,18359.0,Closet Systems
223,2021-06-07,23460.0,Closet Systems
224,2021-06-08,14558.0,Closet Systems
225,2021-06-09,14280.0,Closet Systems
226,2021-06-10,14664.0,Closet Systems
227,2021-06-11,14711.0,Closet Systems
228,2021-06-12,14711.0,Closet Systems
229,2021-06-13,14711.0,Closet Systems
230,2021-06-14,14612.0,Closet Systems
231,2021-06-15,19644.0,Closet Systems
232,2021-06-16,19644.0,Closet Systems
233,2021-06-17,18121.0,Closet Systems
234,2021-06-18,22091.0,Closet Systems
235,2021-06-19,22091.0,Closet Systems
236,2021-06-20,16483.0,Closet Systems
237,2021-06-21,19200.0,Closet Systems
238,2021-06-22,11590.0,Closet Systems
239,2021-06-23,11590.0,Closet Systems
240,2021-06-24,11630.0,Closet Systems
241,2021-06-25,11630.0,Closet Systems
242,2021-06-26,11630.0,Closet Systems
243,2021-06-27,15913.0,Closet Systems
244,2021-06-28,15913.0,Closet Systems
245,2021-06-29,25148.0,Closet Systems
246,2021-06-30,24779.0,Closet Systems
247,2021-07-01,22058.0,Closet Systems
248,2021-07-02,21549.0,Closet Systems
249,2021-07-03,21549.0,Closet Systems
250,2021-07-04,19798.0,Closet Systems
251,2021-07-05,22603.0,Closet Systems
252,2021-07-06,22603.0,Closet Systems
253,2021-07-07,21746.0,Closet Systems
254,2021-07-08,16945.0,Closet Systems
255,2021-07-09,19253.0,Closet Systems
