,date,value,name_B07R6NYY6L
127,2020-09-29,1836.0,Fish Oil Supplements
128,2020-09-30,1836.0,Fish Oil Supplements
129,2020-10-01,1561.0,Fish Oil Supplements
130,2020-10-02,1561.0,Fish Oil Supplements
131,2020-10-03,1561.0,Fish Oil Supplements
132,2020-10-04,1495.0,Fish Oil Supplements
133,2020-10-05,1495.0,Fish Oil Supplements
134,2020-10-06,1495.0,Fish Oil Supplements
135,2020-10-07,1676.0,Fish Oil Supplements
136,2020-10-08,1676.0,Fish Oil Supplements
137,2020-10-09,1676.0,Fish Oil Supplements
138,2020-10-10,1549.0,Fish Oil Supplements
139,2020-10-11,1549.0,Fish Oil Supplements
140,2020-10-12,1549.0,Fish Oil Supplements
141,2020-10-13,1802.0,Fish Oil Supplements
142,2020-10-14,1798.0,Fish Oil Supplements
143,2020-10-15,1951.0,Fish Oil Supplements
144,2020-10-16,1951.0,Fish Oil Supplements
145,2020-10-17,1951.0,Fish Oil Supplements
146,2020-10-18,1286.0,Fish Oil Supplements
147,2020-10-19,1286.0,Fish Oil Supplements
148,2020-10-20,1286.0,Fish Oil Supplements
149,2020-10-21,1351.0,Fish Oil Supplements
150,2020-10-22,1351.0,Fish Oil Supplements
151,2020-10-23,1351.0,Fish Oil Supplements
152,2020-10-24,1544.0,Fish Oil Supplements
153,2020-10-25,1544.0,Fish Oil Supplements
154,2020-10-26,1501.0,Fish Oil Supplements
155,2020-10-27,1501.0,Fish Oil Supplements
156,2020-10-28,1501.0,Fish Oil Supplements
157,2020-10-29,1294.0,Fish Oil Supplements
158,2020-10-30,1294.0,Fish Oil Supplements
159,2020-10-31,1294.0,Fish Oil Supplements
160,2020-11-01,1294.0,Fish Oil Supplements
161,2020-11-02,1285.0,Fish Oil Supplements
162,2020-11-03,1319.0,Fish Oil Supplements
163,2020-11-04,1319.0,Fish Oil Supplements
164,2020-11-05,1319.0,Fish Oil Supplements
165,2020-11-06,1303.0,Fish Oil Supplements
166,2020-11-07,1303.0,Fish Oil Supplements
167,2020-11-08,1157.0,Fish Oil Supplements
168,2020-11-09,1157.0,Fish Oil Supplements
169,2020-11-10,1263.0,Fish Oil Supplements
170,2020-11-11,1048.0,Fish Oil Supplements
171,2020-11-12,1048.0,Fish Oil Supplements
172,2020-11-13,1048.0,Fish Oil Supplements
173,2020-11-14,1048.0,Fish Oil Supplements
174,2020-11-15,1217.0,Fish Oil Supplements
175,2020-11-16,1217.0,Fish Oil Supplements
176,2020-11-17,1217.0,Fish Oil Supplements
177,2020-11-18,1152.0,Fish Oil Supplements
178,2020-11-19,1152.0,Fish Oil Supplements
179,2020-11-20,1152.0,Fish Oil Supplements
180,2020-11-21,1152.0,Fish Oil Supplements
181,2020-11-22,1437.0,Fish Oil Supplements
182,2020-11-23,1329.0,Fish Oil Supplements
183,2020-11-24,1329.0,Fish Oil Supplements
184,2020-11-25,1205.0,Fish Oil Supplements
185,2020-11-26,1128.0,Fish Oil Supplements
186,2020-11-27,1128.0,Fish Oil Supplements
187,2020-11-28,1472.0,Fish Oil Supplements
188,2020-11-29,1472.0,Fish Oil Supplements
189,2020-11-30,1472.0,Fish Oil Supplements
190,2020-12-01,1281.0,Fish Oil Supplements
191,2020-12-02,1281.0,Fish Oil Supplements
192,2020-12-03,1281.0,Fish Oil Supplements
193,2020-12-04,1193.0,Fish Oil Supplements
194,2020-12-05,1193.0,Fish Oil Supplements
195,2020-12-06,1193.0,Fish Oil Supplements
196,2020-12-07,1251.0,Fish Oil Supplements
197,2020-12-08,1207.0,Fish Oil Supplements
198,2020-12-09,1207.0,Fish Oil Supplements
199,2020-12-10,1311.0,Fish Oil Supplements
200,2020-12-11,1273.0,Fish Oil Supplements
201,2020-12-12,1413.0,Fish Oil Supplements
202,2020-12-13,1460.0,Fish Oil Supplements
203,2020-12-14,1434.0,Fish Oil Supplements
204,2020-12-15,1306.0,Fish Oil Supplements
205,2020-12-16,1308.0,Fish Oil Supplements
206,2020-12-17,1233.0,Fish Oil Supplements
207,2020-12-18,1118.0,Fish Oil Supplements
208,2020-12-19,1118.0,Fish Oil Supplements
209,2020-12-20,1408.0,Fish Oil Supplements
210,2020-12-21,1112.0,Fish Oil Supplements
211,2020-12-22,1249.0,Fish Oil Supplements
212,2020-12-23,1188.0,Fish Oil Supplements
213,2020-12-24,1106.0,Fish Oil Supplements
214,2020-12-25,975.0,Fish Oil Supplements
215,2020-12-26,975.0,Fish Oil Supplements
216,2020-12-27,952.0,Fish Oil Supplements
217,2020-12-28,1008.0,Fish Oil Supplements
218,2020-12-29,1008.0,Fish Oil Supplements
219,2020-12-30,859.0,Fish Oil Supplements
220,2020-12-31,859.0,Fish Oil Supplements
221,2021-01-01,859.0,Fish Oil Supplements
222,2021-01-02,974.0,Fish Oil Supplements
223,2021-01-03,1026.0,Fish Oil Supplements
224,2021-01-04,1026.0,Fish Oil Supplements
225,2021-01-05,1026.0,Fish Oil Supplements
226,2021-01-06,1149.0,Fish Oil Supplements
227,2021-01-07,1149.0,Fish Oil Supplements
228,2021-01-08,1149.0,Fish Oil Supplements
229,2021-01-09,1097.0,Fish Oil Supplements
230,2021-01-10,902.0,Fish Oil Supplements
231,2021-01-11,902.0,Fish Oil Supplements
232,2021-01-12,1136.0,Fish Oil Supplements
233,2021-01-13,1136.0,Fish Oil Supplements
234,2021-01-14,1136.0,Fish Oil Supplements
235,2021-01-15,988.0,Fish Oil Supplements
236,2021-01-16,988.0,Fish Oil Supplements
237,2021-01-17,988.0,Fish Oil Supplements
238,2021-01-18,942.0,Fish Oil Supplements
239,2021-01-19,942.0,Fish Oil Supplements
240,2021-01-20,942.0,Fish Oil Supplements
241,2021-01-21,887.0,Fish Oil Supplements
242,2021-01-22,887.0,Fish Oil Supplements
243,2021-01-23,1005.0,Fish Oil Supplements
244,2021-01-24,1005.0,Fish Oil Supplements
245,2021-01-25,1085.0,Fish Oil Supplements
246,2021-01-26,1021.0,Fish Oil Supplements
247,2021-01-27,1021.0,Fish Oil Supplements
248,2021-01-28,1021.0,Fish Oil Supplements
249,2021-01-29,930.0,Fish Oil Supplements
250,2021-01-30,930.0,Fish Oil Supplements
251,2021-01-31,893.0,Fish Oil Supplements
252,2021-02-01,893.0,Fish Oil Supplements
253,2021-02-02,893.0,Fish Oil Supplements
254,2021-02-03,990.0,Fish Oil Supplements
255,2021-02-04,990.0,Fish Oil Supplements
256,2021-02-05,990.0,Fish Oil Supplements
257,2021-02-06,1059.0,Fish Oil Supplements
258,2021-02-07,1059.0,Fish Oil Supplements
259,2021-02-08,910.0,Fish Oil Supplements
260,2021-02-09,910.0,Fish Oil Supplements
261,2021-02-10,910.0,Fish Oil Supplements
262,2021-02-11,888.0,Fish Oil Supplements
263,2021-02-12,888.0,Fish Oil Supplements
264,2021-02-13,945.0,Fish Oil Supplements
265,2021-02-14,945.0,Fish Oil Supplements
266,2021-02-15,945.0,Fish Oil Supplements
267,2021-02-16,855.0,Fish Oil Supplements
268,2021-02-17,855.0,Fish Oil Supplements
