,date,value,name_B08SGBCJTN
0,2021-03-22,30271.0,Plant Container Accessories
1,2021-03-23,30271.0,Plant Container Accessories
2,2021-03-24,16474.0,Plant Container Accessories
3,2021-03-25,16474.0,Plant Container Accessories
4,2021-03-26,16474.0,Plant Container Accessories
5,2021-03-27,16474.0,Plant Container Accessories
6,2021-03-28,6240.0,Plant Container Accessories
7,2021-03-29,6240.0,Plant Container Accessories
8,2021-03-30,7582.0,Plant Container Accessories
9,2021-03-31,7582.0,Plant Container Accessories
10,2021-04-01,7582.0,Plant Container Accessories
11,2021-04-02,10768.0,Plant Container Accessories
12,2021-04-03,10768.0,Plant Container Accessories
13,2021-04-04,10768.0,Plant Container Accessories
14,2021-04-05,5469.0,Plant Container Accessories
15,2021-04-06,5591.0,Plant Container Accessories
16,2021-04-07,5591.0,Plant Container Accessories
17,2021-04-08,8892.0,Plant Container Accessories
18,2021-04-09,8892.0,Plant Container Accessories
19,2021-04-10,6726.0,Plant Container Accessories
20,2021-04-11,5240.0,Plant Container Accessories
21,2021-04-12,6458.0,Plant Container Accessories
22,2021-04-13,6458.0,Plant Container Accessories
23,2021-04-14,10663.0,Plant Container Accessories
24,2021-04-15,9493.0,Plant Container Accessories
25,2021-04-16,10962.0,Plant Container Accessories
26,2021-04-17,10962.0,Plant Container Accessories
27,2021-04-18,4404.0,Plant Container Accessories
28,2021-04-19,3879.0,Plant Container Accessories
29,2021-04-20,3879.0,Plant Container Accessories
30,2021-04-21,2936.0,Plant Container Accessories
31,2021-04-22,2855.0,Plant Container Accessories
32,2021-04-23,2855.0,Plant Container Accessories
33,2021-04-24,2714.0,Plant Container Accessories
34,2021-04-25,2714.0,Plant Container Accessories
35,2021-04-26,810.0,Plant Container Accessories
36,2021-04-27,810.0,Plant Container Accessories
37,2021-04-28,1479.0,Plant Container Accessories
38,2021-04-29,1479.0,Plant Container Accessories
39,2021-04-30,1367.0,Plant Container Accessories
40,2021-05-01,1269.0,Plant Container Accessories
41,2021-05-02,1269.0,Plant Container Accessories
42,2021-05-03,1136.0,Plant Container Accessories
43,2021-05-04,1258.0,Plant Container Accessories
44,2021-05-05,1258.0,Plant Container Accessories
45,2021-05-06,1175.0,Plant Container Accessories
46,2021-05-07,1222.0,Plant Container Accessories
47,2021-05-08,1222.0,Plant Container Accessories
48,2021-05-09,1207.0,Plant Container Accessories
49,2021-05-10,1207.0,Plant Container Accessories
50,2021-05-11,1211.0,Plant Container Accessories
51,2021-05-12,1211.0,Plant Container Accessories
52,2021-05-13,1099.0,Plant Container Accessories
53,2021-05-14,1099.0,Plant Container Accessories
54,2021-05-15,1128.0,Plant Container Accessories
55,2021-05-16,785.0,Plant Container Accessories
56,2021-05-17,785.0,Plant Container Accessories
57,2021-05-18,785.0,Plant Container Accessories
58,2021-05-19,1238.0,Plant Container Accessories
59,2021-05-20,1372.0,Plant Container Accessories
60,2021-05-21,1199.0,Plant Container Accessories
61,2021-05-22,1314.0,Plant Container Accessories
62,2021-05-23,1314.0,Plant Container Accessories
63,2021-05-24,1274.0,Plant Container Accessories
64,2021-05-25,1694.0,Plant Container Accessories
65,2021-05-26,1739.0,Plant Container Accessories
66,2021-05-27,1739.0,Plant Container Accessories
67,2021-05-28,1113.0,Plant Container Accessories
68,2021-05-29,1113.0,Plant Container Accessories
69,2021-05-30,1244.0,Plant Container Accessories
70,2021-05-31,1663.0,Plant Container Accessories
71,2021-06-01,2224.0,Plant Container Accessories
72,2021-06-02,1804.0,Plant Container Accessories
73,2021-06-03,1734.0,Plant Container Accessories
74,2021-06-04,1763.0,Plant Container Accessories
75,2021-06-05,1763.0,Plant Container Accessories
76,2021-06-06,1555.0,Plant Container Accessories
77,2021-06-07,1555.0,Plant Container Accessories
78,2021-06-08,1566.0,Plant Container Accessories
79,2021-06-09,2109.0,Plant Container Accessories
80,2021-06-10,2109.0,Plant Container Accessories
81,2021-06-11,2296.0,Plant Container Accessories
82,2021-06-12,2296.0,Plant Container Accessories
83,2021-06-13,1519.0,Plant Container Accessories
84,2021-06-14,1519.0,Plant Container Accessories
85,2021-06-15,1519.0,Plant Container Accessories
86,2021-06-16,1198.0,Plant Container Accessories
87,2021-06-17,1198.0,Plant Container Accessories
88,2021-06-18,1102.0,Plant Container Accessories
89,2021-06-19,1152.0,Plant Container Accessories
90,2021-06-20,1006.0,Plant Container Accessories
91,2021-06-21,951.0,Plant Container Accessories
92,2021-06-22,951.0,Plant Container Accessories
93,2021-06-23,1897.0,Plant Container Accessories
94,2021-06-24,1901.0,Plant Container Accessories
95,2021-06-25,1901.0,Plant Container Accessories
96,2021-06-26,1596.0,Plant Container Accessories
97,2021-06-27,1940.0,Plant Container Accessories
98,2021-06-28,1940.0,Plant Container Accessories
99,2021-06-29,1975.0,Plant Container Accessories
100,2021-06-30,1975.0,Plant Container Accessories
101,2021-07-01,2671.0,Plant Container Accessories
102,2021-07-02,2671.0,Plant Container Accessories
103,2021-07-03,1976.0,Plant Container Accessories
104,2021-07-04,1976.0,Plant Container Accessories
105,2021-07-05,1976.0,Plant Container Accessories
106,2021-07-06,2363.0,Plant Container Accessories
107,2021-07-07,2363.0,Plant Container Accessories
108,2021-07-08,2946.0,Plant Container Accessories
109,2021-07-09,3159.0,Plant Container Accessories
110,2021-07-10,2681.0,Plant Container Accessories
