,date,value,name_B083969CH5
0,2020-05-25,1764.0,Beds
1,2020-05-26,1764.0,Beds
2,2020-05-27,1764.0,Beds
3,2020-05-28,1452.0,Beds
4,2020-05-29,1469.0,Beds
5,2020-05-30,1469.0,Beds
6,2020-05-31,1270.0,Beds
7,2020-06-01,1270.0,Beds
8,2020-06-02,1548.0,Beds
9,2020-06-03,1548.0,Beds
10,2020-06-04,1548.0,Beds
11,2020-06-05,1523.0,Beds
12,2020-06-06,1847.0,Beds
13,2020-06-07,1847.0,Beds
14,2020-06-08,1847.0,Beds
15,2020-06-09,3479.0,Beds
16,2020-06-10,3479.0,Beds
17,2020-06-11,3479.0,Beds
18,2020-06-12,4292.0,Beds
19,2020-06-13,4292.0,Beds
20,2020-06-14,4292.0,Beds
21,2020-06-15,4292.0,Beds
22,2020-06-16,5198.0,Beds
23,2020-06-17,5198.0,Beds
24,2020-06-18,4334.0,Beds
25,2020-06-19,4350.0,Beds
26,2020-06-20,4350.0,Beds
27,2020-06-21,2811.0,Beds
28,2020-06-22,2811.0,Beds
29,2020-06-23,2811.0,Beds
30,2020-06-24,1948.0,Beds
31,2020-06-25,1948.0,Beds
32,2020-06-26,1948.0,Beds
33,2020-06-27,2674.0,Beds
34,2020-06-28,2674.0,Beds
35,2020-06-29,1987.0,Beds
36,2020-06-30,1987.0,Beds
37,2020-07-01,1987.0,Beds
38,2020-07-02,2283.0,Beds
39,2020-07-03,2283.0,Beds
40,2020-07-04,2283.0,Beds
41,2020-07-05,2283.0,Beds
42,2020-07-06,2944.0,Beds
43,2020-07-07,2469.0,Beds
44,2020-07-08,2419.0,Beds
45,2020-07-09,2293.0,Beds
46,2020-07-10,2293.0,Beds
47,2020-07-11,2293.0,Beds
48,2020-07-12,2226.0,Beds
49,2020-07-13,2226.0,Beds
50,2020-07-14,2146.0,Beds
51,2020-07-15,2204.0,Beds
52,2020-07-16,2208.0,Beds
53,2020-07-17,2025.0,Beds
54,2020-07-18,2025.0,Beds
55,2020-07-19,2025.0,Beds
56,2020-07-20,2529.0,Beds
57,2020-07-21,2529.0,Beds
58,2020-07-22,3037.0,Beds
59,2020-07-23,3037.0,Beds
60,2020-07-24,2860.0,Beds
61,2020-07-25,2860.0,Beds
62,2020-07-26,2860.0,Beds
63,2020-07-27,2805.0,Beds
64,2020-07-28,2805.0,Beds
65,2020-07-29,2805.0,Beds
66,2020-07-30,3678.0,Beds
67,2020-07-31,3678.0,Beds
68,2020-08-01,2936.0,Beds
69,2020-08-02,2936.0,Beds
70,2020-08-03,2936.0,Beds
71,2020-08-04,2239.0,Beds
72,2020-08-05,2239.0,Beds
73,2020-08-06,2109.0,Beds
74,2020-08-07,1943.0,Beds
75,2020-08-08,1943.0,Beds
76,2020-08-09,1499.0,Beds
77,2020-08-10,1499.0,Beds
78,2020-08-11,1417.0,Beds
79,2020-08-12,1417.0,Beds
80,2020-08-13,1382.0,Beds
81,2020-08-14,1382.0,Beds
82,2020-08-15,1661.0,Beds
83,2020-08-16,1161.0,Beds
84,2020-08-17,1161.0,Beds
85,2020-08-18,1161.0,Beds
86,2020-08-19,1359.0,Beds
87,2020-08-20,1275.0,Beds
88,2020-08-21,1275.0,Beds
89,2020-08-22,1345.0,Beds
90,2020-08-23,1345.0,Beds
91,2020-08-24,1345.0,Beds
92,2020-08-25,908.0,Beds
93,2020-08-26,976.0,Beds
94,2020-08-27,1067.0,Beds
95,2020-08-28,1021.0,Beds
96,2020-08-29,1042.0,Beds
97,2020-08-30,1042.0,Beds
98,2020-08-31,1164.0,Beds
99,2020-09-01,1131.0,Beds
100,2020-09-02,1470.0,Beds
101,2020-09-03,1470.0,Beds
102,2020-09-04,1466.0,Beds
103,2020-09-05,1466.0,Beds
104,2020-09-06,1400.0,Beds
105,2020-09-07,1339.0,Beds
106,2020-09-08,1443.0,Beds
107,2020-09-09,1218.0,Beds
108,2020-09-10,1207.0,Beds
109,2020-09-11,1207.0,Beds
110,2020-09-12,1207.0,Beds
111,2020-09-13,1141.0,Beds
112,2020-09-14,1141.0,Beds
113,2020-09-15,1266.0,Beds
114,2020-09-16,1316.0,Beds
115,2020-09-17,1407.0,Beds
116,2020-09-18,1683.0,Beds
117,2020-09-19,1683.0,Beds
118,2020-09-20,2213.0,Beds
119,2020-09-21,1909.0,Beds
120,2020-09-22,1909.0,Beds
121,2020-09-23,2282.0,Beds
122,2020-09-24,2301.0,Beds
123,2020-09-25,2301.0,Beds
124,2020-09-26,2301.0,Beds
125,2020-09-27,2925.0,Beds
126,2020-09-28,2925.0,Beds
127,2020-09-29,2925.0,Beds
128,2020-09-30,2861.0,Beds
129,2020-10-01,3432.0,Beds
130,2020-10-02,3432.0,Beds
131,2020-10-03,3432.0,Beds
132,2020-10-04,4480.0,Beds
133,2020-10-05,4480.0,Beds
134,2020-10-06,2259.0,Beds
135,2020-10-07,2537.0,Beds
136,2020-10-08,2467.0,Beds
137,2020-10-09,3867.0,Beds
138,2020-10-10,3867.0,Beds
139,2020-10-11,3867.0,Beds
140,2020-10-12,3005.0,Beds
141,2020-10-13,2842.0,Beds
142,2020-10-14,1361.0,Beds
143,2020-10-15,1419.0,Beds
144,2020-10-16,1419.0,Beds
145,2020-10-17,3169.0,Beds
146,2020-10-18,3169.0,Beds
147,2020-10-19,3365.0,Beds
148,2020-10-20,3365.0,Beds
149,2020-10-21,3365.0,Beds
150,2020-10-22,3606.0,Beds
151,2020-10-23,5309.0,Beds
152,2020-10-24,4672.0,Beds
153,2020-10-25,4641.0,Beds
154,2020-10-26,3738.0,Beds
155,2020-10-27,3822.0,Beds
156,2020-10-28,3822.0,Beds
157,2020-10-29,3871.0,Beds
158,2020-10-30,3871.0,Beds
159,2020-10-31,3871.0,Beds
160,2020-11-01,3871.0,Beds
161,2020-11-02,4391.0,Beds
162,2020-11-03,3924.0,Beds
163,2020-11-04,3921.0,Beds
164,2020-11-05,3921.0,Beds
165,2020-11-06,3570.0,Beds
166,2020-11-07,4067.0,Beds
167,2020-11-08,4067.0,Beds
168,2020-11-09,2786.0,Beds
169,2020-11-10,1629.0,Beds
170,2020-11-11,1481.0,Beds
171,2020-11-12,1535.0,Beds
172,2020-11-13,1535.0,Beds
173,2020-11-14,1648.0,Beds
174,2020-11-15,1648.0,Beds
175,2020-11-16,1481.0,Beds
176,2020-11-17,1619.0,Beds
177,2020-11-18,1619.0,Beds
178,2020-11-19,3933.0,Beds
179,2020-11-20,3805.0,Beds
180,2020-11-21,3408.0,Beds
181,2020-11-22,3408.0,Beds
182,2020-11-23,3408.0,Beds
183,2020-11-24,3008.0,Beds
184,2020-11-25,3312.0,Beds
185,2020-11-26,3312.0,Beds
186,2020-11-27,2819.0,Beds
187,2020-11-28,2819.0,Beds
188,2020-11-29,2819.0,Beds
189,2020-11-30,2190.0,Beds
190,2020-12-01,2190.0,Beds
191,2020-12-02,3098.0,Beds
192,2020-12-03,3098.0,Beds
193,2020-12-04,4148.0,Beds
194,2020-12-05,4157.0,Beds
195,2020-12-06,4157.0,Beds
196,2020-12-07,3594.0,Beds
197,2020-12-08,3721.0,Beds
198,2020-12-09,4172.0,Beds
199,2020-12-10,4144.0,Beds
200,2020-12-11,4144.0,Beds
201,2020-12-12,4144.0,Beds
202,2020-12-13,4144.0,Beds
203,2020-12-14,3852.0,Beds
204,2020-12-15,4252.0,Beds
205,2020-12-16,4577.0,Beds
206,2020-12-17,4577.0,Beds
207,2020-12-18,4577.0,Beds
208,2020-12-19,4031.0,Beds
209,2020-12-20,3790.0,Beds
210,2020-12-21,3790.0,Beds
211,2020-12-22,3077.0,Beds
212,2020-12-23,3538.0,Beds
213,2020-12-24,3832.0,Beds
214,2020-12-25,3832.0,Beds
215,2020-12-26,3832.0,Beds
216,2020-12-27,3696.0,Beds
217,2020-12-28,3696.0,Beds
218,2020-12-29,3144.0,Beds
219,2020-12-30,2751.0,Beds
220,2020-12-31,3480.0,Beds
221,2021-01-01,3480.0,Beds
222,2021-01-02,3480.0,Beds
223,2021-01-03,3480.0,Beds
224,2021-01-04,3754.0,Beds
225,2021-01-05,4066.0,Beds
226,2021-01-06,4066.0,Beds
227,2021-01-07,4066.0,Beds
228,2021-01-08,3424.0,Beds
229,2021-01-09,3919.0,Beds
230,2021-01-10,3608.0,Beds
231,2021-01-11,3638.0,Beds
232,2021-01-12,3638.0,Beds
233,2021-01-13,3638.0,Beds
234,2021-01-14,3423.0,Beds
235,2021-01-15,3423.0,Beds
236,2021-01-16,3423.0,Beds
237,2021-01-17,3423.0,Beds
238,2021-01-18,4153.0,Beds
239,2021-01-19,4153.0,Beds
240,2021-01-20,3322.0,Beds
241,2021-01-21,3322.0,Beds
242,2021-01-22,4406.0,Beds
243,2021-01-23,4406.0,Beds
244,2021-01-24,3234.0,Beds
245,2021-01-25,3234.0,Beds
246,2021-01-26,3688.0,Beds
247,2021-01-27,2984.0,Beds
248,2021-01-28,2855.0,Beds
249,2021-01-29,3102.0,Beds
250,2021-01-30,3102.0,Beds
251,2021-01-31,3112.0,Beds
252,2021-02-01,3112.0,Beds
253,2021-02-02,3427.0,Beds
254,2021-02-03,4412.0,Beds
255,2021-02-04,4412.0,Beds
256,2021-02-05,4187.0,Beds
257,2021-02-06,4187.0,Beds
258,2021-02-07,4187.0,Beds
259,2021-02-08,4066.0,Beds
260,2021-02-09,4066.0,Beds
261,2021-02-10,3265.0,Beds
262,2021-02-11,3265.0,Beds
263,2021-02-12,3474.0,Beds
264,2021-02-13,3474.0,Beds
265,2021-02-14,4060.0,Beds
266,2021-02-15,3849.0,Beds
267,2021-02-16,3849.0,Beds
268,2021-02-17,3877.0,Beds
269,2021-02-18,3730.0,Beds
270,2021-02-19,3233.0,Beds
271,2021-02-20,3233.0,Beds
272,2021-02-21,3233.0,Beds
273,2021-02-22,5342.0,Beds
274,2021-02-23,5342.0,Beds
275,2021-02-24,4630.0,Beds
276,2021-02-25,4622.0,Beds
277,2021-02-26,3852.0,Beds
278,2021-02-27,5067.0,Beds
279,2021-02-28,5067.0,Beds
280,2021-03-01,5067.0,Beds
281,2021-03-02,5276.0,Beds
282,2021-03-03,5276.0,Beds
283,2021-03-04,5276.0,Beds
284,2021-03-05,6491.0,Beds
285,2021-03-06,6491.0,Beds
286,2021-03-07,6491.0,Beds
287,2021-03-08,6183.0,Beds
288,2021-03-09,6183.0,Beds
289,2021-03-10,5514.0,Beds
290,2021-03-11,5890.0,Beds
291,2021-03-12,5890.0,Beds
292,2021-03-13,5890.0,Beds
293,2021-03-14,6480.0,Beds
294,2021-03-15,5254.0,Beds
295,2021-03-16,6381.0,Beds
296,2021-03-17,6381.0,Beds
297,2021-03-18,6381.0,Beds
298,2021-03-19,6118.0,Beds
299,2021-03-20,6118.0,Beds
300,2021-03-21,6118.0,Beds
301,2021-03-22,5842.0,Beds
302,2021-03-23,5527.0,Beds
303,2021-03-24,5527.0,Beds
304,2021-03-25,5847.0,Beds
305,2021-03-26,5345.0,Beds
306,2021-03-27,5345.0,Beds
307,2021-03-28,5345.0,Beds
308,2021-03-29,5366.0,Beds
309,2021-03-30,5366.0,Beds
310,2021-03-31,5366.0,Beds
311,2021-04-01,4958.0,Beds
312,2021-04-02,4958.0,Beds
313,2021-04-03,4958.0,Beds
314,2021-04-04,5228.0,Beds
315,2021-04-05,5228.0,Beds
316,2021-04-06,5228.0,Beds
317,2021-04-07,5228.0,Beds
318,2021-04-08,5534.0,Beds
319,2021-04-09,5534.0,Beds
320,2021-04-10,5534.0,Beds
321,2021-04-11,6409.0,Beds
322,2021-04-12,6409.0,Beds
323,2021-04-13,6409.0,Beds
324,2021-04-14,4684.0,Beds
325,2021-04-15,4684.0,Beds
326,2021-04-16,6506.0,Beds
327,2021-04-17,6506.0,Beds
328,2021-04-18,6497.0,Beds
329,2021-04-19,6497.0,Beds
330,2021-04-20,7113.0,Beds
331,2021-04-21,7113.0,Beds
332,2021-04-22,7113.0,Beds
333,2021-04-23,4879.0,Beds
334,2021-04-24,4879.0,Beds
335,2021-04-25,5461.0,Beds
336,2021-04-26,4830.0,Beds
337,2021-04-27,4996.0,Beds
338,2021-04-28,5026.0,Beds
339,2021-04-29,5724.0,Beds
340,2021-04-30,5724.0,Beds
341,2021-05-01,5724.0,Beds
342,2021-05-02,5724.0,Beds
343,2021-05-03,5440.0,Beds
344,2021-05-04,5440.0,Beds
345,2021-05-05,4027.0,Beds
346,2021-05-06,4027.0,Beds
347,2021-05-07,4300.0,Beds
348,2021-05-08,4300.0,Beds
349,2021-05-09,4888.0,Beds
350,2021-05-10,5608.0,Beds
351,2021-05-11,5224.0,Beds
352,2021-05-12,5328.0,Beds
353,2021-05-13,4711.0,Beds
354,2021-05-14,5279.0,Beds
355,2021-05-15,5279.0,Beds
356,2021-05-16,5279.0,Beds
357,2021-05-17,5850.0,Beds
358,2021-05-18,5850.0,Beds
359,2021-05-19,5850.0,Beds
360,2021-05-20,6457.0,Beds
361,2021-05-21,6905.0,Beds
362,2021-05-22,6905.0,Beds
363,2021-05-23,4428.0,Beds
364,2021-05-24,4428.0,Beds
365,2021-05-25,3731.0,Beds
366,2021-05-26,3921.0,Beds
367,2021-05-27,3921.0,Beds
368,2021-05-28,4161.0,Beds
369,2021-05-29,4161.0,Beds
370,2021-05-30,4161.0,Beds
371,2021-05-31,4161.0,Beds
372,2021-06-01,3133.0,Beds
373,2021-06-02,2779.0,Beds
374,2021-06-03,2779.0,Beds
375,2021-06-04,3837.0,Beds
376,2021-06-05,3837.0,Beds
377,2021-06-06,3837.0,Beds
378,2021-06-07,4235.0,Beds
379,2021-06-08,3856.0,Beds
380,2021-06-09,3654.0,Beds
381,2021-06-10,3315.0,Beds
382,2021-06-11,3176.0,Beds
383,2021-06-12,3176.0,Beds
384,2021-06-13,4413.0,Beds
385,2021-06-14,4141.0,Beds
386,2021-06-15,4835.0,Beds
387,2021-06-16,4835.0,Beds
388,2021-06-17,4835.0,Beds
389,2021-06-18,4518.0,Beds
390,2021-06-19,4518.0,Beds
391,2021-06-20,4662.0,Beds
392,2021-06-21,4662.0,Beds
393,2021-06-22,5272.0,Beds
394,2021-06-23,5272.0,Beds
395,2021-06-24,5272.0,Beds
396,2021-06-25,5304.0,Beds
397,2021-06-26,5304.0,Beds
398,2021-06-27,5384.0,Beds
399,2021-06-28,4814.0,Beds
400,2021-06-29,4925.0,Beds
401,2021-06-30,4925.0,Beds
402,2021-07-01,4925.0,Beds
403,2021-07-02,5474.0,Beds
404,2021-07-03,5474.0,Beds
405,2021-07-04,5814.0,Beds
406,2021-07-05,5814.0,Beds
407,2021-07-06,5814.0,Beds
408,2021-07-07,4747.0,Beds
409,2021-07-08,4747.0,Beds
