,date,value,name_B091V1PV1F
0,2021-06-21,20979.0,Tablecloths
1,2021-06-22,22777.0,Tablecloths
2,2021-06-23,23007.0,Tablecloths
3,2021-06-24,26560.0,Tablecloths
4,2021-06-25,14297.0,Tablecloths
5,2021-06-26,14726.0,Tablecloths
6,2021-06-27,14726.0,Tablecloths
7,2021-06-28,8819.0,Tablecloths
8,2021-06-29,7835.0,Tablecloths
9,2021-06-30,9469.0,Tablecloths
10,2021-07-01,9018.0,Tablecloths
11,2021-07-02,11478.0,Tablecloths
12,2021-07-03,113295.0,Tablecloths
13,2021-07-04,135057.0,Tablecloths
14,2021-07-05,88119.0,Tablecloths
15,2021-07-06,155372.0,Tablecloths
16,2021-07-07,64397.0,Tablecloths
17,2021-07-08,19514.0,Tablecloths
18,2021-07-09,15208.0,Tablecloths
