,date,value,name_B01M09PKO1
0,2018-06-07,245972.0,Iced Beverage Dispensers
1,2018-06-08,285288.0,Iced Beverage Dispensers
2,2018-06-09,285288.0,Iced Beverage Dispensers
3,2018-06-10,345900.0,Iced Beverage Dispensers
4,2018-06-11,400080.0,Iced Beverage Dispensers
5,2018-06-12,400080.0,Iced Beverage Dispensers
6,2018-06-13,400080.0,Iced Beverage Dispensers
7,2018-06-14,530122.0,Iced Beverage Dispensers
8,2018-06-15,553347.0,Iced Beverage Dispensers
9,2018-06-16,553347.0,Iced Beverage Dispensers
10,2018-06-17,587030.0,Iced Beverage Dispensers
11,2018-06-18,617853.0,Iced Beverage Dispensers
12,2018-06-19,632839.0,Iced Beverage Dispensers
13,2018-06-20,655122.0,Iced Beverage Dispensers
14,2018-06-21,668629.0,Iced Beverage Dispensers
15,2018-06-22,684222.0,Iced Beverage Dispensers
16,2018-06-23,709613.0,Iced Beverage Dispensers
17,2018-06-24,709613.0,Iced Beverage Dispensers
18,2018-06-25,754621.0,Iced Beverage Dispensers
19,2018-06-26,754621.0,Iced Beverage Dispensers
20,2018-06-27,791364.0,Iced Beverage Dispensers
21,2018-06-28,810777.0,Iced Beverage Dispensers
22,2018-06-29,849659.0,Iced Beverage Dispensers
23,2018-06-30,868272.0,Iced Beverage Dispensers
24,2018-07-01,868272.0,Iced Beverage Dispensers
25,2018-07-02,900333.0,Iced Beverage Dispensers
26,2018-07-03,934594.0,Iced Beverage Dispensers
27,2018-07-04,934594.0,Iced Beverage Dispensers
28,2018-07-05,934594.0,Iced Beverage Dispensers
29,2018-07-06,1004361.0,Iced Beverage Dispensers
30,2018-07-07,106668.0,Iced Beverage Dispensers
31,2018-07-08,151371.0,Iced Beverage Dispensers
32,2018-07-09,151371.0,Iced Beverage Dispensers
33,2018-07-10,151371.0,Iced Beverage Dispensers
34,2018-07-11,151371.0,Iced Beverage Dispensers
35,2018-07-12,151371.0,Iced Beverage Dispensers
36,2018-07-13,13111.0,Iced Beverage Dispensers
37,2018-07-14,13111.0,Iced Beverage Dispensers
38,2018-07-15,9906.0,Iced Beverage Dispensers
39,2018-07-16,8253.0,Iced Beverage Dispensers
40,2018-07-17,8253.0,Iced Beverage Dispensers
41,2018-07-18,7292.0,Iced Beverage Dispensers
42,2018-07-19,7292.0,Iced Beverage Dispensers
43,2018-07-20,7440.0,Iced Beverage Dispensers
44,2018-07-21,5033.0,Iced Beverage Dispensers
45,2018-07-22,5033.0,Iced Beverage Dispensers
46,2018-07-23,5033.0,Iced Beverage Dispensers
47,2018-07-24,6427.0,Iced Beverage Dispensers
48,2018-07-25,8879.0,Iced Beverage Dispensers
49,2018-07-26,8879.0,Iced Beverage Dispensers
50,2018-07-27,7820.0,Iced Beverage Dispensers
51,2018-07-28,7820.0,Iced Beverage Dispensers
52,2018-07-29,7820.0,Iced Beverage Dispensers
53,2018-07-30,7820.0,Iced Beverage Dispensers
54,2018-07-31,3715.0,Iced Beverage Dispensers
55,2018-08-01,3715.0,Iced Beverage Dispensers
56,2018-08-02,5864.0,Iced Beverage Dispensers
57,2018-08-03,5768.0,Iced Beverage Dispensers
58,2018-08-04,5545.0,Iced Beverage Dispensers
59,2018-08-05,5545.0,Iced Beverage Dispensers
60,2018-08-06,5545.0,Iced Beverage Dispensers
61,2018-08-07,3454.0,Iced Beverage Dispensers
62,2018-08-08,5307.0,Iced Beverage Dispensers
63,2018-08-09,5307.0,Iced Beverage Dispensers
64,2018-08-10,5307.0,Iced Beverage Dispensers
65,2018-08-11,5355.0,Iced Beverage Dispensers
66,2018-08-12,4169.0,Iced Beverage Dispensers
67,2018-08-13,3271.0,Iced Beverage Dispensers
68,2018-08-14,3271.0,Iced Beverage Dispensers
69,2018-08-15,3270.0,Iced Beverage Dispensers
70,2018-08-16,3662.0,Iced Beverage Dispensers
71,2018-08-17,3842.0,Iced Beverage Dispensers
72,2018-08-18,3574.0,Iced Beverage Dispensers
73,2018-08-19,3574.0,Iced Beverage Dispensers
74,2018-08-20,3574.0,Iced Beverage Dispensers
75,2018-08-21,3318.0,Iced Beverage Dispensers
76,2018-08-22,2977.0,Iced Beverage Dispensers
77,2018-08-23,2620.0,Iced Beverage Dispensers
78,2018-08-24,3523.0,Iced Beverage Dispensers
79,2018-08-25,3523.0,Iced Beverage Dispensers
80,2018-08-26,3523.0,Iced Beverage Dispensers
81,2018-08-27,3860.0,Iced Beverage Dispensers
82,2018-08-28,4125.0,Iced Beverage Dispensers
83,2018-08-29,4125.0,Iced Beverage Dispensers
84,2018-08-30,4323.0,Iced Beverage Dispensers
85,2018-08-31,4323.0,Iced Beverage Dispensers
86,2018-09-01,4743.0,Iced Beverage Dispensers
87,2018-09-02,4743.0,Iced Beverage Dispensers
88,2018-09-03,8081.0,Iced Beverage Dispensers
89,2018-09-04,4895.0,Iced Beverage Dispensers
90,2018-09-05,4895.0,Iced Beverage Dispensers
91,2018-09-06,4551.0,Iced Beverage Dispensers
92,2018-09-07,4731.0,Iced Beverage Dispensers
93,2018-09-08,4731.0,Iced Beverage Dispensers
94,2018-09-09,3921.0,Iced Beverage Dispensers
95,2018-09-10,3921.0,Iced Beverage Dispensers
96,2018-09-11,3448.0,Iced Beverage Dispensers
97,2018-09-12,3646.0,Iced Beverage Dispensers
98,2018-09-13,3646.0,Iced Beverage Dispensers
99,2018-09-14,4494.0,Iced Beverage Dispensers
100,2018-09-15,4743.0,Iced Beverage Dispensers
101,2018-09-16,3853.0,Iced Beverage Dispensers
102,2018-09-17,3853.0,Iced Beverage Dispensers
103,2018-09-18,4509.0,Iced Beverage Dispensers
104,2018-09-19,4509.0,Iced Beverage Dispensers
105,2018-09-20,5191.0,Iced Beverage Dispensers
106,2018-09-21,4340.0,Iced Beverage Dispensers
107,2018-09-22,4921.0,Iced Beverage Dispensers
108,2018-09-23,4921.0,Iced Beverage Dispensers
109,2018-09-24,4921.0,Iced Beverage Dispensers
110,2018-09-25,4504.0,Iced Beverage Dispensers
111,2018-09-26,5170.0,Iced Beverage Dispensers
112,2018-09-27,4057.0,Iced Beverage Dispensers
113,2018-09-28,4057.0,Iced Beverage Dispensers
114,2018-09-29,4057.0,Iced Beverage Dispensers
115,2018-09-30,4887.0,Iced Beverage Dispensers
116,2018-10-01,3510.0,Iced Beverage Dispensers
117,2018-10-02,3140.0,Iced Beverage Dispensers
118,2018-10-03,3991.0,Iced Beverage Dispensers
119,2018-10-04,3991.0,Iced Beverage Dispensers
120,2018-10-05,4898.0,Iced Beverage Dispensers
121,2018-10-06,4898.0,Iced Beverage Dispensers
122,2018-10-07,6577.0,Iced Beverage Dispensers
123,2018-10-08,7105.0,Iced Beverage Dispensers
124,2018-10-09,7457.0,Iced Beverage Dispensers
125,2018-10-10,14206.0,Iced Beverage Dispensers
126,2018-10-11,14206.0,Iced Beverage Dispensers
127,2018-10-12,12163.0,Iced Beverage Dispensers
128,2018-10-13,8238.0,Iced Beverage Dispensers
129,2018-10-14,12248.0,Iced Beverage Dispensers
130,2018-10-15,12248.0,Iced Beverage Dispensers
131,2018-10-16,12248.0,Iced Beverage Dispensers
132,2018-10-17,12248.0,Iced Beverage Dispensers
133,2018-10-18,6697.0,Iced Beverage Dispensers
134,2018-10-19,6697.0,Iced Beverage Dispensers
135,2018-10-20,6697.0,Iced Beverage Dispensers
136,2018-10-21,6697.0,Iced Beverage Dispensers
137,2018-10-22,6697.0,Iced Beverage Dispensers
138,2018-10-23,6697.0,Iced Beverage Dispensers
139,2018-10-24,4108.0,Iced Beverage Dispensers
140,2018-10-25,4108.0,Iced Beverage Dispensers
141,2018-10-26,4268.0,Iced Beverage Dispensers
142,2018-10-27,6042.0,Iced Beverage Dispensers
143,2018-10-28,7005.0,Iced Beverage Dispensers
144,2018-10-29,7005.0,Iced Beverage Dispensers
145,2018-10-30,6094.0,Iced Beverage Dispensers
146,2018-10-31,6094.0,Iced Beverage Dispensers
147,2018-11-01,5269.0,Iced Beverage Dispensers
