,date,value,name_B01IWBWXOE
0,2018-07-14,11722.0,Tumblers & Water Glasses
1,2018-07-15,13736.0,Tumblers & Water Glasses
2,2018-07-16,14289.0,Tumblers & Water Glasses
3,2018-07-17,14289.0,Tumblers & Water Glasses
4,2018-07-18,16775.0,Tumblers & Water Glasses
5,2018-07-19,16775.0,Tumblers & Water Glasses
6,2018-07-20,15792.0,Tumblers & Water Glasses
7,2018-07-21,15792.0,Tumblers & Water Glasses
8,2018-07-22,14018.0,Tumblers & Water Glasses
9,2018-07-23,14018.0,Tumblers & Water Glasses
10,2018-07-24,11379.0,Tumblers & Water Glasses
11,2018-07-25,11379.0,Tumblers & Water Glasses
12,2018-07-26,11309.0,Tumblers & Water Glasses
13,2018-07-27,16087.0,Tumblers & Water Glasses
14,2018-07-28,16087.0,Tumblers & Water Glasses
15,2018-07-29,14652.0,Tumblers & Water Glasses
16,2018-07-30,14652.0,Tumblers & Water Glasses
17,2018-07-31,8574.0,Tumblers & Water Glasses
18,2018-08-01,8574.0,Tumblers & Water Glasses
19,2018-08-02,12136.0,Tumblers & Water Glasses
20,2018-08-03,20753.0,Tumblers & Water Glasses
21,2018-08-04,20753.0,Tumblers & Water Glasses
22,2018-08-05,20753.0,Tumblers & Water Glasses
23,2018-08-06,20753.0,Tumblers & Water Glasses
24,2018-08-07,8019.0,Tumblers & Water Glasses
25,2018-08-08,8019.0,Tumblers & Water Glasses
26,2018-08-09,7930.0,Tumblers & Water Glasses
27,2018-08-10,7930.0,Tumblers & Water Glasses
28,2018-08-11,7930.0,Tumblers & Water Glasses
29,2018-08-12,7930.0,Tumblers & Water Glasses
30,2018-08-13,9378.0,Tumblers & Water Glasses
31,2018-08-14,9378.0,Tumblers & Water Glasses
32,2018-08-15,9378.0,Tumblers & Water Glasses
33,2018-08-16,9378.0,Tumblers & Water Glasses
34,2018-08-17,9378.0,Tumblers & Water Glasses
35,2018-08-18,9378.0,Tumblers & Water Glasses
36,2018-08-19,6802.0,Tumblers & Water Glasses
37,2018-08-20,7161.0,Tumblers & Water Glasses
38,2018-08-21,7697.0,Tumblers & Water Glasses
39,2018-08-22,8019.0,Tumblers & Water Glasses
40,2018-08-23,8019.0,Tumblers & Water Glasses
41,2018-08-24,8440.0,Tumblers & Water Glasses
42,2018-08-25,8440.0,Tumblers & Water Glasses
43,2018-08-26,8133.0,Tumblers & Water Glasses
44,2018-08-27,8321.0,Tumblers & Water Glasses
45,2018-08-28,8321.0,Tumblers & Water Glasses
46,2018-08-29,8321.0,Tumblers & Water Glasses
47,2018-08-30,8321.0,Tumblers & Water Glasses
48,2018-08-31,5726.0,Tumblers & Water Glasses
49,2018-09-01,5726.0,Tumblers & Water Glasses
50,2018-09-02,5726.0,Tumblers & Water Glasses
