,date,value,name_B08L1V3GMY
0,2020-10-18,9465.0,Wall & Tabletop Frames
1,2020-10-19,9970.0,Wall & Tabletop Frames
2,2020-10-20,9970.0,Wall & Tabletop Frames
3,2020-10-21,9970.0,Wall & Tabletop Frames
4,2020-10-22,9506.0,Wall & Tabletop Frames
5,2020-10-23,9506.0,Wall & Tabletop Frames
6,2020-10-24,9506.0,Wall & Tabletop Frames
7,2020-10-25,9506.0,Wall & Tabletop Frames
8,2020-10-26,9368.0,Wall & Tabletop Frames
9,2020-10-27,9368.0,Wall & Tabletop Frames
10,2020-10-28,10463.0,Wall & Tabletop Frames
11,2020-10-29,10857.0,Wall & Tabletop Frames
12,2020-10-30,10857.0,Wall & Tabletop Frames
13,2020-10-31,10857.0,Wall & Tabletop Frames
14,2020-11-01,11172.0,Wall & Tabletop Frames
15,2020-11-02,11172.0,Wall & Tabletop Frames
16,2020-11-03,11890.0,Wall & Tabletop Frames
17,2020-11-04,11890.0,Wall & Tabletop Frames
18,2020-11-05,11890.0,Wall & Tabletop Frames
19,2020-11-06,12338.0,Wall & Tabletop Frames
20,2020-11-07,12338.0,Wall & Tabletop Frames
21,2020-11-08,12338.0,Wall & Tabletop Frames
22,2020-11-09,12084.0,Wall & Tabletop Frames
23,2020-11-10,12084.0,Wall & Tabletop Frames
24,2020-11-11,6860.0,Wall & Tabletop Frames
25,2020-11-12,6860.0,Wall & Tabletop Frames
26,2020-11-13,6860.0,Wall & Tabletop Frames
27,2020-11-14,7064.0,Wall & Tabletop Frames
28,2020-11-15,7064.0,Wall & Tabletop Frames
29,2020-11-16,7485.0,Wall & Tabletop Frames
30,2020-11-17,7485.0,Wall & Tabletop Frames
31,2020-11-18,6509.0,Wall & Tabletop Frames
32,2020-11-19,6509.0,Wall & Tabletop Frames
33,2020-11-20,5763.0,Wall & Tabletop Frames
34,2020-11-21,5763.0,Wall & Tabletop Frames
35,2020-11-22,6782.0,Wall & Tabletop Frames
36,2020-11-23,6782.0,Wall & Tabletop Frames
37,2020-11-24,6465.0,Wall & Tabletop Frames
38,2020-11-25,6465.0,Wall & Tabletop Frames
39,2020-11-26,6465.0,Wall & Tabletop Frames
40,2020-11-27,8336.0,Wall & Tabletop Frames
41,2020-11-28,8336.0,Wall & Tabletop Frames
42,2020-11-29,8336.0,Wall & Tabletop Frames
43,2020-11-30,7033.0,Wall & Tabletop Frames
44,2020-12-01,7520.0,Wall & Tabletop Frames
45,2020-12-02,7520.0,Wall & Tabletop Frames
46,2020-12-03,5172.0,Wall & Tabletop Frames
47,2020-12-04,5172.0,Wall & Tabletop Frames
48,2020-12-05,3528.0,Wall & Tabletop Frames
49,2020-12-06,3528.0,Wall & Tabletop Frames
50,2020-12-07,3040.0,Wall & Tabletop Frames
51,2020-12-08,2793.0,Wall & Tabletop Frames
52,2020-12-09,2123.0,Wall & Tabletop Frames
53,2020-12-10,2141.0,Wall & Tabletop Frames
54,2020-12-11,2141.0,Wall & Tabletop Frames
55,2020-12-12,2141.0,Wall & Tabletop Frames
56,2020-12-13,7527.0,Wall & Tabletop Frames
57,2020-12-14,13202.0,Wall & Tabletop Frames
58,2020-12-15,24152.0,Wall & Tabletop Frames
59,2020-12-16,32825.0,Wall & Tabletop Frames
60,2020-12-17,32825.0,Wall & Tabletop Frames
61,2020-12-18,35360.0,Wall & Tabletop Frames
62,2020-12-19,39060.0,Wall & Tabletop Frames
63,2020-12-20,39060.0,Wall & Tabletop Frames
64,2020-12-21,39060.0,Wall & Tabletop Frames
65,2020-12-22,38394.0,Wall & Tabletop Frames
66,2020-12-23,38394.0,Wall & Tabletop Frames
67,2020-12-24,38394.0,Wall & Tabletop Frames
68,2020-12-25,5545.0,Wall & Tabletop Frames
69,2020-12-26,6490.0,Wall & Tabletop Frames
70,2020-12-27,6490.0,Wall & Tabletop Frames
71,2020-12-28,6490.0,Wall & Tabletop Frames
72,2020-12-29,7994.0,Wall & Tabletop Frames
73,2020-12-30,7994.0,Wall & Tabletop Frames
74,2020-12-31,7994.0,Wall & Tabletop Frames
75,2021-01-01,4547.0,Wall & Tabletop Frames
76,2021-01-02,4547.0,Wall & Tabletop Frames
77,2021-01-03,4547.0,Wall & Tabletop Frames
78,2021-01-04,4795.0,Wall & Tabletop Frames
79,2021-01-05,4795.0,Wall & Tabletop Frames
80,2021-01-06,4776.0,Wall & Tabletop Frames
81,2021-01-07,4776.0,Wall & Tabletop Frames
82,2021-01-08,5474.0,Wall & Tabletop Frames
83,2021-01-09,5474.0,Wall & Tabletop Frames
84,2021-01-10,6210.0,Wall & Tabletop Frames
85,2021-01-11,6210.0,Wall & Tabletop Frames
86,2021-01-12,8371.0,Wall & Tabletop Frames
87,2021-01-13,8371.0,Wall & Tabletop Frames
88,2021-01-14,9328.0,Wall & Tabletop Frames
89,2021-01-15,9328.0,Wall & Tabletop Frames
90,2021-01-16,9328.0,Wall & Tabletop Frames
91,2021-01-17,9328.0,Wall & Tabletop Frames
92,2021-01-18,19358.0,Wall & Tabletop Frames
93,2021-01-19,19358.0,Wall & Tabletop Frames
94,2021-01-20,19358.0,Wall & Tabletop Frames
95,2021-01-21,30927.0,Wall & Tabletop Frames
96,2021-01-22,38121.0,Wall & Tabletop Frames
97,2021-01-23,49761.0,Wall & Tabletop Frames
98,2021-01-24,49761.0,Wall & Tabletop Frames
99,2021-01-25,49761.0,Wall & Tabletop Frames
100,2021-01-26,54655.0,Wall & Tabletop Frames
101,2021-01-27,54655.0,Wall & Tabletop Frames
102,2021-01-28,77908.0,Wall & Tabletop Frames
103,2021-01-29,77908.0,Wall & Tabletop Frames
104,2021-01-30,69282.0,Wall & Tabletop Frames
105,2021-01-31,69282.0,Wall & Tabletop Frames
106,2021-02-01,54079.0,Wall & Tabletop Frames
107,2021-02-02,54079.0,Wall & Tabletop Frames
108,2021-02-03,54079.0,Wall & Tabletop Frames
109,2021-02-04,48274.0,Wall & Tabletop Frames
110,2021-02-05,48274.0,Wall & Tabletop Frames
111,2021-02-06,48274.0,Wall & Tabletop Frames
112,2021-02-07,48274.0,Wall & Tabletop Frames
113,2021-02-08,44764.0,Wall & Tabletop Frames
114,2021-02-09,44764.0,Wall & Tabletop Frames
115,2021-02-10,44764.0,Wall & Tabletop Frames
116,2021-02-11,41791.0,Wall & Tabletop Frames
117,2021-02-12,41791.0,Wall & Tabletop Frames
118,2021-02-13,41791.0,Wall & Tabletop Frames
119,2021-02-14,41791.0,Wall & Tabletop Frames
120,2021-02-15,41791.0,Wall & Tabletop Frames
121,2021-02-16,15854.0,Wall & Tabletop Frames
122,2021-02-17,10707.0,Wall & Tabletop Frames
123,2021-02-18,10707.0,Wall & Tabletop Frames
124,2021-02-19,10707.0,Wall & Tabletop Frames
125,2021-02-20,8876.0,Wall & Tabletop Frames
126,2021-02-21,8876.0,Wall & Tabletop Frames
127,2021-02-22,10254.0,Wall & Tabletop Frames
128,2021-02-23,10254.0,Wall & Tabletop Frames
129,2021-02-24,10254.0,Wall & Tabletop Frames
130,2021-02-25,10540.0,Wall & Tabletop Frames
131,2021-02-26,10540.0,Wall & Tabletop Frames
132,2021-02-27,10540.0,Wall & Tabletop Frames
133,2021-02-28,12345.0,Wall & Tabletop Frames
134,2021-03-01,13706.0,Wall & Tabletop Frames
135,2021-03-02,11584.0,Wall & Tabletop Frames
136,2021-03-03,10544.0,Wall & Tabletop Frames
137,2021-03-04,11777.0,Wall & Tabletop Frames
138,2021-03-05,12535.0,Wall & Tabletop Frames
139,2021-03-06,12535.0,Wall & Tabletop Frames
140,2021-03-07,14209.0,Wall & Tabletop Frames
141,2021-03-08,14126.0,Wall & Tabletop Frames
142,2021-03-09,13829.0,Wall & Tabletop Frames
143,2021-03-10,13829.0,Wall & Tabletop Frames
144,2021-03-11,21275.0,Wall & Tabletop Frames
145,2021-03-12,21275.0,Wall & Tabletop Frames
146,2021-03-13,27671.0,Wall & Tabletop Frames
147,2021-03-14,27671.0,Wall & Tabletop Frames
148,2021-03-15,24427.0,Wall & Tabletop Frames
149,2021-03-16,24427.0,Wall & Tabletop Frames
150,2021-03-17,19336.0,Wall & Tabletop Frames
151,2021-03-18,29792.0,Wall & Tabletop Frames
152,2021-03-19,29792.0,Wall & Tabletop Frames
153,2021-03-20,46295.0,Wall & Tabletop Frames
