,date,value,name_B087BP5G2K
0,2020-05-22,48456.0,Kitchen & Dining Features
1,2020-05-23,48456.0,Kitchen & Dining Features
2,2020-05-24,48456.0,Kitchen & Dining Features
3,2020-05-25,48456.0,Kitchen & Dining Features
4,2020-05-26,59795.0,Kitchen & Dining Features
5,2020-05-27,59795.0,Kitchen & Dining Features
6,2020-05-28,72909.0,Kitchen & Dining Features
7,2020-05-29,72909.0,Kitchen & Dining Features
8,2020-05-30,72909.0,Kitchen & Dining Features
9,2020-05-31,72909.0,Kitchen & Dining Features
10,2020-06-01,72909.0,Kitchen & Dining Features
11,2020-06-02,72909.0,Kitchen & Dining Features
12,2020-06-03,76371.0,Kitchen & Dining Features
13,2020-06-04,71826.0,Kitchen & Dining Features
14,2020-06-05,56547.0,Kitchen & Dining Features
15,2020-06-06,78931.0,Kitchen & Dining Features
16,2020-06-07,78931.0,Kitchen & Dining Features
17,2020-06-08,55257.0,Kitchen & Dining Features
18,2020-06-09,56496.0,Kitchen & Dining Features
19,2020-06-10,73496.0,Kitchen & Dining Features
20,2020-06-11,56659.0,Kitchen & Dining Features
21,2020-06-12,59462.0,Kitchen & Dining Features
22,2020-06-13,59462.0,Kitchen & Dining Features
23,2020-06-14,59462.0,Kitchen & Dining Features
24,2020-06-15,59462.0,Kitchen & Dining Features
25,2020-06-16,70960.0,Kitchen & Dining Features
26,2020-06-17,78606.0,Kitchen & Dining Features
27,2020-06-18,92899.0,Kitchen & Dining Features
28,2020-06-19,92899.0,Kitchen & Dining Features
29,2020-06-20,92899.0,Kitchen & Dining Features
30,2020-06-21,92899.0,Kitchen & Dining Features
31,2020-06-22,105820.0,Kitchen & Dining Features
32,2020-06-23,162996.0,Kitchen & Dining Features
33,2020-06-24,175998.0,Kitchen & Dining Features
34,2020-06-25,175998.0,Kitchen & Dining Features
35,2020-06-26,175998.0,Kitchen & Dining Features
36,2020-06-27,175998.0,Kitchen & Dining Features
37,2020-06-28,175998.0,Kitchen & Dining Features
38,2020-06-29,175998.0,Kitchen & Dining Features
39,2020-06-30,175998.0,Kitchen & Dining Features
40,2020-07-01,116230.0,Kitchen & Dining Features
41,2020-07-02,116230.0,Kitchen & Dining Features
42,2020-07-03,94120.0,Kitchen & Dining Features
43,2020-07-04,94120.0,Kitchen & Dining Features
44,2020-07-05,94120.0,Kitchen & Dining Features
45,2020-07-06,94120.0,Kitchen & Dining Features
