,date,value,name_B08595H5F2
0,2020-05-23,1166.0,Arts & Crafts Tape
1,2020-05-24,1166.0,Arts & Crafts Tape
2,2020-05-25,1251.0,Arts & Crafts Tape
3,2020-05-26,1251.0,Arts & Crafts Tape
4,2020-05-27,836.0,Arts & Crafts Tape
5,2020-05-28,876.0,Arts & Crafts Tape
6,2020-05-29,746.0,Arts & Crafts Tape
7,2020-05-30,1133.0,Arts & Crafts Tape
8,2020-05-31,1133.0,Arts & Crafts Tape
9,2020-06-01,1052.0,Arts & Crafts Tape
10,2020-06-02,1052.0,Arts & Crafts Tape
11,2020-06-03,1052.0,Arts & Crafts Tape
12,2020-06-04,1135.0,Arts & Crafts Tape
13,2020-06-05,800.0,Arts & Crafts Tape
14,2020-06-06,800.0,Arts & Crafts Tape
15,2020-06-07,800.0,Arts & Crafts Tape
16,2020-06-08,859.0,Arts & Crafts Tape
17,2020-06-09,859.0,Arts & Crafts Tape
18,2020-06-10,859.0,Arts & Crafts Tape
19,2020-06-11,915.0,Arts & Crafts Tape
20,2020-06-12,915.0,Arts & Crafts Tape
21,2020-06-13,915.0,Arts & Crafts Tape
22,2020-06-14,870.0,Arts & Crafts Tape
23,2020-06-15,893.0,Arts & Crafts Tape
24,2020-06-16,893.0,Arts & Crafts Tape
25,2020-06-17,893.0,Arts & Crafts Tape
26,2020-06-18,893.0,Arts & Crafts Tape
27,2020-06-19,1725.0,Arts & Crafts Tape
28,2020-06-20,1725.0,Arts & Crafts Tape
29,2020-06-21,1055.0,Arts & Crafts Tape
30,2020-06-22,1055.0,Arts & Crafts Tape
31,2020-06-23,1417.0,Arts & Crafts Tape
32,2020-06-24,1271.0,Arts & Crafts Tape
33,2020-06-25,1271.0,Arts & Crafts Tape
34,2020-06-26,1409.0,Arts & Crafts Tape
35,2020-06-27,1409.0,Arts & Crafts Tape
36,2020-06-28,1409.0,Arts & Crafts Tape
37,2020-06-29,2545.0,Arts & Crafts Tape
38,2020-06-30,2593.0,Arts & Crafts Tape
39,2020-07-01,2593.0,Arts & Crafts Tape
40,2020-07-02,2516.0,Arts & Crafts Tape
41,2020-07-03,2516.0,Arts & Crafts Tape
42,2020-07-04,2516.0,Arts & Crafts Tape
43,2020-07-05,2056.0,Arts & Crafts Tape
44,2020-07-06,2056.0,Arts & Crafts Tape
45,2020-07-07,3059.0,Arts & Crafts Tape
46,2020-07-08,3059.0,Arts & Crafts Tape
47,2020-07-09,3059.0,Arts & Crafts Tape
48,2020-07-10,4118.0,Arts & Crafts Tape
49,2020-07-11,4118.0,Arts & Crafts Tape
50,2020-07-12,4118.0,Arts & Crafts Tape
51,2020-07-13,3393.0,Arts & Crafts Tape
52,2020-07-14,3393.0,Arts & Crafts Tape
53,2020-07-15,3393.0,Arts & Crafts Tape
54,2020-07-16,3393.0,Arts & Crafts Tape
55,2020-07-17,3822.0,Arts & Crafts Tape
56,2020-07-18,3822.0,Arts & Crafts Tape
57,2020-07-19,3822.0,Arts & Crafts Tape
58,2020-07-20,3822.0,Arts & Crafts Tape
59,2020-07-21,2891.0,Arts & Crafts Tape
60,2020-07-22,3433.0,Arts & Crafts Tape
61,2020-07-23,3433.0,Arts & Crafts Tape
62,2020-07-24,3433.0,Arts & Crafts Tape
63,2020-07-25,3433.0,Arts & Crafts Tape
64,2020-07-26,2231.0,Arts & Crafts Tape
65,2020-07-27,2231.0,Arts & Crafts Tape
66,2020-07-28,1839.0,Arts & Crafts Tape
67,2020-07-29,1839.0,Arts & Crafts Tape
68,2020-07-30,1491.0,Arts & Crafts Tape
69,2020-07-31,1491.0,Arts & Crafts Tape
70,2020-08-01,1647.0,Arts & Crafts Tape
71,2020-08-02,1647.0,Arts & Crafts Tape
72,2020-08-03,1647.0,Arts & Crafts Tape
73,2020-08-04,1647.0,Arts & Crafts Tape
74,2020-08-05,1222.0,Arts & Crafts Tape
75,2020-08-06,1309.0,Arts & Crafts Tape
76,2020-08-07,1309.0,Arts & Crafts Tape
77,2020-08-08,1309.0,Arts & Crafts Tape
78,2020-08-09,1271.0,Arts & Crafts Tape
79,2020-08-10,1310.0,Arts & Crafts Tape
80,2020-08-11,1310.0,Arts & Crafts Tape
81,2020-08-12,1310.0,Arts & Crafts Tape
82,2020-08-13,1310.0,Arts & Crafts Tape
83,2020-08-14,1313.0,Arts & Crafts Tape
84,2020-08-15,1313.0,Arts & Crafts Tape
85,2020-08-16,1227.0,Arts & Crafts Tape
