,date,value,name_B092VLQ7K2
0,2021-04-25,67124.0,Kitchen & Dining Features
1,2021-04-26,76723.0,Kitchen & Dining Features
2,2021-04-27,67684.0,Kitchen & Dining Features
3,2021-04-28,67684.0,Kitchen & Dining Features
4,2021-04-29,32194.0,Kitchen & Dining Features
5,2021-04-30,44724.0,Kitchen & Dining Features
6,2021-05-01,44724.0,Kitchen & Dining Features
7,2021-05-02,52886.0,Kitchen & Dining Features
8,2021-05-03,52886.0,Kitchen & Dining Features
9,2021-05-04,52886.0,Kitchen & Dining Features
10,2021-05-05,45963.0,Kitchen & Dining Features
11,2021-05-06,45963.0,Kitchen & Dining Features
12,2021-05-07,47311.0,Kitchen & Dining Features
13,2021-05-08,47311.0,Kitchen & Dining Features
14,2021-05-09,47311.0,Kitchen & Dining Features
15,2021-05-10,52694.0,Kitchen & Dining Features
16,2021-05-11,52694.0,Kitchen & Dining Features
17,2021-05-12,47022.0,Kitchen & Dining Features
18,2021-05-13,38943.0,Kitchen & Dining Features
19,2021-05-14,38943.0,Kitchen & Dining Features
20,2021-05-15,38943.0,Kitchen & Dining Features
21,2021-05-16,38943.0,Kitchen & Dining Features
22,2021-05-17,43658.0,Kitchen & Dining Features
23,2021-05-18,43658.0,Kitchen & Dining Features
24,2021-05-19,43658.0,Kitchen & Dining Features
25,2021-05-20,63279.0,Kitchen & Dining Features
26,2021-05-21,63279.0,Kitchen & Dining Features
27,2021-05-22,14564.0,Kitchen & Dining Features
28,2021-05-23,14564.0,Kitchen & Dining Features
29,2021-05-24,14564.0,Kitchen & Dining Features
30,2021-05-25,41983.0,Kitchen & Dining Features
31,2021-05-26,58726.0,Kitchen & Dining Features
32,2021-05-27,58726.0,Kitchen & Dining Features
33,2021-05-28,46009.0,Kitchen & Dining Features
34,2021-05-29,46009.0,Kitchen & Dining Features
35,2021-05-30,51927.0,Kitchen & Dining Features
36,2021-05-31,51927.0,Kitchen & Dining Features
37,2021-06-01,81022.0,Kitchen & Dining Features
38,2021-06-02,69411.0,Kitchen & Dining Features
39,2021-06-03,58501.0,Kitchen & Dining Features
40,2021-06-04,63289.0,Kitchen & Dining Features
41,2021-06-05,63289.0,Kitchen & Dining Features
42,2021-06-06,63289.0,Kitchen & Dining Features
43,2021-06-07,69693.0,Kitchen & Dining Features
44,2021-06-08,69693.0,Kitchen & Dining Features
45,2021-06-09,58665.0,Kitchen & Dining Features
46,2021-06-10,46019.0,Kitchen & Dining Features
47,2021-06-11,46019.0,Kitchen & Dining Features
48,2021-06-12,46019.0,Kitchen & Dining Features
49,2021-06-13,46019.0,Kitchen & Dining Features
50,2021-06-14,46019.0,Kitchen & Dining Features
51,2021-06-15,53034.0,Kitchen & Dining Features
52,2021-06-16,53034.0,Kitchen & Dining Features
53,2021-06-17,53034.0,Kitchen & Dining Features
54,2021-06-18,59838.0,Kitchen & Dining Features
55,2021-06-19,35222.0,Kitchen & Dining Features
56,2021-06-20,35222.0,Kitchen & Dining Features
57,2021-06-21,63703.0,Kitchen & Dining Features
58,2021-06-22,63703.0,Kitchen & Dining Features
59,2021-06-23,53171.0,Kitchen & Dining Features
60,2021-06-24,50345.0,Kitchen & Dining Features
61,2021-06-25,50345.0,Kitchen & Dining Features
62,2021-06-26,44282.0,Kitchen & Dining Features
63,2021-06-27,44282.0,Kitchen & Dining Features
64,2021-06-28,42957.0,Kitchen & Dining Features
65,2021-06-29,59585.0,Kitchen & Dining Features
66,2021-06-30,58869.0,Kitchen & Dining Features
67,2021-07-01,64725.0,Kitchen & Dining Features
68,2021-07-02,64725.0,Kitchen & Dining Features
69,2021-07-03,64725.0,Kitchen & Dining Features
70,2021-07-04,65915.0,Kitchen & Dining Features
71,2021-07-05,65915.0,Kitchen & Dining Features
72,2021-07-06,65915.0,Kitchen & Dining Features
73,2021-07-07,65915.0,Kitchen & Dining Features
74,2021-07-08,83269.0,Kitchen & Dining Features
75,2021-07-09,93175.0,Kitchen & Dining Features
