,date,value,name_B08J7SPJFP
117,2021-01-18,15750.0,Sculptural Frames & Holders
118,2021-01-19,14133.0,Sculptural Frames & Holders
119,2021-01-20,14133.0,Sculptural Frames & Holders
120,2021-01-21,18935.0,Sculptural Frames & Holders
121,2021-01-22,18935.0,Sculptural Frames & Holders
122,2021-01-23,18935.0,Sculptural Frames & Holders
123,2021-01-24,18935.0,Sculptural Frames & Holders
124,2021-01-25,17385.0,Sculptural Frames & Holders
125,2021-01-26,24448.0,Sculptural Frames & Holders
126,2021-01-27,24448.0,Sculptural Frames & Holders
127,2021-01-28,24448.0,Sculptural Frames & Holders
128,2021-01-29,20470.0,Sculptural Frames & Holders
129,2021-01-30,23214.0,Sculptural Frames & Holders
130,2021-01-31,23214.0,Sculptural Frames & Holders
131,2021-02-01,18268.0,Sculptural Frames & Holders
132,2021-02-02,18268.0,Sculptural Frames & Holders
133,2021-02-03,18268.0,Sculptural Frames & Holders
134,2021-02-04,18268.0,Sculptural Frames & Holders
135,2021-02-05,18268.0,Sculptural Frames & Holders
136,2021-02-06,18268.0,Sculptural Frames & Holders
137,2021-02-07,18268.0,Sculptural Frames & Holders
138,2021-02-08,27426.0,Sculptural Frames & Holders
139,2021-02-09,27426.0,Sculptural Frames & Holders
140,2021-02-10,27426.0,Sculptural Frames & Holders
141,2021-02-11,27426.0,Sculptural Frames & Holders
142,2021-02-12,20983.0,Sculptural Frames & Holders
143,2021-02-13,20983.0,Sculptural Frames & Holders
144,2021-02-14,20983.0,Sculptural Frames & Holders
145,2021-02-15,22290.0,Sculptural Frames & Holders
146,2021-02-16,22290.0,Sculptural Frames & Holders
147,2021-02-17,22290.0,Sculptural Frames & Holders
148,2021-02-18,24183.0,Sculptural Frames & Holders
149,2021-02-19,28826.0,Sculptural Frames & Holders
150,2021-02-20,32951.0,Sculptural Frames & Holders
151,2021-02-21,32951.0,Sculptural Frames & Holders
152,2021-02-22,32951.0,Sculptural Frames & Holders
153,2021-02-23,32951.0,Sculptural Frames & Holders
154,2021-02-24,20463.0,Sculptural Frames & Holders
155,2021-02-25,20463.0,Sculptural Frames & Holders
156,2021-02-26,25055.0,Sculptural Frames & Holders
157,2021-02-27,23638.0,Sculptural Frames & Holders
158,2021-02-28,23638.0,Sculptural Frames & Holders
159,2021-03-01,23917.0,Sculptural Frames & Holders
160,2021-03-02,23917.0,Sculptural Frames & Holders
161,2021-03-03,23917.0,Sculptural Frames & Holders
162,2021-03-04,33344.0,Sculptural Frames & Holders
163,2021-03-05,41936.0,Sculptural Frames & Holders
164,2021-03-06,41936.0,Sculptural Frames & Holders
165,2021-03-07,41936.0,Sculptural Frames & Holders
166,2021-03-08,41936.0,Sculptural Frames & Holders
167,2021-03-09,27186.0,Sculptural Frames & Holders
168,2021-03-10,27186.0,Sculptural Frames & Holders
169,2021-03-11,27186.0,Sculptural Frames & Holders
170,2021-03-12,27186.0,Sculptural Frames & Holders
171,2021-03-13,32632.0,Sculptural Frames & Holders
172,2021-03-14,32632.0,Sculptural Frames & Holders
173,2021-03-15,32632.0,Sculptural Frames & Holders
174,2021-03-16,32632.0,Sculptural Frames & Holders
175,2021-03-17,39181.0,Sculptural Frames & Holders
176,2021-03-18,42088.0,Sculptural Frames & Holders
177,2021-03-19,42088.0,Sculptural Frames & Holders
178,2021-03-20,42088.0,Sculptural Frames & Holders
179,2021-03-21,42088.0,Sculptural Frames & Holders
180,2021-03-22,41163.0,Sculptural Frames & Holders
181,2021-03-23,41163.0,Sculptural Frames & Holders
182,2021-03-24,41163.0,Sculptural Frames & Holders
183,2021-03-25,31230.0,Sculptural Frames & Holders
184,2021-03-26,31230.0,Sculptural Frames & Holders
185,2021-03-27,37684.0,Sculptural Frames & Holders
186,2021-03-28,37684.0,Sculptural Frames & Holders
187,2021-03-29,37684.0,Sculptural Frames & Holders
188,2021-03-30,40129.0,Sculptural Frames & Holders
189,2021-03-31,29664.0,Sculptural Frames & Holders
190,2021-04-01,42703.0,Sculptural Frames & Holders
191,2021-04-02,51875.0,Sculptural Frames & Holders
192,2021-04-03,51875.0,Sculptural Frames & Holders
193,2021-04-04,51875.0,Sculptural Frames & Holders
194,2021-04-05,51875.0,Sculptural Frames & Holders
195,2021-04-06,52002.0,Sculptural Frames & Holders
196,2021-04-07,40045.0,Sculptural Frames & Holders
197,2021-04-08,46832.0,Sculptural Frames & Holders
198,2021-04-09,46832.0,Sculptural Frames & Holders
199,2021-04-10,45306.0,Sculptural Frames & Holders
200,2021-04-11,45306.0,Sculptural Frames & Holders
201,2021-04-12,50026.0,Sculptural Frames & Holders
202,2021-04-13,48935.0,Sculptural Frames & Holders
203,2021-04-14,48935.0,Sculptural Frames & Holders
204,2021-04-15,45462.0,Sculptural Frames & Holders
205,2021-04-16,53480.0,Sculptural Frames & Holders
206,2021-04-17,53480.0,Sculptural Frames & Holders
207,2021-04-18,53480.0,Sculptural Frames & Holders
208,2021-04-19,40629.0,Sculptural Frames & Holders
209,2021-04-20,40878.0,Sculptural Frames & Holders
210,2021-04-21,40878.0,Sculptural Frames & Holders
211,2021-04-22,41806.0,Sculptural Frames & Holders
212,2021-04-23,41806.0,Sculptural Frames & Holders
213,2021-04-24,41806.0,Sculptural Frames & Holders
214,2021-04-25,31734.0,Sculptural Frames & Holders
215,2021-04-26,27294.0,Sculptural Frames & Holders
216,2021-04-27,33720.0,Sculptural Frames & Holders
217,2021-04-28,33720.0,Sculptural Frames & Holders
218,2021-04-29,35698.0,Sculptural Frames & Holders
219,2021-04-30,32962.0,Sculptural Frames & Holders
220,2021-05-01,32962.0,Sculptural Frames & Holders
221,2021-05-02,32962.0,Sculptural Frames & Holders
222,2021-05-03,32962.0,Sculptural Frames & Holders
223,2021-05-04,39687.0,Sculptural Frames & Holders
224,2021-05-05,32646.0,Sculptural Frames & Holders
225,2021-05-06,44051.0,Sculptural Frames & Holders
226,2021-05-07,44051.0,Sculptural Frames & Holders
227,2021-05-08,42101.0,Sculptural Frames & Holders
228,2021-05-09,28637.0,Sculptural Frames & Holders
