,date,value,name_B07ZV9QLZX
0,2020-05-25,3742.0,Inkjet Printer Paper
1,2020-05-26,3742.0,Inkjet Printer Paper
2,2020-05-27,3742.0,Inkjet Printer Paper
3,2020-05-28,3742.0,Inkjet Printer Paper
4,2020-05-29,3032.0,Inkjet Printer Paper
5,2020-05-30,3032.0,Inkjet Printer Paper
6,2020-05-31,2327.0,Inkjet Printer Paper
7,2020-06-01,2327.0,Inkjet Printer Paper
8,2020-06-02,2327.0,Inkjet Printer Paper
9,2020-06-03,2222.0,Inkjet Printer Paper
10,2020-06-04,1982.0,Inkjet Printer Paper
11,2020-06-05,1680.0,Inkjet Printer Paper
12,2020-06-06,1680.0,Inkjet Printer Paper
13,2020-06-07,1680.0,Inkjet Printer Paper
14,2020-06-08,1680.0,Inkjet Printer Paper
15,2020-06-09,1532.0,Inkjet Printer Paper
16,2020-06-10,1532.0,Inkjet Printer Paper
17,2020-06-11,1396.0,Inkjet Printer Paper
18,2020-06-12,1396.0,Inkjet Printer Paper
19,2020-06-13,1396.0,Inkjet Printer Paper
20,2020-06-14,1396.0,Inkjet Printer Paper
21,2020-06-15,1249.0,Inkjet Printer Paper
22,2020-06-16,1249.0,Inkjet Printer Paper
23,2020-06-17,1249.0,Inkjet Printer Paper
24,2020-06-18,1563.0,Inkjet Printer Paper
25,2020-06-19,1676.0,Inkjet Printer Paper
26,2020-06-20,1676.0,Inkjet Printer Paper
27,2020-06-21,1676.0,Inkjet Printer Paper
28,2020-06-22,1676.0,Inkjet Printer Paper
29,2020-06-23,4902.0,Inkjet Printer Paper
30,2020-06-24,4902.0,Inkjet Printer Paper
31,2020-06-25,4902.0,Inkjet Printer Paper
32,2020-06-26,4291.0,Inkjet Printer Paper
33,2020-06-27,4291.0,Inkjet Printer Paper
34,2020-06-28,4291.0,Inkjet Printer Paper
35,2020-06-29,5198.0,Inkjet Printer Paper
36,2020-06-30,5198.0,Inkjet Printer Paper
37,2020-07-01,4208.0,Inkjet Printer Paper
38,2020-07-02,5524.0,Inkjet Printer Paper
39,2020-07-03,3969.0,Inkjet Printer Paper
40,2020-07-04,3969.0,Inkjet Printer Paper
41,2020-07-05,4524.0,Inkjet Printer Paper
42,2020-07-06,4436.0,Inkjet Printer Paper
43,2020-07-07,4436.0,Inkjet Printer Paper
44,2020-07-08,4436.0,Inkjet Printer Paper
45,2020-07-09,11252.0,Inkjet Printer Paper
46,2020-07-10,11252.0,Inkjet Printer Paper
47,2020-07-11,20431.0,Inkjet Printer Paper
48,2020-07-12,23472.0,Inkjet Printer Paper
49,2020-07-13,23472.0,Inkjet Printer Paper
50,2020-07-14,33669.0,Inkjet Printer Paper
51,2020-07-15,33669.0,Inkjet Printer Paper
52,2020-07-16,33669.0,Inkjet Printer Paper
53,2020-07-17,33669.0,Inkjet Printer Paper
54,2020-07-18,33669.0,Inkjet Printer Paper
55,2020-07-19,24877.0,Inkjet Printer Paper
56,2020-07-20,24877.0,Inkjet Printer Paper
57,2020-07-21,24877.0,Inkjet Printer Paper
58,2020-07-22,24877.0,Inkjet Printer Paper
59,2020-07-23,24877.0,Inkjet Printer Paper
60,2020-07-24,57151.0,Inkjet Printer Paper
61,2020-07-25,57151.0,Inkjet Printer Paper
62,2020-07-26,57151.0,Inkjet Printer Paper
63,2020-07-27,57151.0,Inkjet Printer Paper
64,2020-07-28,57151.0,Inkjet Printer Paper
65,2020-07-29,57151.0,Inkjet Printer Paper
66,2020-07-30,75817.0,Inkjet Printer Paper
67,2020-07-31,75817.0,Inkjet Printer Paper
68,2020-08-01,75817.0,Inkjet Printer Paper
69,2020-08-02,75817.0,Inkjet Printer Paper
70,2020-08-03,63803.0,Inkjet Printer Paper
71,2020-08-04,63803.0,Inkjet Printer Paper
72,2020-08-05,63803.0,Inkjet Printer Paper
73,2020-08-06,63803.0,Inkjet Printer Paper
74,2020-08-07,63803.0,Inkjet Printer Paper
75,2020-08-08,63803.0,Inkjet Printer Paper
76,2020-08-09,63803.0,Inkjet Printer Paper
77,2020-08-10,63803.0,Inkjet Printer Paper
78,2020-08-11,63803.0,Inkjet Printer Paper
79,2020-08-12,63803.0,Inkjet Printer Paper
80,2020-08-13,94443.0,Inkjet Printer Paper
81,2020-08-14,94443.0,Inkjet Printer Paper
82,2020-08-15,94443.0,Inkjet Printer Paper
83,2020-08-16,94443.0,Inkjet Printer Paper
84,2020-08-17,12195.0,Inkjet Printer Paper
85,2020-08-18,12195.0,Inkjet Printer Paper
86,2020-08-19,12195.0,Inkjet Printer Paper
87,2020-08-20,4289.0,Inkjet Printer Paper
88,2020-08-21,4289.0,Inkjet Printer Paper
89,2020-08-22,4289.0,Inkjet Printer Paper
90,2020-08-23,4289.0,Inkjet Printer Paper
91,2020-08-24,4289.0,Inkjet Printer Paper
92,2020-08-25,4289.0,Inkjet Printer Paper
93,2020-08-26,2075.0,Inkjet Printer Paper
94,2020-08-27,2075.0,Inkjet Printer Paper
95,2020-08-28,2075.0,Inkjet Printer Paper
96,2020-08-29,2104.0,Inkjet Printer Paper
97,2020-08-30,2104.0,Inkjet Printer Paper
98,2020-08-31,2104.0,Inkjet Printer Paper
99,2020-09-01,3813.0,Inkjet Printer Paper
100,2020-09-02,3813.0,Inkjet Printer Paper
101,2020-09-03,3813.0,Inkjet Printer Paper
102,2020-09-04,3813.0,Inkjet Printer Paper
103,2020-09-05,3813.0,Inkjet Printer Paper
104,2020-09-06,4621.0,Inkjet Printer Paper
105,2020-09-07,4621.0,Inkjet Printer Paper
106,2020-09-08,4621.0,Inkjet Printer Paper
107,2020-09-09,4621.0,Inkjet Printer Paper
108,2020-09-10,4621.0,Inkjet Printer Paper
109,2020-09-11,4621.0,Inkjet Printer Paper
110,2020-09-12,4621.0,Inkjet Printer Paper
111,2020-09-13,4211.0,Inkjet Printer Paper
112,2020-09-14,6924.0,Inkjet Printer Paper
113,2020-09-15,6924.0,Inkjet Printer Paper
114,2020-09-16,6924.0,Inkjet Printer Paper
115,2020-09-17,5789.0,Inkjet Printer Paper
116,2020-09-18,5789.0,Inkjet Printer Paper
117,2020-09-19,5789.0,Inkjet Printer Paper
118,2020-09-20,5789.0,Inkjet Printer Paper
119,2020-09-21,5789.0,Inkjet Printer Paper
120,2020-09-22,8707.0,Inkjet Printer Paper
121,2020-09-23,8707.0,Inkjet Printer Paper
122,2020-09-24,12082.0,Inkjet Printer Paper
123,2020-09-25,12082.0,Inkjet Printer Paper
124,2020-09-26,12082.0,Inkjet Printer Paper
125,2020-09-27,12082.0,Inkjet Printer Paper
126,2020-09-28,7961.0,Inkjet Printer Paper
127,2020-09-29,10117.0,Inkjet Printer Paper
128,2020-09-30,10117.0,Inkjet Printer Paper
129,2020-10-01,10117.0,Inkjet Printer Paper
130,2020-10-02,10117.0,Inkjet Printer Paper
131,2020-10-03,10117.0,Inkjet Printer Paper
132,2020-10-04,10117.0,Inkjet Printer Paper
133,2020-10-05,10117.0,Inkjet Printer Paper
134,2020-10-06,10117.0,Inkjet Printer Paper
135,2020-10-07,41308.0,Inkjet Printer Paper
136,2020-10-08,41308.0,Inkjet Printer Paper
137,2020-10-09,41308.0,Inkjet Printer Paper
138,2020-10-10,41308.0,Inkjet Printer Paper
139,2020-10-11,37136.0,Inkjet Printer Paper
140,2020-10-12,37136.0,Inkjet Printer Paper
141,2020-10-13,13020.0,Inkjet Printer Paper
142,2020-10-14,10913.0,Inkjet Printer Paper
143,2020-10-15,10913.0,Inkjet Printer Paper
144,2020-10-16,10913.0,Inkjet Printer Paper
145,2020-10-17,10913.0,Inkjet Printer Paper
146,2020-10-18,10913.0,Inkjet Printer Paper
147,2020-10-19,10913.0,Inkjet Printer Paper
148,2020-10-20,7634.0,Inkjet Printer Paper
149,2020-10-21,7634.0,Inkjet Printer Paper
150,2020-10-22,4935.0,Inkjet Printer Paper
151,2020-10-23,4935.0,Inkjet Printer Paper
152,2020-10-24,3810.0,Inkjet Printer Paper
153,2020-10-25,3810.0,Inkjet Printer Paper
154,2020-10-26,3810.0,Inkjet Printer Paper
155,2020-10-27,3810.0,Inkjet Printer Paper
156,2020-10-28,4774.0,Inkjet Printer Paper
157,2020-10-29,4300.0,Inkjet Printer Paper
158,2020-10-30,4300.0,Inkjet Printer Paper
159,2020-10-31,3356.0,Inkjet Printer Paper
160,2020-11-01,3356.0,Inkjet Printer Paper
161,2020-11-02,3356.0,Inkjet Printer Paper
162,2020-11-03,3565.0,Inkjet Printer Paper
163,2020-11-04,3565.0,Inkjet Printer Paper
164,2020-11-05,3565.0,Inkjet Printer Paper
165,2020-11-06,3565.0,Inkjet Printer Paper
166,2020-11-07,2817.0,Inkjet Printer Paper
167,2020-11-08,2817.0,Inkjet Printer Paper
168,2020-11-09,2639.0,Inkjet Printer Paper
169,2020-11-10,2639.0,Inkjet Printer Paper
170,2020-11-11,2639.0,Inkjet Printer Paper
171,2020-11-12,3464.0,Inkjet Printer Paper
172,2020-11-13,2764.0,Inkjet Printer Paper
173,2020-11-14,2764.0,Inkjet Printer Paper
174,2020-11-15,2764.0,Inkjet Printer Paper
