,date,value,name_B08BXVJH7L
127,2020-11-15,64241.0,Throw Pillow Covers
128,2020-11-16,64241.0,Throw Pillow Covers
129,2020-11-17,64241.0,Throw Pillow Covers
130,2020-11-18,64241.0,Throw Pillow Covers
131,2020-11-19,62489.0,Throw Pillow Covers
132,2020-11-20,44646.0,Throw Pillow Covers
133,2020-11-21,44646.0,Throw Pillow Covers
134,2020-11-22,44646.0,Throw Pillow Covers
135,2020-11-23,44646.0,Throw Pillow Covers
136,2020-11-24,44646.0,Throw Pillow Covers
137,2020-11-25,44646.0,Throw Pillow Covers
138,2020-11-26,50352.0,Throw Pillow Covers
139,2020-11-27,62574.0,Throw Pillow Covers
140,2020-11-28,62574.0,Throw Pillow Covers
141,2020-11-29,44167.0,Throw Pillow Covers
142,2020-11-30,44167.0,Throw Pillow Covers
143,2020-12-01,44167.0,Throw Pillow Covers
144,2020-12-02,44167.0,Throw Pillow Covers
145,2020-12-03,51341.0,Throw Pillow Covers
146,2020-12-04,51341.0,Throw Pillow Covers
147,2020-12-05,51341.0,Throw Pillow Covers
148,2020-12-06,51341.0,Throw Pillow Covers
149,2020-12-07,51341.0,Throw Pillow Covers
150,2020-12-08,51341.0,Throw Pillow Covers
151,2020-12-09,69534.0,Throw Pillow Covers
152,2020-12-10,69534.0,Throw Pillow Covers
153,2020-12-11,61649.0,Throw Pillow Covers
154,2020-12-12,61649.0,Throw Pillow Covers
155,2020-12-13,61649.0,Throw Pillow Covers
156,2020-12-14,54315.0,Throw Pillow Covers
157,2020-12-15,54315.0,Throw Pillow Covers
158,2020-12-16,66528.0,Throw Pillow Covers
159,2020-12-17,66528.0,Throw Pillow Covers
160,2020-12-18,66528.0,Throw Pillow Covers
161,2020-12-19,66528.0,Throw Pillow Covers
162,2020-12-20,66528.0,Throw Pillow Covers
163,2020-12-21,46461.0,Throw Pillow Covers
164,2020-12-22,46461.0,Throw Pillow Covers
165,2020-12-23,46461.0,Throw Pillow Covers
166,2020-12-24,46963.0,Throw Pillow Covers
167,2020-12-25,46963.0,Throw Pillow Covers
168,2020-12-26,46963.0,Throw Pillow Covers
