,date,value,name_B091MMHKV4
0,2021-04-15,17294.0,Echinacea
1,2021-04-16,17294.0,Echinacea
2,2021-04-17,17294.0,Echinacea
3,2021-04-18,17294.0,Echinacea
4,2021-04-19,17294.0,Echinacea
5,2021-04-20,16032.0,Echinacea
6,2021-04-21,16032.0,Echinacea
7,2021-04-22,16032.0,Echinacea
8,2021-04-23,19448.0,Echinacea
9,2021-04-24,18138.0,Echinacea
10,2021-04-25,18138.0,Echinacea
11,2021-04-26,14928.0,Echinacea
12,2021-04-27,14928.0,Echinacea
13,2021-04-28,18571.0,Echinacea
14,2021-04-29,18571.0,Echinacea
15,2021-04-30,14046.0,Echinacea
16,2021-05-01,14046.0,Echinacea
17,2021-05-02,14046.0,Echinacea
18,2021-05-03,14046.0,Echinacea
19,2021-05-04,14421.0,Echinacea
20,2021-05-05,14421.0,Echinacea
21,2021-05-06,14421.0,Echinacea
22,2021-05-07,14762.0,Echinacea
23,2021-05-08,14762.0,Echinacea
24,2021-05-09,15924.0,Echinacea
25,2021-05-10,15924.0,Echinacea
26,2021-05-11,13507.0,Echinacea
27,2021-05-12,13507.0,Echinacea
28,2021-05-13,13507.0,Echinacea
29,2021-05-14,12381.0,Echinacea
30,2021-05-15,12381.0,Echinacea
31,2021-05-16,10740.0,Echinacea
32,2021-05-17,13311.0,Echinacea
33,2021-05-18,13311.0,Echinacea
34,2021-05-19,14841.0,Echinacea
35,2021-05-20,12590.0,Echinacea
36,2021-05-21,14471.0,Echinacea
37,2021-05-22,15255.0,Echinacea
38,2021-05-23,15255.0,Echinacea
39,2021-05-24,15255.0,Echinacea
40,2021-05-25,11465.0,Echinacea
41,2021-05-26,10344.0,Echinacea
42,2021-05-27,11229.0,Echinacea
43,2021-05-28,11229.0,Echinacea
44,2021-05-29,12474.0,Echinacea
45,2021-05-30,12474.0,Echinacea
46,2021-05-31,13380.0,Echinacea
47,2021-06-01,13291.0,Echinacea
48,2021-06-02,13291.0,Echinacea
49,2021-06-03,14167.0,Echinacea
50,2021-06-04,14167.0,Echinacea
51,2021-06-05,10593.0,Echinacea
52,2021-06-06,10593.0,Echinacea
53,2021-06-07,13100.0,Echinacea
54,2021-06-08,13100.0,Echinacea
55,2021-06-09,13100.0,Echinacea
56,2021-06-10,13279.0,Echinacea
57,2021-06-11,13279.0,Echinacea
58,2021-06-12,11346.0,Echinacea
59,2021-06-13,11346.0,Echinacea
60,2021-06-14,11346.0,Echinacea
61,2021-06-15,12880.0,Echinacea
62,2021-06-16,12880.0,Echinacea
63,2021-06-17,11605.0,Echinacea
64,2021-06-18,11605.0,Echinacea
65,2021-06-19,11605.0,Echinacea
66,2021-06-20,9876.0,Echinacea
67,2021-06-21,12828.0,Echinacea
68,2021-06-22,11643.0,Echinacea
69,2021-06-23,11643.0,Echinacea
70,2021-06-24,10923.0,Echinacea
71,2021-06-25,10923.0,Echinacea
72,2021-06-26,10972.0,Echinacea
73,2021-06-27,10972.0,Echinacea
74,2021-06-28,11605.0,Echinacea
75,2021-06-29,11605.0,Echinacea
76,2021-06-30,12124.0,Echinacea
77,2021-07-01,12458.0,Echinacea
78,2021-07-02,12458.0,Echinacea
79,2021-07-03,11846.0,Echinacea
80,2021-07-04,11846.0,Echinacea
81,2021-07-05,10696.0,Echinacea
82,2021-07-06,10278.0,Echinacea
83,2021-07-07,10278.0,Echinacea
84,2021-07-08,10278.0,Echinacea
85,2021-07-09,12698.0,Echinacea
86,2021-07-10,12698.0,Echinacea
87,2021-07-11,11238.0,Echinacea
