,date,value,name_B07KLFGKRV
0,2020-06-18,51401.0,Multivitamins
1,2020-06-19,51401.0,Multivitamins
2,2020-06-20,51401.0,Multivitamins
3,2020-06-21,51401.0,Multivitamins
4,2020-06-22,51401.0,Multivitamins
5,2020-06-23,51401.0,Multivitamins
6,2020-06-24,51401.0,Multivitamins
7,2020-06-25,51401.0,Multivitamins
8,2020-06-26,51401.0,Multivitamins
9,2020-06-27,45847.0,Multivitamins
10,2020-06-28,46223.0,Multivitamins
11,2020-06-29,46223.0,Multivitamins
12,2020-06-30,46223.0,Multivitamins
13,2020-07-01,46223.0,Multivitamins
14,2020-07-02,46223.0,Multivitamins
15,2020-07-03,46223.0,Multivitamins
16,2020-07-04,46223.0,Multivitamins
17,2020-07-05,55080.0,Multivitamins
18,2020-07-06,55080.0,Multivitamins
19,2020-07-07,55080.0,Multivitamins
20,2020-07-08,67279.0,Multivitamins
21,2020-07-09,67279.0,Multivitamins
22,2020-07-10,67279.0,Multivitamins
23,2020-07-11,67279.0,Multivitamins
24,2020-07-12,67279.0,Multivitamins
25,2020-07-13,67279.0,Multivitamins
26,2020-07-14,67279.0,Multivitamins
27,2020-07-15,67279.0,Multivitamins
28,2020-07-16,67279.0,Multivitamins
29,2020-07-17,56334.0,Multivitamins
30,2020-07-18,54075.0,Multivitamins
31,2020-07-19,54075.0,Multivitamins
32,2020-07-20,41858.0,Multivitamins
33,2020-07-21,41858.0,Multivitamins
34,2020-07-22,41858.0,Multivitamins
35,2020-07-23,41858.0,Multivitamins
36,2020-07-24,54226.0,Multivitamins
37,2020-07-25,54226.0,Multivitamins
38,2020-07-26,54226.0,Multivitamins
39,2020-07-27,54226.0,Multivitamins
40,2020-07-28,40249.0,Multivitamins
41,2020-07-29,40249.0,Multivitamins
42,2020-07-30,40249.0,Multivitamins
43,2020-07-31,40249.0,Multivitamins
44,2020-08-01,40249.0,Multivitamins
45,2020-08-02,40249.0,Multivitamins
46,2020-08-03,40249.0,Multivitamins
47,2020-08-04,40249.0,Multivitamins
48,2020-08-05,29112.0,Multivitamins
49,2020-08-06,29112.0,Multivitamins
50,2020-08-07,88415.0,Multivitamins
51,2020-08-08,88415.0,Multivitamins
52,2020-08-09,88415.0,Multivitamins
53,2020-08-10,88415.0,Multivitamins
54,2020-08-11,88415.0,Multivitamins
55,2020-08-12,77091.0,Multivitamins
56,2020-08-13,77091.0,Multivitamins
57,2020-08-14,77091.0,Multivitamins
58,2020-08-15,77091.0,Multivitamins
59,2020-08-16,79702.0,Multivitamins
60,2020-08-17,79702.0,Multivitamins
61,2020-08-18,79702.0,Multivitamins
62,2020-08-19,79702.0,Multivitamins
63,2020-08-20,84254.0,Multivitamins
64,2020-08-21,84254.0,Multivitamins
65,2020-08-22,84254.0,Multivitamins
66,2020-08-23,84254.0,Multivitamins
67,2020-08-24,84254.0,Multivitamins
68,2020-08-25,84254.0,Multivitamins
69,2020-08-26,84254.0,Multivitamins
70,2020-08-27,113003.0,Multivitamins
71,2020-08-28,78137.0,Multivitamins
72,2020-08-29,78137.0,Multivitamins
73,2020-08-30,78137.0,Multivitamins
74,2020-08-31,78137.0,Multivitamins
75,2020-09-01,78137.0,Multivitamins
76,2020-09-02,78137.0,Multivitamins
77,2020-09-03,78137.0,Multivitamins
78,2020-09-04,78137.0,Multivitamins
79,2020-09-05,78137.0,Multivitamins
80,2020-09-06,82781.0,Multivitamins
81,2020-09-07,82781.0,Multivitamins
82,2020-09-08,82781.0,Multivitamins
83,2020-09-09,82781.0,Multivitamins
84,2020-09-10,82781.0,Multivitamins
85,2020-09-11,82781.0,Multivitamins
86,2020-09-12,82781.0,Multivitamins
87,2020-09-13,82781.0,Multivitamins
88,2020-09-14,82781.0,Multivitamins
89,2020-09-15,82781.0,Multivitamins
90,2020-09-16,83154.0,Multivitamins
91,2020-09-17,83154.0,Multivitamins
92,2020-09-18,83154.0,Multivitamins
93,2020-09-19,83154.0,Multivitamins
94,2020-09-20,83154.0,Multivitamins
95,2020-09-21,83154.0,Multivitamins
96,2020-09-22,83154.0,Multivitamins
97,2020-09-23,83154.0,Multivitamins
98,2020-09-24,83154.0,Multivitamins
99,2020-09-25,83154.0,Multivitamins
100,2020-09-26,83154.0,Multivitamins
101,2020-09-27,118671.0,Multivitamins
102,2020-09-28,118671.0,Multivitamins
103,2020-09-29,118671.0,Multivitamins
104,2020-09-30,118671.0,Multivitamins
105,2020-10-01,118671.0,Multivitamins
106,2020-10-02,118671.0,Multivitamins
107,2020-10-03,118671.0,Multivitamins
108,2020-10-04,118671.0,Multivitamins
109,2020-10-05,118671.0,Multivitamins
110,2020-10-06,118671.0,Multivitamins
111,2020-10-07,139530.0,Multivitamins
112,2020-10-08,139530.0,Multivitamins
113,2020-10-09,139530.0,Multivitamins
114,2020-10-10,139530.0,Multivitamins
115,2020-10-11,148618.0,Multivitamins
116,2020-10-12,148618.0,Multivitamins
117,2020-10-13,148618.0,Multivitamins
118,2020-10-14,148618.0,Multivitamins
119,2020-10-15,148618.0,Multivitamins
120,2020-10-16,148618.0,Multivitamins
121,2020-10-17,148618.0,Multivitamins
122,2020-10-18,134383.0,Multivitamins
123,2020-10-19,134383.0,Multivitamins
124,2020-10-20,134383.0,Multivitamins
125,2020-10-21,89580.0,Multivitamins
126,2020-10-22,89580.0,Multivitamins
127,2020-10-23,89580.0,Multivitamins
128,2020-10-24,89580.0,Multivitamins
129,2020-10-25,89580.0,Multivitamins
130,2020-10-26,89580.0,Multivitamins
131,2020-10-27,89580.0,Multivitamins
132,2020-10-28,74785.0,Multivitamins
133,2020-10-29,74785.0,Multivitamins
134,2020-10-30,74785.0,Multivitamins
135,2020-10-31,74785.0,Multivitamins
136,2020-11-01,74785.0,Multivitamins
137,2020-11-02,74785.0,Multivitamins
138,2020-11-03,74785.0,Multivitamins
139,2020-11-04,65942.0,Multivitamins
140,2020-11-05,65942.0,Multivitamins
141,2020-11-06,89007.0,Multivitamins
142,2020-11-07,89007.0,Multivitamins
143,2020-11-08,111683.0,Multivitamins
144,2020-11-09,111683.0,Multivitamins
145,2020-11-10,111683.0,Multivitamins
146,2020-11-11,111683.0,Multivitamins
147,2020-11-12,111683.0,Multivitamins
148,2020-11-13,111683.0,Multivitamins
149,2020-11-14,111683.0,Multivitamins
150,2020-11-15,74226.0,Multivitamins
151,2020-11-16,74226.0,Multivitamins
152,2020-11-17,74226.0,Multivitamins
153,2020-11-18,88403.0,Multivitamins
154,2020-11-19,74371.0,Multivitamins
155,2020-11-20,80816.0,Multivitamins
156,2020-11-21,80816.0,Multivitamins
157,2020-11-22,114592.0,Multivitamins
158,2020-11-23,86860.0,Multivitamins
159,2020-11-24,87812.0,Multivitamins
160,2020-11-25,108666.0,Multivitamins
161,2020-11-26,67662.0,Multivitamins
162,2020-11-27,83874.0,Multivitamins
163,2020-11-28,67418.0,Multivitamins
164,2020-11-29,70694.0,Multivitamins
165,2020-11-30,93551.0,Multivitamins
166,2020-12-01,101914.0,Multivitamins
167,2020-12-02,99942.0,Multivitamins
