,date,value,name_B08KP6JWVF
176,2021-04-01,9952.0,Stands
177,2021-04-02,9952.0,Stands
178,2021-04-03,9952.0,Stands
179,2021-04-04,6547.0,Stands
180,2021-04-05,6547.0,Stands
181,2021-04-06,8666.0,Stands
182,2021-04-07,5889.0,Stands
183,2021-04-08,5889.0,Stands
184,2021-04-09,5889.0,Stands
185,2021-04-10,6365.0,Stands
186,2021-04-11,6365.0,Stands
187,2021-04-12,6365.0,Stands
188,2021-04-13,8596.0,Stands
189,2021-04-14,10365.0,Stands
190,2021-04-15,10365.0,Stands
191,2021-04-16,18257.0,Stands
192,2021-04-17,17263.0,Stands
193,2021-04-18,17263.0,Stands
194,2021-04-19,17263.0,Stands
195,2021-04-20,12305.0,Stands
196,2021-04-21,12305.0,Stands
197,2021-04-22,8089.0,Stands
198,2021-04-23,7152.0,Stands
199,2021-04-24,7152.0,Stands
200,2021-04-25,7690.0,Stands
201,2021-04-26,7690.0,Stands
202,2021-04-27,7690.0,Stands
203,2021-04-28,6227.0,Stands
204,2021-04-29,6227.0,Stands
205,2021-04-30,9042.0,Stands
206,2021-05-01,9042.0,Stands
207,2021-05-02,9042.0,Stands
208,2021-05-03,8442.0,Stands
209,2021-05-04,8442.0,Stands
210,2021-05-05,7692.0,Stands
211,2021-05-06,7692.0,Stands
212,2021-05-07,7692.0,Stands
213,2021-05-08,10562.0,Stands
214,2021-05-09,10562.0,Stands
215,2021-05-10,10562.0,Stands
216,2021-05-11,7016.0,Stands
217,2021-05-12,8003.0,Stands
218,2021-05-13,9424.0,Stands
219,2021-05-14,7759.0,Stands
220,2021-05-15,5708.0,Stands
221,2021-05-16,5708.0,Stands
222,2021-05-17,5708.0,Stands
223,2021-05-18,5708.0,Stands
224,2021-05-19,8276.0,Stands
225,2021-05-20,8393.0,Stands
226,2021-05-21,8393.0,Stands
227,2021-05-22,8393.0,Stands
228,2021-05-23,8393.0,Stands
229,2021-05-24,8393.0,Stands
230,2021-05-25,9365.0,Stands
231,2021-05-26,10158.0,Stands
232,2021-05-27,10158.0,Stands
233,2021-05-28,10158.0,Stands
234,2021-05-29,7008.0,Stands
235,2021-05-30,7008.0,Stands
236,2021-05-31,7008.0,Stands
237,2021-06-01,6365.0,Stands
238,2021-06-02,5835.0,Stands
239,2021-06-03,5835.0,Stands
240,2021-06-04,4886.0,Stands
241,2021-06-05,4886.0,Stands
242,2021-06-06,4368.0,Stands
243,2021-06-07,4368.0,Stands
244,2021-06-08,4368.0,Stands
245,2021-06-09,4368.0,Stands
246,2021-06-10,4841.0,Stands
247,2021-06-11,4841.0,Stands
248,2021-06-12,4106.0,Stands
249,2021-06-13,3792.0,Stands
250,2021-06-14,3792.0,Stands
251,2021-06-15,3801.0,Stands
252,2021-06-16,3801.0,Stands
253,2021-06-17,3801.0,Stands
254,2021-06-18,6574.0,Stands
255,2021-06-19,6574.0,Stands
256,2021-06-20,6574.0,Stands
257,2021-06-21,6574.0,Stands
258,2021-06-22,6116.0,Stands
259,2021-06-23,6116.0,Stands
260,2021-06-24,6116.0,Stands
261,2021-06-25,6116.0,Stands
262,2021-06-26,6116.0,Stands
263,2021-06-27,6116.0,Stands
264,2021-06-28,6116.0,Stands
265,2021-06-29,10792.0,Stands
266,2021-06-30,10792.0,Stands
267,2021-07-01,10792.0,Stands
268,2021-07-02,10792.0,Stands
269,2021-07-03,10792.0,Stands
270,2021-07-04,5537.0,Stands
271,2021-07-05,5537.0,Stands
272,2021-07-06,5537.0,Stands
273,2021-07-07,7249.0,Stands
274,2021-07-08,7249.0,Stands
275,2021-07-09,7249.0,Stands
276,2021-07-10,8738.0,Stands
277,2021-07-11,9578.0,Stands
