,date,value,name_B08D8RDWB8
0,2020-08-10,11829.0,Decorative Pillows
1,2020-08-11,11829.0,Decorative Pillows
2,2020-08-12,11829.0,Decorative Pillows
3,2020-08-13,11829.0,Decorative Pillows
4,2020-08-14,29041.0,Decorative Pillows
5,2020-08-15,22505.0,Decorative Pillows
6,2020-08-16,21402.0,Decorative Pillows
7,2020-08-17,35298.0,Decorative Pillows
8,2020-08-18,41601.0,Decorative Pillows
9,2020-08-19,41601.0,Decorative Pillows
10,2020-08-20,41601.0,Decorative Pillows
11,2020-08-21,39033.0,Decorative Pillows
12,2020-08-22,39033.0,Decorative Pillows
13,2020-08-23,39033.0,Decorative Pillows
14,2020-08-24,19121.0,Decorative Pillows
15,2020-08-25,19121.0,Decorative Pillows
16,2020-08-26,19121.0,Decorative Pillows
17,2020-08-27,21177.0,Decorative Pillows
18,2020-08-28,21177.0,Decorative Pillows
19,2020-08-29,21177.0,Decorative Pillows
20,2020-08-30,21177.0,Decorative Pillows
21,2020-08-31,10194.0,Decorative Pillows
22,2020-09-01,10194.0,Decorative Pillows
23,2020-09-02,10194.0,Decorative Pillows
24,2020-09-03,11947.0,Decorative Pillows
25,2020-09-04,19100.0,Decorative Pillows
26,2020-09-05,18308.0,Decorative Pillows
27,2020-09-06,18308.0,Decorative Pillows
28,2020-09-07,18912.0,Decorative Pillows
29,2020-09-08,18912.0,Decorative Pillows
30,2020-09-09,18912.0,Decorative Pillows
31,2020-09-10,18912.0,Decorative Pillows
32,2020-09-11,28978.0,Decorative Pillows
33,2020-09-12,28978.0,Decorative Pillows
34,2020-09-13,28978.0,Decorative Pillows
35,2020-09-14,25306.0,Decorative Pillows
36,2020-09-15,19007.0,Decorative Pillows
37,2020-09-16,16054.0,Decorative Pillows
38,2020-09-17,16054.0,Decorative Pillows
39,2020-09-18,16054.0,Decorative Pillows
40,2020-09-19,24605.0,Decorative Pillows
41,2020-09-20,17920.0,Decorative Pillows
42,2020-09-21,17920.0,Decorative Pillows
43,2020-09-22,26989.0,Decorative Pillows
44,2020-09-23,26989.0,Decorative Pillows
45,2020-09-24,20075.0,Decorative Pillows
46,2020-09-25,27001.0,Decorative Pillows
47,2020-09-26,27001.0,Decorative Pillows
48,2020-09-27,27001.0,Decorative Pillows
49,2020-09-28,25614.0,Decorative Pillows
50,2020-09-29,25614.0,Decorative Pillows
51,2020-09-30,25614.0,Decorative Pillows
52,2020-10-01,25614.0,Decorative Pillows
53,2020-10-02,30734.0,Decorative Pillows
54,2020-10-03,25283.0,Decorative Pillows
55,2020-10-04,25283.0,Decorative Pillows
56,2020-10-05,25283.0,Decorative Pillows
57,2020-10-06,25283.0,Decorative Pillows
58,2020-10-07,25283.0,Decorative Pillows
59,2020-10-08,42909.0,Decorative Pillows
60,2020-10-09,42909.0,Decorative Pillows
61,2020-10-10,42909.0,Decorative Pillows
62,2020-10-11,49065.0,Decorative Pillows
63,2020-10-12,49065.0,Decorative Pillows
64,2020-10-13,35765.0,Decorative Pillows
65,2020-10-14,35765.0,Decorative Pillows
66,2020-10-15,35765.0,Decorative Pillows
67,2020-10-16,35765.0,Decorative Pillows
68,2020-10-17,35765.0,Decorative Pillows
69,2020-10-18,35765.0,Decorative Pillows
70,2020-10-19,63743.0,Decorative Pillows
71,2020-10-20,63743.0,Decorative Pillows
72,2020-10-21,63743.0,Decorative Pillows
73,2020-10-22,63743.0,Decorative Pillows
74,2020-10-23,63743.0,Decorative Pillows
75,2020-10-24,109646.0,Decorative Pillows
76,2020-10-25,109646.0,Decorative Pillows
77,2020-10-26,109646.0,Decorative Pillows
78,2020-10-27,109646.0,Decorative Pillows
79,2020-10-28,109646.0,Decorative Pillows
80,2020-10-29,109646.0,Decorative Pillows
81,2020-10-30,109646.0,Decorative Pillows
82,2020-10-31,109646.0,Decorative Pillows
83,2020-11-01,109646.0,Decorative Pillows
84,2020-11-02,109646.0,Decorative Pillows
85,2020-11-03,62241.0,Decorative Pillows
86,2020-11-04,62241.0,Decorative Pillows
87,2020-11-05,62241.0,Decorative Pillows
88,2020-11-06,62241.0,Decorative Pillows
89,2020-11-07,62241.0,Decorative Pillows
90,2020-11-08,62241.0,Decorative Pillows
91,2020-11-09,62241.0,Decorative Pillows
92,2020-11-10,62241.0,Decorative Pillows
93,2020-11-11,62241.0,Decorative Pillows
94,2020-11-12,62241.0,Decorative Pillows
95,2020-11-13,62241.0,Decorative Pillows
96,2020-11-14,62241.0,Decorative Pillows
97,2020-11-15,62241.0,Decorative Pillows
98,2020-11-16,62241.0,Decorative Pillows
99,2020-11-17,47819.0,Decorative Pillows
100,2020-11-18,47819.0,Decorative Pillows
101,2020-11-19,47819.0,Decorative Pillows
102,2020-11-20,41058.0,Decorative Pillows
103,2020-11-21,41058.0,Decorative Pillows
104,2020-11-22,41058.0,Decorative Pillows
105,2020-11-23,61037.0,Decorative Pillows
106,2020-11-24,61037.0,Decorative Pillows
107,2020-11-25,61037.0,Decorative Pillows
108,2020-11-26,61037.0,Decorative Pillows
109,2020-11-27,77652.0,Decorative Pillows
110,2020-11-28,77652.0,Decorative Pillows
111,2020-11-29,77652.0,Decorative Pillows
112,2020-11-30,77652.0,Decorative Pillows
113,2020-12-01,77652.0,Decorative Pillows
114,2020-12-02,53385.0,Decorative Pillows
115,2020-12-03,53385.0,Decorative Pillows
116,2020-12-04,53385.0,Decorative Pillows
117,2020-12-05,53385.0,Decorative Pillows
118,2020-12-06,53385.0,Decorative Pillows
119,2020-12-07,53385.0,Decorative Pillows
120,2020-12-08,53385.0,Decorative Pillows
121,2020-12-09,34432.0,Decorative Pillows
122,2020-12-10,34432.0,Decorative Pillows
123,2020-12-11,34432.0,Decorative Pillows
124,2020-12-12,34432.0,Decorative Pillows
125,2020-12-13,34432.0,Decorative Pillows
126,2020-12-14,34432.0,Decorative Pillows
127,2020-12-15,34432.0,Decorative Pillows
128,2020-12-16,92922.0,Decorative Pillows
129,2020-12-17,92922.0,Decorative Pillows
130,2020-12-18,92922.0,Decorative Pillows
