,date,value,name_B07CM12TBF
0,2020-06-10,113955.0,Basic Halter Harnesses
1,2020-06-11,113955.0,Basic Halter Harnesses
2,2020-06-12,113955.0,Basic Halter Harnesses
3,2020-06-13,113955.0,Basic Halter Harnesses
4,2020-06-14,113955.0,Basic Halter Harnesses
5,2020-06-15,113955.0,Basic Halter Harnesses
6,2020-06-16,113955.0,Basic Halter Harnesses
7,2020-06-17,113955.0,Basic Halter Harnesses
8,2020-06-18,82452.0,Basic Halter Harnesses
9,2020-06-19,82452.0,Basic Halter Harnesses
10,2020-06-20,82452.0,Basic Halter Harnesses
11,2020-06-21,82452.0,Basic Halter Harnesses
12,2020-06-22,82452.0,Basic Halter Harnesses
13,2020-06-23,93393.0,Basic Halter Harnesses
14,2020-06-24,93393.0,Basic Halter Harnesses
15,2020-06-25,93393.0,Basic Halter Harnesses
16,2020-06-26,93393.0,Basic Halter Harnesses
17,2020-06-27,106782.0,Basic Halter Harnesses
18,2020-06-28,106782.0,Basic Halter Harnesses
19,2020-06-29,106782.0,Basic Halter Harnesses
20,2020-06-30,106782.0,Basic Halter Harnesses
21,2020-07-01,111568.0,Basic Halter Harnesses
22,2020-07-02,111568.0,Basic Halter Harnesses
23,2020-07-03,111568.0,Basic Halter Harnesses
24,2020-07-04,111568.0,Basic Halter Harnesses
25,2020-07-05,111568.0,Basic Halter Harnesses
26,2020-07-06,111568.0,Basic Halter Harnesses
27,2020-07-07,111568.0,Basic Halter Harnesses
28,2020-07-08,38238.0,Basic Halter Harnesses
29,2020-07-09,38238.0,Basic Halter Harnesses
30,2020-07-10,38238.0,Basic Halter Harnesses
31,2020-07-11,76133.0,Basic Halter Harnesses
32,2020-07-12,76133.0,Basic Halter Harnesses
33,2020-07-13,76133.0,Basic Halter Harnesses
34,2020-07-14,76133.0,Basic Halter Harnesses
35,2020-07-15,76133.0,Basic Halter Harnesses
36,2020-07-16,105446.0,Basic Halter Harnesses
37,2020-07-17,105446.0,Basic Halter Harnesses
38,2020-07-18,105446.0,Basic Halter Harnesses
39,2020-07-19,105446.0,Basic Halter Harnesses
40,2020-07-20,105446.0,Basic Halter Harnesses
41,2020-07-21,111046.0,Basic Halter Harnesses
42,2020-07-22,111046.0,Basic Halter Harnesses
43,2020-07-23,111046.0,Basic Halter Harnesses
44,2020-07-24,111046.0,Basic Halter Harnesses
45,2020-07-25,51558.0,Basic Halter Harnesses
46,2020-07-26,51558.0,Basic Halter Harnesses
47,2020-07-27,51558.0,Basic Halter Harnesses
48,2020-07-28,51558.0,Basic Halter Harnesses
49,2020-07-29,51558.0,Basic Halter Harnesses
50,2020-07-30,54902.0,Basic Halter Harnesses
51,2020-07-31,54902.0,Basic Halter Harnesses
52,2020-08-01,54902.0,Basic Halter Harnesses
53,2020-08-02,54902.0,Basic Halter Harnesses
54,2020-08-03,54902.0,Basic Halter Harnesses
55,2020-08-04,54902.0,Basic Halter Harnesses
56,2020-08-05,54902.0,Basic Halter Harnesses
57,2020-08-06,54902.0,Basic Halter Harnesses
58,2020-08-07,54902.0,Basic Halter Harnesses
59,2020-08-08,54902.0,Basic Halter Harnesses
60,2020-08-09,54902.0,Basic Halter Harnesses
61,2020-08-10,54902.0,Basic Halter Harnesses
62,2020-08-11,54902.0,Basic Halter Harnesses
63,2020-08-12,94802.0,Basic Halter Harnesses
64,2020-08-13,94802.0,Basic Halter Harnesses
65,2020-08-14,94802.0,Basic Halter Harnesses
66,2020-08-15,94802.0,Basic Halter Harnesses
67,2020-08-16,94802.0,Basic Halter Harnesses
68,2020-08-17,94802.0,Basic Halter Harnesses
69,2020-08-18,94802.0,Basic Halter Harnesses
70,2020-08-19,94802.0,Basic Halter Harnesses
71,2020-08-20,95268.0,Basic Halter Harnesses
72,2020-08-21,95268.0,Basic Halter Harnesses
73,2020-08-22,95268.0,Basic Halter Harnesses
74,2020-08-23,84911.0,Basic Halter Harnesses
75,2020-08-24,84911.0,Basic Halter Harnesses
76,2020-08-25,84911.0,Basic Halter Harnesses
77,2020-08-26,84911.0,Basic Halter Harnesses
78,2020-08-27,84911.0,Basic Halter Harnesses
79,2020-08-28,80592.0,Basic Halter Harnesses
80,2020-08-29,80592.0,Basic Halter Harnesses
81,2020-08-30,80592.0,Basic Halter Harnesses
82,2020-08-31,80592.0,Basic Halter Harnesses
83,2020-09-01,80592.0,Basic Halter Harnesses
