,date,value,name_B08ZN24D3R
0,2021-04-13,35387.0,Play Tents & Tunnels
1,2021-04-14,35387.0,Play Tents & Tunnels
2,2021-04-15,38497.0,Play Tents & Tunnels
3,2021-04-16,38497.0,Play Tents & Tunnels
4,2021-04-17,38497.0,Play Tents & Tunnels
5,2021-04-18,38497.0,Play Tents & Tunnels
6,2021-04-19,38497.0,Play Tents & Tunnels
7,2021-04-20,20347.0,Play Tents & Tunnels
8,2021-04-21,26192.0,Play Tents & Tunnels
9,2021-04-22,21383.0,Play Tents & Tunnels
10,2021-04-23,20791.0,Play Tents & Tunnels
11,2021-04-24,17887.0,Play Tents & Tunnels
12,2021-04-25,17887.0,Play Tents & Tunnels
13,2021-04-26,17887.0,Play Tents & Tunnels
14,2021-04-27,17887.0,Play Tents & Tunnels
15,2021-04-28,27357.0,Play Tents & Tunnels
16,2021-04-29,27357.0,Play Tents & Tunnels
17,2021-04-30,27357.0,Play Tents & Tunnels
18,2021-05-01,20984.0,Play Tents & Tunnels
19,2021-05-02,41048.0,Play Tents & Tunnels
20,2021-05-03,41048.0,Play Tents & Tunnels
21,2021-05-04,41048.0,Play Tents & Tunnels
22,2021-05-05,41048.0,Play Tents & Tunnels
23,2021-05-06,16975.0,Play Tents & Tunnels
24,2021-05-07,16975.0,Play Tents & Tunnels
25,2021-05-08,27107.0,Play Tents & Tunnels
26,2021-05-09,15630.0,Play Tents & Tunnels
27,2021-05-10,15630.0,Play Tents & Tunnels
28,2021-05-11,15630.0,Play Tents & Tunnels
29,2021-05-12,30404.0,Play Tents & Tunnels
30,2021-05-13,30404.0,Play Tents & Tunnels
31,2021-05-14,30404.0,Play Tents & Tunnels
32,2021-05-15,30404.0,Play Tents & Tunnels
33,2021-05-16,12885.0,Play Tents & Tunnels
34,2021-05-17,19388.0,Play Tents & Tunnels
35,2021-05-18,15315.0,Play Tents & Tunnels
36,2021-05-19,15315.0,Play Tents & Tunnels
37,2021-05-20,15629.0,Play Tents & Tunnels
38,2021-05-21,15629.0,Play Tents & Tunnels
39,2021-05-22,15629.0,Play Tents & Tunnels
40,2021-05-23,16915.0,Play Tents & Tunnels
41,2021-05-24,16915.0,Play Tents & Tunnels
42,2021-05-25,9481.0,Play Tents & Tunnels
43,2021-05-26,9481.0,Play Tents & Tunnels
44,2021-05-27,15840.0,Play Tents & Tunnels
45,2021-05-28,15840.0,Play Tents & Tunnels
46,2021-05-29,15840.0,Play Tents & Tunnels
47,2021-05-30,15840.0,Play Tents & Tunnels
48,2021-05-31,17692.0,Play Tents & Tunnels
49,2021-06-01,17692.0,Play Tents & Tunnels
50,2021-06-02,17692.0,Play Tents & Tunnels
51,2021-06-03,22382.0,Play Tents & Tunnels
52,2021-06-04,22382.0,Play Tents & Tunnels
53,2021-06-05,22679.0,Play Tents & Tunnels
54,2021-06-06,22679.0,Play Tents & Tunnels
55,2021-06-07,15498.0,Play Tents & Tunnels
56,2021-06-08,14947.0,Play Tents & Tunnels
57,2021-06-09,11326.0,Play Tents & Tunnels
58,2021-06-10,11326.0,Play Tents & Tunnels
59,2021-06-11,9415.0,Play Tents & Tunnels
60,2021-06-12,9415.0,Play Tents & Tunnels
61,2021-06-13,9415.0,Play Tents & Tunnels
62,2021-06-14,15214.0,Play Tents & Tunnels
63,2021-06-15,15214.0,Play Tents & Tunnels
64,2021-06-16,15214.0,Play Tents & Tunnels
65,2021-06-17,19183.0,Play Tents & Tunnels
66,2021-06-18,19183.0,Play Tents & Tunnels
67,2021-06-19,19183.0,Play Tents & Tunnels
68,2021-06-20,19183.0,Play Tents & Tunnels
69,2021-06-21,19183.0,Play Tents & Tunnels
70,2021-06-22,32537.0,Play Tents & Tunnels
71,2021-06-23,32537.0,Play Tents & Tunnels
72,2021-06-24,27453.0,Play Tents & Tunnels
73,2021-06-25,27453.0,Play Tents & Tunnels
74,2021-06-26,27453.0,Play Tents & Tunnels
75,2021-06-27,35618.0,Play Tents & Tunnels
76,2021-06-28,39096.0,Play Tents & Tunnels
77,2021-06-29,39096.0,Play Tents & Tunnels
78,2021-06-30,28295.0,Play Tents & Tunnels
79,2021-07-01,19371.0,Play Tents & Tunnels
80,2021-07-02,19371.0,Play Tents & Tunnels
81,2021-07-03,32262.0,Play Tents & Tunnels
82,2021-07-04,32262.0,Play Tents & Tunnels
83,2021-07-05,32262.0,Play Tents & Tunnels
84,2021-07-06,12721.0,Play Tents & Tunnels
85,2021-07-07,14459.0,Play Tents & Tunnels
86,2021-07-08,14459.0,Play Tents & Tunnels
87,2021-07-09,17218.0,Play Tents & Tunnels
