,date,value,name_B094ZCDQCH
0,2021-05-20,90456.0,Action Figures
1,2021-05-21,90456.0,Action Figures
2,2021-05-22,43635.0,Action Figures
3,2021-05-23,43635.0,Action Figures
4,2021-05-24,28585.0,Action Figures
5,2021-05-25,28585.0,Action Figures
6,2021-05-26,28585.0,Action Figures
7,2021-05-27,21362.0,Action Figures
8,2021-05-28,21362.0,Action Figures
9,2021-05-29,22990.0,Action Figures
10,2021-05-30,22990.0,Action Figures
11,2021-05-31,15615.0,Action Figures
12,2021-06-01,15615.0,Action Figures
13,2021-06-02,15615.0,Action Figures
14,2021-06-03,10423.0,Action Figures
15,2021-06-04,10423.0,Action Figures
16,2021-06-05,7910.0,Action Figures
17,2021-06-06,11837.0,Action Figures
18,2021-06-07,12731.0,Action Figures
19,2021-06-08,10141.0,Action Figures
20,2021-06-09,12081.0,Action Figures
21,2021-06-10,12081.0,Action Figures
22,2021-06-11,12081.0,Action Figures
23,2021-06-12,12081.0,Action Figures
24,2021-06-13,9802.0,Action Figures
25,2021-06-14,16645.0,Action Figures
26,2021-06-15,16645.0,Action Figures
27,2021-06-16,16645.0,Action Figures
28,2021-06-17,14115.0,Action Figures
29,2021-06-18,17440.0,Action Figures
30,2021-06-19,15869.0,Action Figures
31,2021-06-20,18875.0,Action Figures
32,2021-06-21,21608.0,Action Figures
33,2021-06-22,19924.0,Action Figures
34,2021-06-23,19924.0,Action Figures
35,2021-06-24,23759.0,Action Figures
36,2021-06-25,23759.0,Action Figures
37,2021-06-26,11468.0,Action Figures
38,2021-06-27,11468.0,Action Figures
39,2021-06-28,11982.0,Action Figures
40,2021-06-29,15678.0,Action Figures
41,2021-06-30,15678.0,Action Figures
42,2021-07-01,12864.0,Action Figures
43,2021-07-02,12864.0,Action Figures
44,2021-07-03,15115.0,Action Figures
45,2021-07-04,15115.0,Action Figures
46,2021-07-05,15116.0,Action Figures
47,2021-07-06,14680.0,Action Figures
48,2021-07-07,11913.0,Action Figures
49,2021-07-08,12673.0,Action Figures
50,2021-07-09,11441.0,Action Figures
