,date,value,name_B01NBK0MPG
0,2020-05-24,6258.0,Doors
1,2020-05-25,6258.0,Doors
2,2020-05-26,6258.0,Doors
3,2020-05-27,4953.0,Doors
4,2020-05-28,4953.0,Doors
5,2020-05-29,4953.0,Doors
6,2020-05-30,4953.0,Doors
7,2020-05-31,4953.0,Doors
8,2020-06-01,4908.0,Doors
9,2020-06-02,4908.0,Doors
10,2020-06-03,4908.0,Doors
11,2020-06-04,4908.0,Doors
12,2020-06-05,4923.0,Doors
13,2020-06-06,4923.0,Doors
14,2020-06-07,4344.0,Doors
15,2020-06-08,4344.0,Doors
16,2020-06-09,4344.0,Doors
17,2020-06-10,4611.0,Doors
18,2020-06-11,4611.0,Doors
19,2020-06-12,4611.0,Doors
20,2020-06-13,5290.0,Doors
21,2020-06-14,5290.0,Doors
22,2020-06-15,4141.0,Doors
23,2020-06-16,4141.0,Doors
24,2020-06-17,4141.0,Doors
25,2020-06-18,4733.0,Doors
26,2020-06-19,5553.0,Doors
27,2020-06-20,5553.0,Doors
28,2020-06-21,5424.0,Doors
29,2020-06-22,5424.0,Doors
30,2020-06-23,5424.0,Doors
31,2020-06-24,4810.0,Doors
32,2020-06-25,4810.0,Doors
33,2020-06-26,4810.0,Doors
34,2020-06-27,6564.0,Doors
35,2020-06-28,6564.0,Doors
36,2020-06-29,4873.0,Doors
37,2020-06-30,4873.0,Doors
38,2020-07-01,4859.0,Doors
39,2020-07-02,5154.0,Doors
40,2020-07-03,5312.0,Doors
41,2020-07-04,5312.0,Doors
42,2020-07-05,5312.0,Doors
43,2020-07-06,4464.0,Doors
44,2020-07-07,4482.0,Doors
45,2020-07-08,4482.0,Doors
46,2020-07-09,5633.0,Doors
47,2020-07-10,5633.0,Doors
48,2020-07-11,5633.0,Doors
49,2020-07-12,5633.0,Doors
50,2020-07-13,5633.0,Doors
51,2020-07-14,5633.0,Doors
52,2020-07-15,4069.0,Doors
53,2020-07-16,4069.0,Doors
54,2020-07-17,4816.0,Doors
55,2020-07-18,4816.0,Doors
56,2020-07-19,4596.0,Doors
57,2020-07-20,4596.0,Doors
58,2020-07-21,4449.0,Doors
59,2020-07-22,4449.0,Doors
60,2020-07-23,4449.0,Doors
61,2020-07-24,4627.0,Doors
62,2020-07-25,4627.0,Doors
63,2020-07-26,4627.0,Doors
64,2020-07-27,4906.0,Doors
65,2020-07-28,4906.0,Doors
66,2020-07-29,5567.0,Doors
67,2020-07-30,5567.0,Doors
68,2020-07-31,5567.0,Doors
69,2020-08-01,5567.0,Doors
70,2020-08-02,5129.0,Doors
71,2020-08-03,5129.0,Doors
72,2020-08-04,5129.0,Doors
73,2020-08-05,5915.0,Doors
74,2020-08-06,4942.0,Doors
75,2020-08-07,4942.0,Doors
76,2020-08-08,4942.0,Doors
77,2020-08-09,5467.0,Doors
78,2020-08-10,4534.0,Doors
79,2020-08-11,4534.0,Doors
80,2020-08-12,4534.0,Doors
81,2020-08-13,5289.0,Doors
82,2020-08-14,5289.0,Doors
83,2020-08-15,5369.0,Doors
84,2020-08-16,5369.0,Doors
85,2020-08-17,5692.0,Doors
86,2020-08-18,5692.0,Doors
87,2020-08-19,5692.0,Doors
88,2020-08-20,5671.0,Doors
89,2020-08-21,5671.0,Doors
90,2020-08-22,4957.0,Doors
91,2020-08-23,5679.0,Doors
92,2020-08-24,5679.0,Doors
93,2020-08-25,5679.0,Doors
94,2020-08-26,5348.0,Doors
95,2020-08-27,5636.0,Doors
96,2020-08-28,5636.0,Doors
97,2020-08-29,5636.0,Doors
98,2020-08-30,5636.0,Doors
99,2020-08-31,5365.0,Doors
100,2020-09-01,5365.0,Doors
101,2020-09-02,5141.0,Doors
102,2020-09-03,5141.0,Doors
103,2020-09-04,6637.0,Doors
104,2020-09-05,6637.0,Doors
105,2020-09-06,6637.0,Doors
106,2020-09-07,6291.0,Doors
107,2020-09-08,6375.0,Doors
108,2020-09-09,6375.0,Doors
109,2020-09-10,5640.0,Doors
110,2020-09-11,6601.0,Doors
111,2020-09-12,6601.0,Doors
112,2020-09-13,8627.0,Doors
113,2020-09-14,8627.0,Doors
114,2020-09-15,8627.0,Doors
115,2020-09-16,21105.0,Doors
116,2020-09-17,10264.0,Doors
117,2020-09-18,9721.0,Doors
118,2020-09-19,9721.0,Doors
119,2020-09-20,9721.0,Doors
120,2020-09-21,9721.0,Doors
121,2020-09-22,9721.0,Doors
122,2020-09-23,6255.0,Doors
123,2020-09-24,6649.0,Doors
124,2020-09-25,6649.0,Doors
125,2020-09-26,6649.0,Doors
126,2020-09-27,6649.0,Doors
127,2020-09-28,6480.0,Doors
128,2020-09-29,5452.0,Doors
129,2020-09-30,5452.0,Doors
130,2020-10-01,6394.0,Doors
131,2020-10-02,6394.0,Doors
