,date,value,name_B08V1FMSC3
0,2021-01-31,7122.0,Sofa Slipcovers
1,2021-02-01,7122.0,Sofa Slipcovers
2,2021-02-02,7122.0,Sofa Slipcovers
3,2021-02-03,8438.0,Sofa Slipcovers
4,2021-02-04,7478.0,Sofa Slipcovers
5,2021-02-05,7478.0,Sofa Slipcovers
6,2021-02-06,3976.0,Sofa Slipcovers
7,2021-02-07,3976.0,Sofa Slipcovers
8,2021-02-08,3976.0,Sofa Slipcovers
9,2021-02-09,5155.0,Sofa Slipcovers
10,2021-02-10,5155.0,Sofa Slipcovers
11,2021-02-11,5155.0,Sofa Slipcovers
12,2021-02-12,3954.0,Sofa Slipcovers
13,2021-02-13,3954.0,Sofa Slipcovers
14,2021-02-14,3954.0,Sofa Slipcovers
15,2021-02-15,4012.0,Sofa Slipcovers
16,2021-02-16,3639.0,Sofa Slipcovers
17,2021-02-17,3876.0,Sofa Slipcovers
18,2021-02-18,3876.0,Sofa Slipcovers
19,2021-02-19,3876.0,Sofa Slipcovers
20,2021-02-20,3876.0,Sofa Slipcovers
21,2021-02-21,4251.0,Sofa Slipcovers
22,2021-02-22,4251.0,Sofa Slipcovers
23,2021-02-23,6290.0,Sofa Slipcovers
24,2021-02-24,6426.0,Sofa Slipcovers
25,2021-02-25,7652.0,Sofa Slipcovers
26,2021-02-26,7495.0,Sofa Slipcovers
27,2021-02-27,7495.0,Sofa Slipcovers
28,2021-02-28,7495.0,Sofa Slipcovers
29,2021-03-01,9455.0,Sofa Slipcovers
30,2021-03-02,9455.0,Sofa Slipcovers
31,2021-03-03,9455.0,Sofa Slipcovers
32,2021-03-04,9455.0,Sofa Slipcovers
33,2021-03-05,13701.0,Sofa Slipcovers
34,2021-03-06,13701.0,Sofa Slipcovers
35,2021-03-07,14433.0,Sofa Slipcovers
36,2021-03-08,14433.0,Sofa Slipcovers
37,2021-03-09,14433.0,Sofa Slipcovers
38,2021-03-10,21202.0,Sofa Slipcovers
39,2021-03-11,21202.0,Sofa Slipcovers
40,2021-03-12,21202.0,Sofa Slipcovers
41,2021-03-13,19096.0,Sofa Slipcovers
42,2021-03-14,19096.0,Sofa Slipcovers
43,2021-03-15,19096.0,Sofa Slipcovers
44,2021-03-16,24158.0,Sofa Slipcovers
45,2021-03-17,24158.0,Sofa Slipcovers
46,2021-03-18,52499.0,Sofa Slipcovers
47,2021-03-19,52499.0,Sofa Slipcovers
48,2021-03-20,52499.0,Sofa Slipcovers
49,2021-03-21,52499.0,Sofa Slipcovers
50,2021-03-22,52499.0,Sofa Slipcovers
51,2021-03-23,52499.0,Sofa Slipcovers
52,2021-03-24,19912.0,Sofa Slipcovers
53,2021-03-25,21914.0,Sofa Slipcovers
54,2021-03-26,21914.0,Sofa Slipcovers
55,2021-03-27,21914.0,Sofa Slipcovers
56,2021-03-28,15189.0,Sofa Slipcovers
57,2021-03-29,15189.0,Sofa Slipcovers
58,2021-03-30,15189.0,Sofa Slipcovers
59,2021-03-31,16590.0,Sofa Slipcovers
60,2021-04-01,13900.0,Sofa Slipcovers
61,2021-04-02,13900.0,Sofa Slipcovers
62,2021-04-03,13900.0,Sofa Slipcovers
63,2021-04-04,13900.0,Sofa Slipcovers
64,2021-04-05,13900.0,Sofa Slipcovers
65,2021-04-06,33683.0,Sofa Slipcovers
66,2021-04-07,33683.0,Sofa Slipcovers
67,2021-04-08,33683.0,Sofa Slipcovers
68,2021-04-09,38429.0,Sofa Slipcovers
69,2021-04-10,38429.0,Sofa Slipcovers
70,2021-04-11,38429.0,Sofa Slipcovers
71,2021-04-12,38544.0,Sofa Slipcovers
72,2021-04-13,38544.0,Sofa Slipcovers
73,2021-04-14,38544.0,Sofa Slipcovers
74,2021-04-15,38544.0,Sofa Slipcovers
75,2021-04-16,38544.0,Sofa Slipcovers
76,2021-04-17,46961.0,Sofa Slipcovers
77,2021-04-18,36099.0,Sofa Slipcovers
78,2021-04-19,36099.0,Sofa Slipcovers
79,2021-04-20,26398.0,Sofa Slipcovers
80,2021-04-21,26398.0,Sofa Slipcovers
81,2021-04-22,26398.0,Sofa Slipcovers
82,2021-04-23,22654.0,Sofa Slipcovers
83,2021-04-24,22654.0,Sofa Slipcovers
84,2021-04-25,22654.0,Sofa Slipcovers
85,2021-04-26,22654.0,Sofa Slipcovers
86,2021-04-27,24564.0,Sofa Slipcovers
87,2021-04-28,24564.0,Sofa Slipcovers
88,2021-04-29,24564.0,Sofa Slipcovers
89,2021-04-30,35245.0,Sofa Slipcovers
90,2021-05-01,35245.0,Sofa Slipcovers
91,2021-05-02,35245.0,Sofa Slipcovers
92,2021-05-03,16740.0,Sofa Slipcovers
93,2021-05-04,16740.0,Sofa Slipcovers
94,2021-05-05,16740.0,Sofa Slipcovers
95,2021-05-06,17227.0,Sofa Slipcovers
96,2021-05-07,23956.0,Sofa Slipcovers
97,2021-05-08,23956.0,Sofa Slipcovers
98,2021-05-09,23956.0,Sofa Slipcovers
99,2021-05-10,18201.0,Sofa Slipcovers
100,2021-05-11,18201.0,Sofa Slipcovers
101,2021-05-12,18900.0,Sofa Slipcovers
102,2021-05-13,18900.0,Sofa Slipcovers
103,2021-05-14,18900.0,Sofa Slipcovers
104,2021-05-15,18900.0,Sofa Slipcovers
105,2021-05-16,18900.0,Sofa Slipcovers
106,2021-05-17,19378.0,Sofa Slipcovers
107,2021-05-18,17171.0,Sofa Slipcovers
108,2021-05-19,21350.0,Sofa Slipcovers
109,2021-05-20,23111.0,Sofa Slipcovers
110,2021-05-21,23191.0,Sofa Slipcovers
111,2021-05-22,13613.0,Sofa Slipcovers
112,2021-05-23,18407.0,Sofa Slipcovers
113,2021-05-24,18407.0,Sofa Slipcovers
