,date,value,name_B07X4BJXM8
0,2019-09-29,109115.0,Briefs
1,2019-09-30,77616.0,Briefs
2,2019-10-01,92667.0,Briefs
3,2019-10-02,66283.0,Briefs
4,2019-10-03,65888.0,Briefs
5,2019-10-04,53093.0,Briefs
6,2019-10-05,44717.0,Briefs
7,2019-10-06,38876.0,Briefs
8,2019-10-07,32346.0,Briefs
9,2019-10-08,35396.0,Briefs
10,2019-10-09,50894.0,Briefs
11,2019-10-10,43136.0,Briefs
12,2019-10-11,49591.0,Briefs
13,2019-10-12,45887.0,Briefs
14,2019-10-13,38158.0,Briefs
15,2019-10-14,31022.0,Briefs
16,2019-10-15,27731.0,Briefs
17,2019-10-16,24526.0,Briefs
18,2019-10-17,28305.0,Briefs
19,2019-10-18,34039.0,Briefs
20,2019-10-19,26146.0,Briefs
21,2019-10-20,23491.0,Briefs
22,2019-10-21,27166.0,Briefs
23,2019-10-22,26342.0,Briefs
24,2019-10-23,35527.0,Briefs
25,2019-10-24,35790.0,Briefs
26,2019-10-25,34571.0,Briefs
27,2019-10-26,25428.0,Briefs
28,2019-10-27,25428.0,Briefs
29,2019-10-28,25428.0,Briefs
30,2019-10-29,31999.0,Briefs
31,2019-10-30,26269.0,Briefs
32,2019-10-31,26269.0,Briefs
33,2019-11-01,26269.0,Briefs
34,2019-11-02,22989.0,Briefs
35,2019-11-03,22989.0,Briefs
36,2019-11-04,22989.0,Briefs
37,2019-11-05,29473.0,Briefs
38,2019-11-06,29473.0,Briefs
39,2019-11-07,36538.0,Briefs
40,2019-11-08,33851.0,Briefs
41,2019-11-09,33851.0,Briefs
42,2019-11-10,33851.0,Briefs
43,2019-11-11,15205.0,Briefs
44,2019-11-12,15205.0,Briefs
45,2019-11-13,15205.0,Briefs
46,2019-11-14,15205.0,Briefs
47,2019-11-15,15205.0,Briefs
48,2019-11-16,16900.0,Briefs
49,2019-11-17,16900.0,Briefs
50,2019-11-18,12051.0,Briefs
51,2019-11-19,11738.0,Briefs
52,2019-11-20,13893.0,Briefs
53,2019-11-21,13893.0,Briefs
54,2019-11-22,13101.0,Briefs
55,2019-11-23,13101.0,Briefs
56,2019-11-24,13776.0,Briefs
57,2019-11-25,15474.0,Briefs
58,2019-11-26,15474.0,Briefs
59,2019-11-27,15474.0,Briefs
60,2019-11-28,15474.0,Briefs
61,2019-11-29,15474.0,Briefs
62,2019-11-30,17864.0,Briefs
63,2019-12-01,17864.0,Briefs
64,2019-12-02,17864.0,Briefs
65,2019-12-03,19023.0,Briefs
66,2019-12-04,14766.0,Briefs
67,2019-12-05,14766.0,Briefs
68,2019-12-06,14766.0,Briefs
69,2019-12-07,14766.0,Briefs
70,2019-12-08,14766.0,Briefs
71,2019-12-09,17331.0,Briefs
72,2019-12-10,17331.0,Briefs
73,2019-12-11,17331.0,Briefs
74,2019-12-12,18818.0,Briefs
75,2019-12-13,18818.0,Briefs
76,2019-12-14,18818.0,Briefs
77,2019-12-15,18818.0,Briefs
78,2019-12-16,18365.0,Briefs
79,2019-12-17,20702.0,Briefs
80,2019-12-18,20702.0,Briefs
81,2019-12-19,20702.0,Briefs
82,2019-12-20,21128.0,Briefs
83,2019-12-21,21128.0,Briefs
84,2019-12-22,21128.0,Briefs
85,2019-12-23,21128.0,Briefs
86,2019-12-24,21128.0,Briefs
87,2019-12-25,17545.0,Briefs
88,2019-12-26,17545.0,Briefs
89,2019-12-27,17545.0,Briefs
90,2019-12-28,17545.0,Briefs
91,2019-12-29,11252.0,Briefs
92,2019-12-30,11252.0,Briefs
93,2019-12-31,5934.0,Briefs
94,2020-01-01,5934.0,Briefs
95,2020-01-02,5849.0,Briefs
96,2020-01-03,6205.0,Briefs
97,2020-01-04,6205.0,Briefs
98,2020-01-05,6205.0,Briefs
99,2020-01-06,6205.0,Briefs
100,2020-01-07,6087.0,Briefs
101,2020-01-08,6087.0,Briefs
102,2020-01-09,7152.0,Briefs
103,2020-01-10,7238.0,Briefs
104,2020-01-11,7238.0,Briefs
105,2020-01-12,7238.0,Briefs
106,2020-01-13,11023.0,Briefs
107,2020-01-14,11023.0,Briefs
108,2020-01-15,11023.0,Briefs
109,2020-01-16,11023.0,Briefs
110,2020-01-17,11023.0,Briefs
111,2020-01-18,11869.0,Briefs
112,2020-01-19,11869.0,Briefs
113,2020-01-20,11869.0,Briefs
114,2020-01-21,11869.0,Briefs
115,2020-01-22,18589.0,Briefs
116,2020-01-23,18478.0,Briefs
117,2020-01-24,18478.0,Briefs
118,2020-01-25,18478.0,Briefs
119,2020-01-26,18478.0,Briefs
120,2020-01-27,18478.0,Briefs
121,2020-01-28,18478.0,Briefs
122,2020-01-29,21700.0,Briefs
123,2020-01-30,21700.0,Briefs
124,2020-01-31,21700.0,Briefs
125,2020-02-01,21700.0,Briefs
126,2020-02-02,21700.0,Briefs
127,2020-02-03,21700.0,Briefs
128,2020-02-04,21700.0,Briefs
129,2020-02-05,5825.0,Briefs
130,2020-02-06,5825.0,Briefs
131,2020-02-07,5825.0,Briefs
132,2020-02-08,5825.0,Briefs
133,2020-02-09,5825.0,Briefs
134,2020-02-10,5825.0,Briefs
135,2020-02-11,4438.0,Briefs
136,2020-02-12,4438.0,Briefs
137,2020-02-13,4438.0,Briefs
138,2020-02-14,4438.0,Briefs
139,2020-02-15,4653.0,Briefs
140,2020-02-16,4653.0,Briefs
141,2020-02-17,4653.0,Briefs
142,2020-02-18,5166.0,Briefs
143,2020-02-19,4871.0,Briefs
144,2020-02-20,4871.0,Briefs
145,2020-02-21,4871.0,Briefs
146,2020-02-22,5635.0,Briefs
147,2020-02-23,5635.0,Briefs
148,2020-02-24,5635.0,Briefs
149,2020-02-25,6193.0,Briefs
150,2020-02-26,6193.0,Briefs
151,2020-02-27,6193.0,Briefs
152,2020-02-28,9138.0,Briefs
153,2020-02-29,9138.0,Briefs
154,2020-03-01,9138.0,Briefs
155,2020-03-02,14507.0,Briefs
156,2020-03-03,23683.0,Briefs
157,2020-03-04,23683.0,Briefs
158,2020-03-05,23683.0,Briefs
159,2020-03-06,23683.0,Briefs
160,2020-03-07,32036.0,Briefs
161,2020-03-08,32036.0,Briefs
162,2020-03-09,-1.0,Briefs
