,date,value,name_B093TLGSZ8
0,2021-05-03,14721.0,Detox & Cleanse
1,2021-05-04,13067.0,Detox & Cleanse
2,2021-05-05,12510.0,Detox & Cleanse
3,2021-05-06,15785.0,Detox & Cleanse
4,2021-05-07,15785.0,Detox & Cleanse
5,2021-05-08,15785.0,Detox & Cleanse
6,2021-05-09,11529.0,Detox & Cleanse
7,2021-05-10,13246.0,Detox & Cleanse
8,2021-05-11,13246.0,Detox & Cleanse
9,2021-05-12,18967.0,Detox & Cleanse
10,2021-05-13,18967.0,Detox & Cleanse
11,2021-05-14,19548.0,Detox & Cleanse
12,2021-05-15,19548.0,Detox & Cleanse
13,2021-05-16,19072.0,Detox & Cleanse
14,2021-05-17,19072.0,Detox & Cleanse
15,2021-05-18,19072.0,Detox & Cleanse
16,2021-05-19,16906.0,Detox & Cleanse
17,2021-05-20,15223.0,Detox & Cleanse
18,2021-05-21,15223.0,Detox & Cleanse
19,2021-05-22,14487.0,Detox & Cleanse
20,2021-05-23,14487.0,Detox & Cleanse
21,2021-05-24,14160.0,Detox & Cleanse
22,2021-05-25,14924.0,Detox & Cleanse
23,2021-05-26,15954.0,Detox & Cleanse
24,2021-05-27,15954.0,Detox & Cleanse
25,2021-05-28,15420.0,Detox & Cleanse
26,2021-05-29,15420.0,Detox & Cleanse
27,2021-05-30,15567.0,Detox & Cleanse
28,2021-05-31,15567.0,Detox & Cleanse
29,2021-06-01,15567.0,Detox & Cleanse
30,2021-06-02,13199.0,Detox & Cleanse
31,2021-06-03,15524.0,Detox & Cleanse
32,2021-06-04,15524.0,Detox & Cleanse
33,2021-06-05,18022.0,Detox & Cleanse
34,2021-06-06,18022.0,Detox & Cleanse
35,2021-06-07,18022.0,Detox & Cleanse
36,2021-06-08,13937.0,Detox & Cleanse
37,2021-06-09,13937.0,Detox & Cleanse
38,2021-06-10,13937.0,Detox & Cleanse
39,2021-06-11,15038.0,Detox & Cleanse
40,2021-06-12,15038.0,Detox & Cleanse
41,2021-06-13,15844.0,Detox & Cleanse
42,2021-06-14,15844.0,Detox & Cleanse
43,2021-06-15,13950.0,Detox & Cleanse
44,2021-06-16,15836.0,Detox & Cleanse
45,2021-06-17,14869.0,Detox & Cleanse
46,2021-06-18,14869.0,Detox & Cleanse
47,2021-06-19,22794.0,Detox & Cleanse
48,2021-06-20,22794.0,Detox & Cleanse
49,2021-06-21,20972.0,Detox & Cleanse
50,2021-06-22,16519.0,Detox & Cleanse
51,2021-06-23,16519.0,Detox & Cleanse
52,2021-06-24,16519.0,Detox & Cleanse
53,2021-06-25,19975.0,Detox & Cleanse
54,2021-06-26,19975.0,Detox & Cleanse
55,2021-06-27,19975.0,Detox & Cleanse
56,2021-06-28,20311.0,Detox & Cleanse
57,2021-06-29,15258.0,Detox & Cleanse
58,2021-06-30,15258.0,Detox & Cleanse
59,2021-07-01,16185.0,Detox & Cleanse
60,2021-07-02,16185.0,Detox & Cleanse
61,2021-07-03,17407.0,Detox & Cleanse
62,2021-07-04,17407.0,Detox & Cleanse
63,2021-07-05,21953.0,Detox & Cleanse
64,2021-07-06,21953.0,Detox & Cleanse
65,2021-07-07,21953.0,Detox & Cleanse
66,2021-07-08,17047.0,Detox & Cleanse
67,2021-07-09,17047.0,Detox & Cleanse
68,2021-07-10,17047.0,Detox & Cleanse
69,2021-07-11,18377.0,Detox & Cleanse
