,date,value,name_B07NL8MBW3
0,2020-05-25,5756.0,Paints
1,2020-05-26,5756.0,Paints
2,2020-05-27,4840.0,Paints
3,2020-05-28,4840.0,Paints
4,2020-05-29,4840.0,Paints
5,2020-05-30,4962.0,Paints
6,2020-05-31,4962.0,Paints
7,2020-06-01,4962.0,Paints
8,2020-06-02,5923.0,Paints
9,2020-06-03,5923.0,Paints
10,2020-06-04,14652.0,Paints
11,2020-06-05,14652.0,Paints
12,2020-06-06,14652.0,Paints
13,2020-06-07,7434.0,Paints
14,2020-06-08,7434.0,Paints
15,2020-06-09,7434.0,Paints
16,2020-06-10,5910.0,Paints
17,2020-06-11,5910.0,Paints
18,2020-06-12,5910.0,Paints
19,2020-06-13,7254.0,Paints
20,2020-06-14,7254.0,Paints
21,2020-06-15,5664.0,Paints
22,2020-06-16,5664.0,Paints
23,2020-06-17,5664.0,Paints
24,2020-06-18,7362.0,Paints
25,2020-06-19,7362.0,Paints
26,2020-06-20,4313.0,Paints
27,2020-06-21,4313.0,Paints
28,2020-06-22,4313.0,Paints
29,2020-06-23,4873.0,Paints
30,2020-06-24,4873.0,Paints
31,2020-06-25,4873.0,Paints
32,2020-06-26,4451.0,Paints
33,2020-06-27,5973.0,Paints
34,2020-06-28,5973.0,Paints
35,2020-06-29,4609.0,Paints
36,2020-06-30,5141.0,Paints
37,2020-07-01,5141.0,Paints
38,2020-07-02,5141.0,Paints
39,2020-07-03,4663.0,Paints
40,2020-07-04,4663.0,Paints
41,2020-07-05,4663.0,Paints
42,2020-07-06,4215.0,Paints
43,2020-07-07,4215.0,Paints
44,2020-07-08,4215.0,Paints
45,2020-07-09,4215.0,Paints
46,2020-07-10,4070.0,Paints
47,2020-07-11,4070.0,Paints
48,2020-07-12,3275.0,Paints
49,2020-07-13,4338.0,Paints
50,2020-07-14,4414.0,Paints
51,2020-07-15,4414.0,Paints
52,2020-07-16,4414.0,Paints
53,2020-07-17,3844.0,Paints
54,2020-07-18,3844.0,Paints
55,2020-07-19,3844.0,Paints
56,2020-07-20,6239.0,Paints
57,2020-07-21,6239.0,Paints
58,2020-07-22,7359.0,Paints
59,2020-07-23,7359.0,Paints
60,2020-07-24,7359.0,Paints
61,2020-07-25,7359.0,Paints
62,2020-07-26,5101.0,Paints
63,2020-07-27,5101.0,Paints
64,2020-07-28,5101.0,Paints
65,2020-07-29,6254.0,Paints
66,2020-07-30,6254.0,Paints
67,2020-07-31,6229.0,Paints
68,2020-08-01,6229.0,Paints
69,2020-08-02,6014.0,Paints
70,2020-08-03,7266.0,Paints
71,2020-08-04,5154.0,Paints
72,2020-08-05,5154.0,Paints
73,2020-08-06,3898.0,Paints
74,2020-08-07,3898.0,Paints
75,2020-08-08,3898.0,Paints
76,2020-08-09,4298.0,Paints
77,2020-08-10,4298.0,Paints
78,2020-08-11,4298.0,Paints
79,2020-08-12,4727.0,Paints
80,2020-08-13,5480.0,Paints
81,2020-08-14,5480.0,Paints
82,2020-08-15,4963.0,Paints
83,2020-08-16,4963.0,Paints
84,2020-08-17,4178.0,Paints
85,2020-08-18,4178.0,Paints
86,2020-08-19,7079.0,Paints
87,2020-08-20,7079.0,Paints
88,2020-08-21,4230.0,Paints
89,2020-08-22,4230.0,Paints
90,2020-08-23,4230.0,Paints
91,2020-08-24,3876.0,Paints
92,2020-08-25,5583.0,Paints
93,2020-08-26,5583.0,Paints
94,2020-08-27,5583.0,Paints
95,2020-08-28,4244.0,Paints
96,2020-08-29,4244.0,Paints
97,2020-08-30,4244.0,Paints
98,2020-08-31,4711.0,Paints
99,2020-09-01,3480.0,Paints
100,2020-09-02,3480.0,Paints
101,2020-09-03,5013.0,Paints
102,2020-09-04,4304.0,Paints
103,2020-09-05,4304.0,Paints
104,2020-09-06,4112.0,Paints
105,2020-09-07,4112.0,Paints
106,2020-09-08,4112.0,Paints
107,2020-09-09,4327.0,Paints
108,2020-09-10,4327.0,Paints
109,2020-09-11,4327.0,Paints
110,2020-09-12,4327.0,Paints
111,2020-09-13,5259.0,Paints
112,2020-09-14,5259.0,Paints
113,2020-09-15,4681.0,Paints
114,2020-09-16,4681.0,Paints
115,2020-09-17,4681.0,Paints
116,2020-09-18,4681.0,Paints
117,2020-09-19,4463.0,Paints
118,2020-09-20,4463.0,Paints
119,2020-09-21,7878.0,Paints
120,2020-09-22,6697.0,Paints
121,2020-09-23,6697.0,Paints
122,2020-09-24,6900.0,Paints
123,2020-09-25,6900.0,Paints
124,2020-09-26,6900.0,Paints
125,2020-09-27,6259.0,Paints
126,2020-09-28,6426.0,Paints
127,2020-09-29,6426.0,Paints
128,2020-09-30,7692.0,Paints
129,2020-10-01,7692.0,Paints
130,2020-10-02,7692.0,Paints
131,2020-10-03,3440.0,Paints
132,2020-10-04,3440.0,Paints
133,2020-10-05,3440.0,Paints
134,2020-10-06,6303.0,Paints
135,2020-10-07,6303.0,Paints
136,2020-10-08,6303.0,Paints
137,2020-10-09,4013.0,Paints
138,2020-10-10,4453.0,Paints
139,2020-10-11,4453.0,Paints
140,2020-10-12,4453.0,Paints
141,2020-10-13,4808.0,Paints
142,2020-10-14,4808.0,Paints
143,2020-10-15,4821.0,Paints
144,2020-10-16,4821.0,Paints
145,2020-10-17,6023.0,Paints
146,2020-10-18,6023.0,Paints
147,2020-10-19,6023.0,Paints
148,2020-10-20,6158.0,Paints
149,2020-10-21,6158.0,Paints
150,2020-10-22,6158.0,Paints
151,2020-10-23,8105.0,Paints
152,2020-10-24,6060.0,Paints
153,2020-10-25,6060.0,Paints
154,2020-10-26,5003.0,Paints
155,2020-10-27,5003.0,Paints
156,2020-10-28,5003.0,Paints
157,2020-10-29,8388.0,Paints
158,2020-10-30,5676.0,Paints
159,2020-10-31,6173.0,Paints
160,2020-11-01,6173.0,Paints
161,2020-11-02,6173.0,Paints
162,2020-11-03,5434.0,Paints
163,2020-11-04,5434.0,Paints
164,2020-11-05,5434.0,Paints
165,2020-11-06,11112.0,Paints
166,2020-11-07,11112.0,Paints
167,2020-11-08,11112.0,Paints
168,2020-11-09,6068.0,Paints
169,2020-11-10,6068.0,Paints
170,2020-11-11,6068.0,Paints
171,2020-11-12,5716.0,Paints
172,2020-11-13,5716.0,Paints
173,2020-11-14,4819.0,Paints
174,2020-11-15,4819.0,Paints
175,2020-11-16,4819.0,Paints
176,2020-11-17,5308.0,Paints
177,2020-11-18,5308.0,Paints
178,2020-11-19,5308.0,Paints
179,2020-11-20,8343.0,Paints
180,2020-11-21,8343.0,Paints
181,2020-11-22,8343.0,Paints
182,2020-11-23,6149.0,Paints
183,2020-11-24,6149.0,Paints
184,2020-11-25,6149.0,Paints
185,2020-11-26,6079.0,Paints
186,2020-11-27,6079.0,Paints
187,2020-11-28,6079.0,Paints
188,2020-11-29,8957.0,Paints
189,2020-11-30,8957.0,Paints
190,2020-12-01,8957.0,Paints
191,2020-12-02,9357.0,Paints
192,2020-12-03,9357.0,Paints
193,2020-12-04,9357.0,Paints
194,2020-12-05,8015.0,Paints
195,2020-12-06,8015.0,Paints
196,2020-12-07,8015.0,Paints
197,2020-12-08,17634.0,Paints
198,2020-12-09,17634.0,Paints
199,2020-12-10,17634.0,Paints
200,2020-12-11,18876.0,Paints
201,2020-12-12,18876.0,Paints
202,2020-12-13,18876.0,Paints
203,2020-12-14,27542.0,Paints
204,2020-12-15,27542.0,Paints
205,2020-12-16,21923.0,Paints
206,2020-12-17,24603.0,Paints
207,2020-12-18,24603.0,Paints
208,2020-12-19,24603.0,Paints
209,2020-12-20,11341.0,Paints
210,2020-12-21,11341.0,Paints
211,2020-12-22,10649.0,Paints
212,2020-12-23,10649.0,Paints
213,2020-12-24,7502.0,Paints
214,2020-12-25,7502.0,Paints
215,2020-12-26,3044.0,Paints
216,2020-12-27,3044.0,Paints
217,2020-12-28,3044.0,Paints
218,2020-12-29,3980.0,Paints
219,2020-12-30,3980.0,Paints
220,2020-12-31,5413.0,Paints
221,2021-01-01,5413.0,Paints
222,2021-01-02,4421.0,Paints
223,2021-01-03,4421.0,Paints
224,2021-01-04,3868.0,Paints
225,2021-01-05,3868.0,Paints
226,2021-01-06,3868.0,Paints
227,2021-01-07,3868.0,Paints
228,2021-01-08,5831.0,Paints
229,2021-01-09,5831.0,Paints
230,2021-01-10,5831.0,Paints
231,2021-01-11,3981.0,Paints
232,2021-01-12,3981.0,Paints
233,2021-01-13,3981.0,Paints
234,2021-01-14,5701.0,Paints
235,2021-01-15,5701.0,Paints
236,2021-01-16,5747.0,Paints
237,2021-01-17,5747.0,Paints
238,2021-01-18,7770.0,Paints
239,2021-01-19,7770.0,Paints
240,2021-01-20,5597.0,Paints
241,2021-01-21,5597.0,Paints
242,2021-01-22,5597.0,Paints
243,2021-01-23,4826.0,Paints
244,2021-01-24,4826.0,Paints
245,2021-01-25,4826.0,Paints
246,2021-01-26,7829.0,Paints
247,2021-01-27,7829.0,Paints
248,2021-01-28,6786.0,Paints
249,2021-01-29,6786.0,Paints
250,2021-01-30,7379.0,Paints
251,2021-01-31,7379.0,Paints
