,date,value,name_B08XQZXV63
0,2021-03-12,15782.0,Fabric Cleaners
1,2021-03-13,15782.0,Fabric Cleaners
2,2021-03-14,15782.0,Fabric Cleaners
3,2021-03-15,15782.0,Fabric Cleaners
4,2021-03-16,14323.0,Fabric Cleaners
5,2021-03-17,14323.0,Fabric Cleaners
6,2021-03-18,14323.0,Fabric Cleaners
7,2021-03-19,14485.0,Fabric Cleaners
8,2021-03-20,14485.0,Fabric Cleaners
9,2021-03-21,14485.0,Fabric Cleaners
10,2021-03-22,9766.0,Fabric Cleaners
11,2021-03-23,9766.0,Fabric Cleaners
12,2021-03-24,10232.0,Fabric Cleaners
13,2021-03-25,10232.0,Fabric Cleaners
14,2021-03-26,10232.0,Fabric Cleaners
15,2021-03-27,10232.0,Fabric Cleaners
16,2021-03-28,10232.0,Fabric Cleaners
17,2021-03-29,10232.0,Fabric Cleaners
18,2021-03-30,10666.0,Fabric Cleaners
19,2021-03-31,10666.0,Fabric Cleaners
20,2021-04-01,10666.0,Fabric Cleaners
21,2021-04-02,10666.0,Fabric Cleaners
22,2021-04-03,12331.0,Fabric Cleaners
23,2021-04-04,12331.0,Fabric Cleaners
24,2021-04-05,12331.0,Fabric Cleaners
25,2021-04-06,13428.0,Fabric Cleaners
26,2021-04-07,13428.0,Fabric Cleaners
27,2021-04-08,13428.0,Fabric Cleaners
28,2021-04-09,9415.0,Fabric Cleaners
29,2021-04-10,9536.0,Fabric Cleaners
30,2021-04-11,9536.0,Fabric Cleaners
31,2021-04-12,9536.0,Fabric Cleaners
32,2021-04-13,19851.0,Fabric Cleaners
33,2021-04-14,19851.0,Fabric Cleaners
34,2021-04-15,19851.0,Fabric Cleaners
35,2021-04-16,20941.0,Fabric Cleaners
36,2021-04-17,20941.0,Fabric Cleaners
37,2021-04-18,14314.0,Fabric Cleaners
38,2021-04-19,14314.0,Fabric Cleaners
39,2021-04-20,11159.0,Fabric Cleaners
40,2021-04-21,10549.0,Fabric Cleaners
41,2021-04-22,10549.0,Fabric Cleaners
42,2021-04-23,13973.0,Fabric Cleaners
43,2021-04-24,13973.0,Fabric Cleaners
44,2021-04-25,13973.0,Fabric Cleaners
45,2021-04-26,9510.0,Fabric Cleaners
46,2021-04-27,9510.0,Fabric Cleaners
47,2021-04-28,9510.0,Fabric Cleaners
48,2021-04-29,10902.0,Fabric Cleaners
49,2021-04-30,10902.0,Fabric Cleaners
50,2021-05-01,8701.0,Fabric Cleaners
51,2021-05-02,8701.0,Fabric Cleaners
52,2021-05-03,8154.0,Fabric Cleaners
53,2021-05-04,8154.0,Fabric Cleaners
54,2021-05-05,8154.0,Fabric Cleaners
55,2021-05-06,8877.0,Fabric Cleaners
56,2021-05-07,11666.0,Fabric Cleaners
57,2021-05-08,9301.0,Fabric Cleaners
58,2021-05-09,9301.0,Fabric Cleaners
59,2021-05-10,9301.0,Fabric Cleaners
60,2021-05-11,7637.0,Fabric Cleaners
61,2021-05-12,9370.0,Fabric Cleaners
62,2021-05-13,7469.0,Fabric Cleaners
63,2021-05-14,7970.0,Fabric Cleaners
64,2021-05-15,7970.0,Fabric Cleaners
65,2021-05-16,7970.0,Fabric Cleaners
66,2021-05-17,4629.0,Fabric Cleaners
67,2021-05-18,5581.0,Fabric Cleaners
68,2021-05-19,5581.0,Fabric Cleaners
69,2021-05-20,6331.0,Fabric Cleaners
70,2021-05-21,5508.0,Fabric Cleaners
71,2021-05-22,5508.0,Fabric Cleaners
72,2021-05-23,5508.0,Fabric Cleaners
73,2021-05-24,4457.0,Fabric Cleaners
74,2021-05-25,5566.0,Fabric Cleaners
75,2021-05-26,5566.0,Fabric Cleaners
76,2021-05-27,5566.0,Fabric Cleaners
77,2021-05-28,5566.0,Fabric Cleaners
78,2021-05-29,5566.0,Fabric Cleaners
79,2021-05-30,5915.0,Fabric Cleaners
80,2021-05-31,5915.0,Fabric Cleaners
81,2021-06-01,5915.0,Fabric Cleaners
82,2021-06-02,6030.0,Fabric Cleaners
83,2021-06-03,6030.0,Fabric Cleaners
84,2021-06-04,6030.0,Fabric Cleaners
85,2021-06-05,6194.0,Fabric Cleaners
86,2021-06-06,6194.0,Fabric Cleaners
87,2021-06-07,6194.0,Fabric Cleaners
88,2021-06-08,6471.0,Fabric Cleaners
89,2021-06-09,6471.0,Fabric Cleaners
90,2021-06-10,6471.0,Fabric Cleaners
91,2021-06-11,7064.0,Fabric Cleaners
92,2021-06-12,7064.0,Fabric Cleaners
93,2021-06-13,7064.0,Fabric Cleaners
94,2021-06-14,7341.0,Fabric Cleaners
95,2021-06-15,7341.0,Fabric Cleaners
96,2021-06-16,7391.0,Fabric Cleaners
97,2021-06-17,7391.0,Fabric Cleaners
98,2021-06-18,7391.0,Fabric Cleaners
99,2021-06-19,6709.0,Fabric Cleaners
100,2021-06-20,6709.0,Fabric Cleaners
101,2021-06-21,5737.0,Fabric Cleaners
102,2021-06-22,8667.0,Fabric Cleaners
103,2021-06-23,8667.0,Fabric Cleaners
104,2021-06-24,8667.0,Fabric Cleaners
105,2021-06-25,8191.0,Fabric Cleaners
106,2021-06-26,8420.0,Fabric Cleaners
107,2021-06-27,8420.0,Fabric Cleaners
108,2021-06-28,8420.0,Fabric Cleaners
109,2021-06-29,8125.0,Fabric Cleaners
110,2021-06-30,9432.0,Fabric Cleaners
111,2021-07-01,9432.0,Fabric Cleaners
112,2021-07-02,9432.0,Fabric Cleaners
113,2021-07-03,9432.0,Fabric Cleaners
114,2021-07-04,9432.0,Fabric Cleaners
115,2021-07-05,9432.0,Fabric Cleaners
116,2021-07-06,9432.0,Fabric Cleaners
117,2021-07-07,17060.0,Fabric Cleaners
118,2021-07-08,17757.0,Fabric Cleaners
119,2021-07-09,17757.0,Fabric Cleaners
120,2021-07-10,24218.0,Fabric Cleaners
