,date,value,name_B0786S3GX3
0,2020-05-26,1656.0,Wooden Lead Pencils
1,2020-05-27,1884.0,Wooden Lead Pencils
2,2020-05-28,1954.0,Wooden Lead Pencils
3,2020-05-29,1954.0,Wooden Lead Pencils
4,2020-05-30,1954.0,Wooden Lead Pencils
5,2020-05-31,1954.0,Wooden Lead Pencils
6,2020-06-01,1954.0,Wooden Lead Pencils
7,2020-06-02,1779.0,Wooden Lead Pencils
8,2020-06-03,1779.0,Wooden Lead Pencils
9,2020-06-04,2025.0,Wooden Lead Pencils
10,2020-06-05,2025.0,Wooden Lead Pencils
11,2020-06-06,2025.0,Wooden Lead Pencils
12,2020-06-07,1905.0,Wooden Lead Pencils
13,2020-06-08,1905.0,Wooden Lead Pencils
14,2020-06-09,1905.0,Wooden Lead Pencils
15,2020-06-10,1974.0,Wooden Lead Pencils
16,2020-06-11,1974.0,Wooden Lead Pencils
17,2020-06-12,2493.0,Wooden Lead Pencils
18,2020-06-13,1578.0,Wooden Lead Pencils
19,2020-06-14,1578.0,Wooden Lead Pencils
20,2020-06-15,2180.0,Wooden Lead Pencils
21,2020-06-16,1934.0,Wooden Lead Pencils
22,2020-06-17,1495.0,Wooden Lead Pencils
23,2020-06-18,1250.0,Wooden Lead Pencils
24,2020-06-19,1183.0,Wooden Lead Pencils
25,2020-06-20,1183.0,Wooden Lead Pencils
26,2020-06-21,1183.0,Wooden Lead Pencils
27,2020-06-22,1586.0,Wooden Lead Pencils
28,2020-06-23,1406.0,Wooden Lead Pencils
29,2020-06-24,1008.0,Wooden Lead Pencils
30,2020-06-25,1008.0,Wooden Lead Pencils
31,2020-06-26,804.0,Wooden Lead Pencils
32,2020-06-27,804.0,Wooden Lead Pencils
33,2020-06-28,804.0,Wooden Lead Pencils
34,2020-06-29,762.0,Wooden Lead Pencils
35,2020-06-30,762.0,Wooden Lead Pencils
36,2020-07-01,840.0,Wooden Lead Pencils
37,2020-07-02,840.0,Wooden Lead Pencils
38,2020-07-03,1139.0,Wooden Lead Pencils
39,2020-07-04,1139.0,Wooden Lead Pencils
40,2020-07-05,1139.0,Wooden Lead Pencils
