,date,value,name_B08ZYRP5QM
0,2021-03-27,3096.0,Essential Oil Singles
1,2021-03-28,2999.0,Essential Oil Singles
2,2021-03-29,2999.0,Essential Oil Singles
3,2021-03-30,2991.0,Essential Oil Singles
4,2021-03-31,2991.0,Essential Oil Singles
5,2021-04-01,2991.0,Essential Oil Singles
6,2021-04-02,3032.0,Essential Oil Singles
7,2021-04-03,3032.0,Essential Oil Singles
8,2021-04-04,3032.0,Essential Oil Singles
9,2021-04-05,4028.0,Essential Oil Singles
10,2021-04-06,4028.0,Essential Oil Singles
11,2021-04-07,3872.0,Essential Oil Singles
12,2021-04-08,3872.0,Essential Oil Singles
13,2021-04-09,3872.0,Essential Oil Singles
14,2021-04-10,3763.0,Essential Oil Singles
15,2021-04-11,3763.0,Essential Oil Singles
16,2021-04-12,3882.0,Essential Oil Singles
17,2021-04-13,3882.0,Essential Oil Singles
18,2021-04-14,4025.0,Essential Oil Singles
19,2021-04-15,4025.0,Essential Oil Singles
20,2021-04-16,3643.0,Essential Oil Singles
21,2021-04-17,3421.0,Essential Oil Singles
22,2021-04-18,3421.0,Essential Oil Singles
23,2021-04-19,3421.0,Essential Oil Singles
24,2021-04-20,4143.0,Essential Oil Singles
25,2021-04-21,2961.0,Essential Oil Singles
26,2021-04-22,2961.0,Essential Oil Singles
27,2021-04-23,2961.0,Essential Oil Singles
28,2021-04-24,1974.0,Essential Oil Singles
29,2021-04-25,2549.0,Essential Oil Singles
30,2021-04-26,2590.0,Essential Oil Singles
31,2021-04-27,2590.0,Essential Oil Singles
32,2021-04-28,2100.0,Essential Oil Singles
33,2021-04-29,1928.0,Essential Oil Singles
34,2021-04-30,1928.0,Essential Oil Singles
35,2021-05-01,1928.0,Essential Oil Singles
36,2021-05-02,2063.0,Essential Oil Singles
37,2021-05-03,2063.0,Essential Oil Singles
38,2021-05-04,2135.0,Essential Oil Singles
39,2021-05-05,2135.0,Essential Oil Singles
40,2021-05-06,2213.0,Essential Oil Singles
41,2021-05-07,2642.0,Essential Oil Singles
42,2021-05-08,1922.0,Essential Oil Singles
43,2021-05-09,1922.0,Essential Oil Singles
44,2021-05-10,2481.0,Essential Oil Singles
45,2021-05-11,2481.0,Essential Oil Singles
46,2021-05-12,2925.0,Essential Oil Singles
47,2021-05-13,2925.0,Essential Oil Singles
48,2021-05-14,2392.0,Essential Oil Singles
49,2021-05-15,2424.0,Essential Oil Singles
50,2021-05-16,2424.0,Essential Oil Singles
51,2021-05-17,2347.0,Essential Oil Singles
52,2021-05-18,2713.0,Essential Oil Singles
53,2021-05-19,2154.0,Essential Oil Singles
54,2021-05-20,2779.0,Essential Oil Singles
55,2021-05-21,2070.0,Essential Oil Singles
56,2021-05-22,2070.0,Essential Oil Singles
57,2021-05-23,2554.0,Essential Oil Singles
58,2021-05-24,2554.0,Essential Oil Singles
59,2021-05-25,2820.0,Essential Oil Singles
60,2021-05-26,2820.0,Essential Oil Singles
61,2021-05-27,2086.0,Essential Oil Singles
62,2021-05-28,2086.0,Essential Oil Singles
63,2021-05-29,1907.0,Essential Oil Singles
64,2021-05-30,2516.0,Essential Oil Singles
65,2021-05-31,2550.0,Essential Oil Singles
66,2021-06-01,2550.0,Essential Oil Singles
67,2021-06-02,2329.0,Essential Oil Singles
68,2021-06-03,2329.0,Essential Oil Singles
69,2021-06-04,2417.0,Essential Oil Singles
70,2021-06-05,2417.0,Essential Oil Singles
71,2021-06-06,2823.0,Essential Oil Singles
72,2021-06-07,3306.0,Essential Oil Singles
73,2021-06-08,2953.0,Essential Oil Singles
74,2021-06-09,2615.0,Essential Oil Singles
75,2021-06-10,2615.0,Essential Oil Singles
76,2021-06-11,2557.0,Essential Oil Singles
77,2021-06-12,2557.0,Essential Oil Singles
78,2021-06-13,2974.0,Essential Oil Singles
79,2021-06-14,2974.0,Essential Oil Singles
80,2021-06-15,2374.0,Essential Oil Singles
81,2021-06-16,4045.0,Essential Oil Singles
82,2021-06-17,5315.0,Essential Oil Singles
83,2021-06-18,5315.0,Essential Oil Singles
84,2021-06-19,8471.0,Essential Oil Singles
85,2021-06-20,8471.0,Essential Oil Singles
86,2021-06-21,8669.0,Essential Oil Singles
87,2021-06-22,9681.0,Essential Oil Singles
88,2021-06-23,9681.0,Essential Oil Singles
89,2021-06-24,10756.0,Essential Oil Singles
90,2021-06-25,12867.0,Essential Oil Singles
91,2021-06-26,12867.0,Essential Oil Singles
92,2021-06-27,9651.0,Essential Oil Singles
93,2021-06-28,10262.0,Essential Oil Singles
94,2021-06-29,7124.0,Essential Oil Singles
95,2021-06-30,7124.0,Essential Oil Singles
96,2021-07-01,8292.0,Essential Oil Singles
97,2021-07-02,7546.0,Essential Oil Singles
98,2021-07-03,7546.0,Essential Oil Singles
99,2021-07-04,8743.0,Essential Oil Singles
100,2021-07-05,8743.0,Essential Oil Singles
101,2021-07-06,10593.0,Essential Oil Singles
102,2021-07-07,10593.0,Essential Oil Singles
103,2021-07-08,9291.0,Essential Oil Singles
104,2021-07-09,9120.0,Essential Oil Singles
105,2021-07-10,8256.0,Essential Oil Singles
