,date,value,name_B08XZ4N8LG
0,2021-03-09,19488.0,Plantar Fasciitis Braces
1,2021-03-10,19488.0,Plantar Fasciitis Braces
2,2021-03-11,19488.0,Plantar Fasciitis Braces
3,2021-03-12,19488.0,Plantar Fasciitis Braces
4,2021-03-13,19488.0,Plantar Fasciitis Braces
5,2021-03-14,23465.0,Plantar Fasciitis Braces
6,2021-03-15,23465.0,Plantar Fasciitis Braces
7,2021-03-16,23465.0,Plantar Fasciitis Braces
8,2021-03-17,23465.0,Plantar Fasciitis Braces
9,2021-03-18,23465.0,Plantar Fasciitis Braces
10,2021-03-19,23465.0,Plantar Fasciitis Braces
11,2021-03-20,20226.0,Plantar Fasciitis Braces
12,2021-03-21,21503.0,Plantar Fasciitis Braces
13,2021-03-22,15078.0,Plantar Fasciitis Braces
14,2021-03-23,12726.0,Plantar Fasciitis Braces
15,2021-03-24,12095.0,Plantar Fasciitis Braces
16,2021-03-25,12095.0,Plantar Fasciitis Braces
17,2021-03-26,12095.0,Plantar Fasciitis Braces
18,2021-03-27,11561.0,Plantar Fasciitis Braces
19,2021-03-28,11561.0,Plantar Fasciitis Braces
20,2021-03-29,12667.0,Plantar Fasciitis Braces
21,2021-03-30,12089.0,Plantar Fasciitis Braces
22,2021-03-31,12089.0,Plantar Fasciitis Braces
23,2021-04-01,12089.0,Plantar Fasciitis Braces
24,2021-04-02,12089.0,Plantar Fasciitis Braces
25,2021-04-03,12089.0,Plantar Fasciitis Braces
26,2021-04-04,12089.0,Plantar Fasciitis Braces
27,2021-04-05,10247.0,Plantar Fasciitis Braces
28,2021-04-06,10247.0,Plantar Fasciitis Braces
29,2021-04-07,10247.0,Plantar Fasciitis Braces
30,2021-04-08,10080.0,Plantar Fasciitis Braces
31,2021-04-09,10080.0,Plantar Fasciitis Braces
32,2021-04-10,10080.0,Plantar Fasciitis Braces
33,2021-04-11,10080.0,Plantar Fasciitis Braces
34,2021-04-12,10080.0,Plantar Fasciitis Braces
35,2021-04-13,6617.0,Plantar Fasciitis Braces
36,2021-04-14,6617.0,Plantar Fasciitis Braces
37,2021-04-15,6667.0,Plantar Fasciitis Braces
38,2021-04-16,6667.0,Plantar Fasciitis Braces
39,2021-04-17,8619.0,Plantar Fasciitis Braces
40,2021-04-18,8619.0,Plantar Fasciitis Braces
41,2021-04-19,8610.0,Plantar Fasciitis Braces
42,2021-04-20,8071.0,Plantar Fasciitis Braces
43,2021-04-21,9444.0,Plantar Fasciitis Braces
44,2021-04-22,8957.0,Plantar Fasciitis Braces
45,2021-04-23,9848.0,Plantar Fasciitis Braces
46,2021-04-24,8450.0,Plantar Fasciitis Braces
47,2021-04-25,8450.0,Plantar Fasciitis Braces
48,2021-04-26,6862.0,Plantar Fasciitis Braces
49,2021-04-27,6862.0,Plantar Fasciitis Braces
50,2021-04-28,6862.0,Plantar Fasciitis Braces
51,2021-04-29,7060.0,Plantar Fasciitis Braces
52,2021-04-30,7060.0,Plantar Fasciitis Braces
53,2021-05-01,9092.0,Plantar Fasciitis Braces
54,2021-05-02,9092.0,Plantar Fasciitis Braces
55,2021-05-03,9092.0,Plantar Fasciitis Braces
56,2021-05-04,9092.0,Plantar Fasciitis Braces
57,2021-05-05,9092.0,Plantar Fasciitis Braces
58,2021-05-06,8410.0,Plantar Fasciitis Braces
59,2021-05-07,8410.0,Plantar Fasciitis Braces
60,2021-05-08,7651.0,Plantar Fasciitis Braces
61,2021-05-09,7651.0,Plantar Fasciitis Braces
62,2021-05-10,7651.0,Plantar Fasciitis Braces
