,date,value,name_B078HB66FD
0,2020-05-25,14028.0,Ibuprofen
1,2020-05-26,14028.0,Ibuprofen
2,2020-05-27,14028.0,Ibuprofen
3,2020-05-28,14940.0,Ibuprofen
4,2020-05-29,14940.0,Ibuprofen
5,2020-05-30,14940.0,Ibuprofen
6,2020-05-31,16565.0,Ibuprofen
7,2020-06-01,16565.0,Ibuprofen
8,2020-06-02,15043.0,Ibuprofen
9,2020-06-03,15043.0,Ibuprofen
10,2020-06-04,15043.0,Ibuprofen
11,2020-06-05,18437.0,Ibuprofen
12,2020-06-06,18437.0,Ibuprofen
13,2020-06-07,18437.0,Ibuprofen
14,2020-06-08,18437.0,Ibuprofen
15,2020-06-09,17344.0,Ibuprofen
16,2020-06-10,17344.0,Ibuprofen
17,2020-06-11,17344.0,Ibuprofen
18,2020-06-12,15623.0,Ibuprofen
19,2020-06-13,15623.0,Ibuprofen
20,2020-06-14,15623.0,Ibuprofen
21,2020-06-15,18144.0,Ibuprofen
22,2020-06-16,18144.0,Ibuprofen
23,2020-06-17,18144.0,Ibuprofen
24,2020-06-18,18144.0,Ibuprofen
25,2020-06-19,18144.0,Ibuprofen
26,2020-06-20,18144.0,Ibuprofen
27,2020-06-21,18144.0,Ibuprofen
28,2020-06-22,18144.0,Ibuprofen
29,2020-06-23,-1.0,Ibuprofen
30,2020-06-24,-1.0,Ibuprofen
31,2020-06-25,-1.0,Ibuprofen
32,2020-06-26,-1.0,Ibuprofen
33,2020-06-27,-1.0,Ibuprofen
34,2020-06-28,-1.0,Ibuprofen
35,2020-06-29,-1.0,Ibuprofen
36,2020-06-30,-1.0,Ibuprofen
37,2020-07-01,-1.0,Ibuprofen
38,2020-07-02,-1.0,Ibuprofen
39,2020-07-03,-1.0,Ibuprofen
40,2020-07-04,-1.0,Ibuprofen
41,2020-07-05,-1.0,Ibuprofen
42,2020-07-06,-1.0,Ibuprofen
43,2020-07-07,13107.0,Ibuprofen
44,2020-07-08,15307.0,Ibuprofen
45,2020-07-09,15307.0,Ibuprofen
46,2020-07-10,15307.0,Ibuprofen
47,2020-07-11,21398.0,Ibuprofen
48,2020-07-12,21398.0,Ibuprofen
49,2020-07-13,16351.0,Ibuprofen
50,2020-07-14,16351.0,Ibuprofen
