,date,value,name_B08X3ZJPXL
0,2021-02-27,1255.0,Tool Sets
1,2021-02-28,1566.0,Tool Sets
2,2021-03-01,2079.0,Tool Sets
3,2021-03-02,2079.0,Tool Sets
4,2021-03-03,2079.0,Tool Sets
5,2021-03-04,2079.0,Tool Sets
6,2021-03-05,2079.0,Tool Sets
7,2021-03-06,1416.0,Tool Sets
8,2021-03-07,1416.0,Tool Sets
9,2021-03-08,1346.0,Tool Sets
10,2021-03-09,1346.0,Tool Sets
11,2021-03-10,1241.0,Tool Sets
12,2021-03-11,1086.0,Tool Sets
13,2021-03-12,968.0,Tool Sets
14,2021-03-13,1216.0,Tool Sets
15,2021-03-14,1400.0,Tool Sets
16,2021-03-15,1801.0,Tool Sets
17,2021-03-16,1801.0,Tool Sets
18,2021-03-17,1082.0,Tool Sets
19,2021-03-18,1071.0,Tool Sets
20,2021-03-19,1071.0,Tool Sets
21,2021-03-20,1071.0,Tool Sets
22,2021-03-21,2160.0,Tool Sets
23,2021-03-22,1939.0,Tool Sets
24,2021-03-23,1992.0,Tool Sets
25,2021-03-24,1992.0,Tool Sets
26,2021-03-25,1841.0,Tool Sets
27,2021-03-26,1841.0,Tool Sets
28,2021-03-27,1841.0,Tool Sets
29,2021-03-28,1705.0,Tool Sets
30,2021-03-29,1705.0,Tool Sets
31,2021-03-30,2062.0,Tool Sets
32,2021-03-31,2062.0,Tool Sets
33,2021-04-01,2062.0,Tool Sets
34,2021-04-02,1865.0,Tool Sets
35,2021-04-03,1865.0,Tool Sets
36,2021-04-04,1865.0,Tool Sets
37,2021-04-05,3361.0,Tool Sets
38,2021-04-06,3361.0,Tool Sets
39,2021-04-07,2371.0,Tool Sets
40,2021-04-08,2399.0,Tool Sets
41,2021-04-09,1960.0,Tool Sets
42,2021-04-10,2452.0,Tool Sets
43,2021-04-11,2452.0,Tool Sets
44,2021-04-12,2612.0,Tool Sets
45,2021-04-13,2839.0,Tool Sets
46,2021-04-14,2818.0,Tool Sets
47,2021-04-15,2818.0,Tool Sets
48,2021-04-16,2818.0,Tool Sets
49,2021-04-17,3378.0,Tool Sets
50,2021-04-18,3378.0,Tool Sets
51,2021-04-19,2890.0,Tool Sets
52,2021-04-20,2997.0,Tool Sets
53,2021-04-21,2714.0,Tool Sets
54,2021-04-22,2714.0,Tool Sets
55,2021-04-23,3002.0,Tool Sets
56,2021-04-24,3002.0,Tool Sets
57,2021-04-25,4058.0,Tool Sets
58,2021-04-26,4058.0,Tool Sets
59,2021-04-27,4058.0,Tool Sets
60,2021-04-28,2085.0,Tool Sets
61,2021-04-29,2085.0,Tool Sets
62,2021-04-30,2504.0,Tool Sets
63,2021-05-01,2504.0,Tool Sets
64,2021-05-02,2504.0,Tool Sets
65,2021-05-03,2275.0,Tool Sets
66,2021-05-04,2275.0,Tool Sets
67,2021-05-05,805.0,Tool Sets
68,2021-05-06,805.0,Tool Sets
69,2021-05-07,773.0,Tool Sets
70,2021-05-08,773.0,Tool Sets
71,2021-05-09,2006.0,Tool Sets
72,2021-05-10,2006.0,Tool Sets
73,2021-05-11,2921.0,Tool Sets
74,2021-05-12,2921.0,Tool Sets
75,2021-05-13,5592.0,Tool Sets
76,2021-05-14,6908.0,Tool Sets
77,2021-05-15,7403.0,Tool Sets
78,2021-05-16,7764.0,Tool Sets
79,2021-05-17,9278.0,Tool Sets
80,2021-05-18,9278.0,Tool Sets
81,2021-05-19,5685.0,Tool Sets
82,2021-05-20,6189.0,Tool Sets
83,2021-05-21,7465.0,Tool Sets
84,2021-05-22,6977.0,Tool Sets
85,2021-05-23,5583.0,Tool Sets
86,2021-05-24,5583.0,Tool Sets
87,2021-05-25,5583.0,Tool Sets
88,2021-05-26,8148.0,Tool Sets
89,2021-05-27,8148.0,Tool Sets
90,2021-05-28,6362.0,Tool Sets
91,2021-05-29,6362.0,Tool Sets
92,2021-05-30,8796.0,Tool Sets
93,2021-05-31,8796.0,Tool Sets
94,2021-06-01,9739.0,Tool Sets
95,2021-06-02,9739.0,Tool Sets
96,2021-06-03,7231.0,Tool Sets
97,2021-06-04,7231.0,Tool Sets
98,2021-06-05,8252.0,Tool Sets
99,2021-06-06,9187.0,Tool Sets
100,2021-06-07,9187.0,Tool Sets
101,2021-06-08,9187.0,Tool Sets
102,2021-06-09,9410.0,Tool Sets
103,2021-06-10,9410.0,Tool Sets
104,2021-06-11,9248.0,Tool Sets
105,2021-06-12,7080.0,Tool Sets
106,2021-06-13,7080.0,Tool Sets
107,2021-06-14,7080.0,Tool Sets
108,2021-06-15,11946.0,Tool Sets
109,2021-06-16,11946.0,Tool Sets
110,2021-06-17,9583.0,Tool Sets
111,2021-06-18,9583.0,Tool Sets
112,2021-06-19,9583.0,Tool Sets
113,2021-06-20,9882.0,Tool Sets
114,2021-06-21,10124.0,Tool Sets
115,2021-06-22,3926.0,Tool Sets
116,2021-06-23,3926.0,Tool Sets
117,2021-06-24,3926.0,Tool Sets
118,2021-06-25,3926.0,Tool Sets
119,2021-06-26,6389.0,Tool Sets
120,2021-06-27,6389.0,Tool Sets
121,2021-06-28,6389.0,Tool Sets
122,2021-06-29,12708.0,Tool Sets
123,2021-06-30,12708.0,Tool Sets
124,2021-07-01,8098.0,Tool Sets
125,2021-07-02,8098.0,Tool Sets
126,2021-07-03,8098.0,Tool Sets
127,2021-07-04,8387.0,Tool Sets
128,2021-07-05,8387.0,Tool Sets
129,2021-07-06,8160.0,Tool Sets
130,2021-07-07,8160.0,Tool Sets
131,2021-07-08,8160.0,Tool Sets
132,2021-07-09,8411.0,Tool Sets
133,2021-07-10,9538.0,Tool Sets
