,date,value,name_B07SGXRV36
0,2020-05-28,9174.0,Craft & Sewing Supplies Storage
1,2020-05-29,8006.0,Craft & Sewing Supplies Storage
2,2020-05-30,8006.0,Craft & Sewing Supplies Storage
3,2020-05-31,8006.0,Craft & Sewing Supplies Storage
4,2020-06-01,8006.0,Craft & Sewing Supplies Storage
5,2020-06-02,8006.0,Craft & Sewing Supplies Storage
6,2020-06-03,6440.0,Craft & Sewing Supplies Storage
7,2020-06-04,7700.0,Craft & Sewing Supplies Storage
8,2020-06-05,7700.0,Craft & Sewing Supplies Storage
9,2020-06-06,7700.0,Craft & Sewing Supplies Storage
10,2020-06-07,7700.0,Craft & Sewing Supplies Storage
11,2020-06-08,11599.0,Craft & Sewing Supplies Storage
12,2020-06-09,11599.0,Craft & Sewing Supplies Storage
13,2020-06-10,11599.0,Craft & Sewing Supplies Storage
14,2020-06-11,11599.0,Craft & Sewing Supplies Storage
15,2020-06-12,6503.0,Craft & Sewing Supplies Storage
16,2020-06-13,6503.0,Craft & Sewing Supplies Storage
17,2020-06-14,6503.0,Craft & Sewing Supplies Storage
18,2020-06-15,6503.0,Craft & Sewing Supplies Storage
19,2020-06-16,6503.0,Craft & Sewing Supplies Storage
20,2020-06-17,10235.0,Craft & Sewing Supplies Storage
21,2020-06-18,7110.0,Craft & Sewing Supplies Storage
22,2020-06-19,7110.0,Craft & Sewing Supplies Storage
23,2020-06-20,7110.0,Craft & Sewing Supplies Storage
24,2020-06-21,7110.0,Craft & Sewing Supplies Storage
25,2020-06-22,9656.0,Craft & Sewing Supplies Storage
26,2020-06-23,7231.0,Craft & Sewing Supplies Storage
27,2020-06-24,7231.0,Craft & Sewing Supplies Storage
28,2020-06-25,7231.0,Craft & Sewing Supplies Storage
29,2020-06-26,8135.0,Craft & Sewing Supplies Storage
30,2020-06-27,8135.0,Craft & Sewing Supplies Storage
31,2020-06-28,8135.0,Craft & Sewing Supplies Storage
32,2020-06-29,8920.0,Craft & Sewing Supplies Storage
33,2020-06-30,7937.0,Craft & Sewing Supplies Storage
34,2020-07-01,8543.0,Craft & Sewing Supplies Storage
35,2020-07-02,8543.0,Craft & Sewing Supplies Storage
36,2020-07-03,6852.0,Craft & Sewing Supplies Storage
37,2020-07-04,6852.0,Craft & Sewing Supplies Storage
38,2020-07-05,6852.0,Craft & Sewing Supplies Storage
39,2020-07-06,6852.0,Craft & Sewing Supplies Storage
40,2020-07-07,13005.0,Craft & Sewing Supplies Storage
41,2020-07-08,9669.0,Craft & Sewing Supplies Storage
