,date,value,name_B085GF4Z7C
0,2020-05-27,57288.0,Sleep Sound Machines
1,2020-05-28,57288.0,Sleep Sound Machines
2,2020-05-29,57288.0,Sleep Sound Machines
3,2020-05-30,36696.0,Sleep Sound Machines
4,2020-05-31,36696.0,Sleep Sound Machines
5,2020-06-01,36696.0,Sleep Sound Machines
6,2020-06-02,36696.0,Sleep Sound Machines
7,2020-06-03,34230.0,Sleep Sound Machines
8,2020-06-04,23519.0,Sleep Sound Machines
9,2020-06-05,23519.0,Sleep Sound Machines
10,2020-06-06,23519.0,Sleep Sound Machines
11,2020-06-07,23519.0,Sleep Sound Machines
12,2020-06-08,23519.0,Sleep Sound Machines
13,2020-06-09,38270.0,Sleep Sound Machines
14,2020-06-10,37685.0,Sleep Sound Machines
15,2020-06-11,37685.0,Sleep Sound Machines
16,2020-06-12,37685.0,Sleep Sound Machines
17,2020-06-13,37685.0,Sleep Sound Machines
18,2020-06-14,37685.0,Sleep Sound Machines
19,2020-06-15,34746.0,Sleep Sound Machines
20,2020-06-16,21893.0,Sleep Sound Machines
21,2020-06-17,21893.0,Sleep Sound Machines
22,2020-06-18,18352.0,Sleep Sound Machines
23,2020-06-19,18352.0,Sleep Sound Machines
24,2020-06-20,18352.0,Sleep Sound Machines
25,2020-06-21,18352.0,Sleep Sound Machines
26,2020-06-22,18352.0,Sleep Sound Machines
27,2020-06-23,18352.0,Sleep Sound Machines
28,2020-06-24,25897.0,Sleep Sound Machines
29,2020-06-25,25897.0,Sleep Sound Machines
30,2020-06-26,25897.0,Sleep Sound Machines
31,2020-06-27,25897.0,Sleep Sound Machines
32,2020-06-28,25897.0,Sleep Sound Machines
33,2020-06-29,13519.0,Sleep Sound Machines
34,2020-06-30,13519.0,Sleep Sound Machines
35,2020-07-01,14428.0,Sleep Sound Machines
36,2020-07-02,14428.0,Sleep Sound Machines
37,2020-07-03,14428.0,Sleep Sound Machines
38,2020-07-04,14428.0,Sleep Sound Machines
39,2020-07-05,14428.0,Sleep Sound Machines
40,2020-07-06,13698.0,Sleep Sound Machines
41,2020-07-07,13698.0,Sleep Sound Machines
42,2020-07-08,12638.0,Sleep Sound Machines
43,2020-07-09,12638.0,Sleep Sound Machines
44,2020-07-10,12638.0,Sleep Sound Machines
45,2020-07-11,16357.0,Sleep Sound Machines
46,2020-07-12,16357.0,Sleep Sound Machines
47,2020-07-13,15332.0,Sleep Sound Machines
48,2020-07-14,15332.0,Sleep Sound Machines
49,2020-07-15,15332.0,Sleep Sound Machines
50,2020-07-16,14050.0,Sleep Sound Machines
51,2020-07-17,14050.0,Sleep Sound Machines
52,2020-07-18,14050.0,Sleep Sound Machines
53,2020-07-19,14050.0,Sleep Sound Machines
54,2020-07-20,18103.0,Sleep Sound Machines
55,2020-07-21,18103.0,Sleep Sound Machines
56,2020-07-22,18103.0,Sleep Sound Machines
57,2020-07-23,18103.0,Sleep Sound Machines
58,2020-07-24,12214.0,Sleep Sound Machines
59,2020-07-25,12214.0,Sleep Sound Machines
60,2020-07-26,12876.0,Sleep Sound Machines
61,2020-07-27,12876.0,Sleep Sound Machines
62,2020-07-28,12876.0,Sleep Sound Machines
63,2020-07-29,12876.0,Sleep Sound Machines
64,2020-07-30,8425.0,Sleep Sound Machines
65,2020-07-31,8425.0,Sleep Sound Machines
66,2020-08-01,8425.0,Sleep Sound Machines
67,2020-08-02,10907.0,Sleep Sound Machines
68,2020-08-03,10907.0,Sleep Sound Machines
69,2020-08-04,10708.0,Sleep Sound Machines
70,2020-08-05,10708.0,Sleep Sound Machines
71,2020-08-06,10708.0,Sleep Sound Machines
72,2020-08-07,10866.0,Sleep Sound Machines
73,2020-08-08,10866.0,Sleep Sound Machines
74,2020-08-09,10863.0,Sleep Sound Machines
75,2020-08-10,10863.0,Sleep Sound Machines
76,2020-08-11,10863.0,Sleep Sound Machines
77,2020-08-12,8068.0,Sleep Sound Machines
78,2020-08-13,8068.0,Sleep Sound Machines
79,2020-08-14,8068.0,Sleep Sound Machines
80,2020-08-15,8188.0,Sleep Sound Machines
81,2020-08-16,8188.0,Sleep Sound Machines
82,2020-08-17,8188.0,Sleep Sound Machines
83,2020-08-18,8188.0,Sleep Sound Machines
84,2020-08-19,7907.0,Sleep Sound Machines
85,2020-08-20,7907.0,Sleep Sound Machines
86,2020-08-21,7907.0,Sleep Sound Machines
87,2020-08-22,8754.0,Sleep Sound Machines
88,2020-08-23,8754.0,Sleep Sound Machines
89,2020-08-24,8754.0,Sleep Sound Machines
90,2020-08-25,7316.0,Sleep Sound Machines
91,2020-08-26,6895.0,Sleep Sound Machines
92,2020-08-27,6895.0,Sleep Sound Machines
93,2020-08-28,6895.0,Sleep Sound Machines
94,2020-08-29,6461.0,Sleep Sound Machines
95,2020-08-30,6461.0,Sleep Sound Machines
96,2020-08-31,6461.0,Sleep Sound Machines
97,2020-09-01,6461.0,Sleep Sound Machines
98,2020-09-02,6461.0,Sleep Sound Machines
99,2020-09-03,5842.0,Sleep Sound Machines
100,2020-09-04,5842.0,Sleep Sound Machines
101,2020-09-05,5842.0,Sleep Sound Machines
102,2020-09-06,7443.0,Sleep Sound Machines
103,2020-09-07,7443.0,Sleep Sound Machines
104,2020-09-08,7169.0,Sleep Sound Machines
105,2020-09-09,7169.0,Sleep Sound Machines
106,2020-09-10,7169.0,Sleep Sound Machines
107,2020-09-11,7456.0,Sleep Sound Machines
108,2020-09-12,7456.0,Sleep Sound Machines
109,2020-09-13,7456.0,Sleep Sound Machines
110,2020-09-14,6823.0,Sleep Sound Machines
111,2020-09-15,6823.0,Sleep Sound Machines
112,2020-09-16,6823.0,Sleep Sound Machines
113,2020-09-17,7588.0,Sleep Sound Machines
114,2020-09-18,7588.0,Sleep Sound Machines
115,2020-09-19,7800.0,Sleep Sound Machines
116,2020-09-20,7800.0,Sleep Sound Machines
117,2020-09-21,7800.0,Sleep Sound Machines
118,2020-09-22,5111.0,Sleep Sound Machines
119,2020-09-23,5111.0,Sleep Sound Machines
120,2020-09-24,9167.0,Sleep Sound Machines
121,2020-09-25,9167.0,Sleep Sound Machines
122,2020-09-26,9167.0,Sleep Sound Machines
123,2020-09-27,10286.0,Sleep Sound Machines
124,2020-09-28,9979.0,Sleep Sound Machines
125,2020-09-29,9979.0,Sleep Sound Machines
126,2020-09-30,9979.0,Sleep Sound Machines
127,2020-10-01,6231.0,Sleep Sound Machines
128,2020-10-02,6231.0,Sleep Sound Machines
129,2020-10-03,6231.0,Sleep Sound Machines
130,2020-10-04,8936.0,Sleep Sound Machines
131,2020-10-05,8936.0,Sleep Sound Machines
132,2020-10-06,3753.0,Sleep Sound Machines
133,2020-10-07,3753.0,Sleep Sound Machines
