,date,value,name_B08NWD897G
0,2020-11-27,320.0,Markers
1,2020-11-28,225.0,Markers
2,2020-11-29,756.0,Markers
3,2020-11-30,1171.0,Markers
4,2020-12-01,1594.0,Markers
5,2020-12-02,1594.0,Markers
6,2020-12-03,1594.0,Markers
7,2020-12-04,2782.0,Markers
8,2020-12-05,3520.0,Markers
9,2020-12-06,3783.0,Markers
10,2020-12-07,3783.0,Markers
11,2020-12-08,4250.0,Markers
12,2020-12-09,4250.0,Markers
13,2020-12-10,4250.0,Markers
14,2020-12-11,6059.0,Markers
15,2020-12-12,6059.0,Markers
16,2020-12-13,6059.0,Markers
17,2020-12-14,13516.0,Markers
18,2020-12-15,15969.0,Markers
19,2020-12-16,17518.0,Markers
20,2020-12-17,6726.0,Markers
21,2020-12-18,6726.0,Markers
22,2020-12-19,6138.0,Markers
23,2020-12-20,6138.0,Markers
24,2020-12-21,6138.0,Markers
25,2020-12-22,4283.0,Markers
26,2020-12-23,4283.0,Markers
27,2020-12-24,5362.0,Markers
28,2020-12-25,5362.0,Markers
29,2020-12-26,7770.0,Markers
30,2020-12-27,7770.0,Markers
31,2020-12-28,7770.0,Markers
32,2020-12-29,7770.0,Markers
33,2020-12-30,9661.0,Markers
34,2020-12-31,9661.0,Markers
35,2021-01-01,9661.0,Markers
36,2021-01-02,9661.0,Markers
37,2021-01-03,9661.0,Markers
38,2021-01-04,9661.0,Markers
39,2021-01-05,9661.0,Markers
40,2021-01-06,9661.0,Markers
41,2021-01-07,9661.0,Markers
42,2021-01-08,9661.0,Markers
43,2021-01-09,9661.0,Markers
44,2021-01-10,9661.0,Markers
45,2021-01-11,9661.0,Markers
46,2021-01-12,9661.0,Markers
47,2021-01-13,9661.0,Markers
48,2021-01-14,9661.0,Markers
49,2021-01-15,9661.0,Markers
50,2021-01-16,9661.0,Markers
51,2021-01-17,9661.0,Markers
52,2021-01-18,9661.0,Markers
53,2021-01-19,9661.0,Markers
54,2021-01-20,9661.0,Markers
55,2021-01-21,9661.0,Markers
56,2021-01-22,9661.0,Markers
57,2021-01-23,9661.0,Markers
58,2021-01-24,9661.0,Markers
59,2021-01-25,9661.0,Markers
60,2021-01-26,9661.0,Markers
61,2021-01-27,9661.0,Markers
62,2021-01-28,9661.0,Markers
