,date,value,name_B087C9P6QZ
0,2020-05-26,3285.0,Household Cleaning
1,2020-05-27,5080.0,Household Cleaning
2,2020-05-28,4403.0,Household Cleaning
3,2020-05-29,4820.0,Household Cleaning
4,2020-05-30,4801.0,Household Cleaning
5,2020-05-31,4801.0,Household Cleaning
6,2020-06-01,4801.0,Household Cleaning
7,2020-06-02,3709.0,Household Cleaning
8,2020-06-03,5684.0,Household Cleaning
9,2020-06-04,7246.0,Household Cleaning
10,2020-06-05,7246.0,Household Cleaning
11,2020-06-06,5136.0,Household Cleaning
12,2020-06-07,5136.0,Household Cleaning
13,2020-06-08,3637.0,Household Cleaning
14,2020-06-09,4434.0,Household Cleaning
15,2020-06-10,4816.0,Household Cleaning
16,2020-06-11,4545.0,Household Cleaning
17,2020-06-12,6640.0,Household Cleaning
18,2020-06-13,6796.0,Household Cleaning
19,2020-06-14,7154.0,Household Cleaning
20,2020-06-15,7154.0,Household Cleaning
21,2020-06-16,8312.0,Household Cleaning
22,2020-06-17,8839.0,Household Cleaning
23,2020-06-18,8683.0,Household Cleaning
24,2020-06-19,7932.0,Household Cleaning
25,2020-06-20,7499.0,Household Cleaning
26,2020-06-21,7499.0,Household Cleaning
27,2020-06-22,5424.0,Household Cleaning
28,2020-06-23,5021.0,Household Cleaning
29,2020-06-24,4311.0,Household Cleaning
30,2020-06-25,4311.0,Household Cleaning
31,2020-06-26,4425.0,Household Cleaning
32,2020-06-27,4492.0,Household Cleaning
33,2020-06-28,4492.0,Household Cleaning
34,2020-06-29,3662.0,Household Cleaning
35,2020-06-30,4162.0,Household Cleaning
36,2020-07-01,5528.0,Household Cleaning
37,2020-07-02,7806.0,Household Cleaning
38,2020-07-03,8091.0,Household Cleaning
39,2020-07-04,8091.0,Household Cleaning
40,2020-07-05,8479.0,Household Cleaning
41,2020-07-06,7913.0,Household Cleaning
42,2020-07-07,7913.0,Household Cleaning
43,2020-07-08,8435.0,Household Cleaning
44,2020-07-09,7645.0,Household Cleaning
45,2020-07-10,5500.0,Household Cleaning
46,2020-07-11,5500.0,Household Cleaning
47,2020-07-12,5912.0,Household Cleaning
48,2020-07-13,5912.0,Household Cleaning
49,2020-07-14,4651.0,Household Cleaning
50,2020-07-15,4432.0,Household Cleaning
51,2020-07-16,4432.0,Household Cleaning
52,2020-07-17,5129.0,Household Cleaning
53,2020-07-18,5129.0,Household Cleaning
54,2020-07-19,4395.0,Household Cleaning
55,2020-07-20,4395.0,Household Cleaning
56,2020-07-21,5184.0,Household Cleaning
57,2020-07-22,4475.0,Household Cleaning
58,2020-07-23,5521.0,Household Cleaning
59,2020-07-24,5521.0,Household Cleaning
60,2020-07-25,5521.0,Household Cleaning
61,2020-07-26,5013.0,Household Cleaning
62,2020-07-27,5013.0,Household Cleaning
63,2020-07-28,4237.0,Household Cleaning
64,2020-07-29,4948.0,Household Cleaning
65,2020-07-30,4568.0,Household Cleaning
