,date,value,name_B0871ZRCLK
0,2020-04-15,65490.0,Artificial Flowers
1,2020-04-16,84084.0,Artificial Flowers
2,2020-04-17,84084.0,Artificial Flowers
3,2020-04-18,84084.0,Artificial Flowers
4,2020-04-19,84084.0,Artificial Flowers
5,2020-04-20,86359.0,Artificial Flowers
6,2020-04-21,74848.0,Artificial Flowers
7,2020-04-22,74848.0,Artificial Flowers
8,2020-04-23,51622.0,Artificial Flowers
9,2020-04-24,56879.0,Artificial Flowers
10,2020-04-25,56879.0,Artificial Flowers
11,2020-04-26,56879.0,Artificial Flowers
12,2020-04-27,73772.0,Artificial Flowers
13,2020-04-28,73772.0,Artificial Flowers
14,2020-04-29,46304.0,Artificial Flowers
15,2020-04-30,36316.0,Artificial Flowers
16,2020-05-01,43862.0,Artificial Flowers
17,2020-05-02,43862.0,Artificial Flowers
18,2020-05-03,43862.0,Artificial Flowers
19,2020-05-04,56639.0,Artificial Flowers
20,2020-05-05,50334.0,Artificial Flowers
21,2020-05-06,51966.0,Artificial Flowers
22,2020-05-07,62697.0,Artificial Flowers
23,2020-05-08,62697.0,Artificial Flowers
24,2020-05-09,62697.0,Artificial Flowers
25,2020-05-10,62697.0,Artificial Flowers
26,2020-05-11,62697.0,Artificial Flowers
27,2020-05-12,61230.0,Artificial Flowers
28,2020-05-13,61230.0,Artificial Flowers
29,2020-05-14,61230.0,Artificial Flowers
30,2020-05-15,55902.0,Artificial Flowers
31,2020-05-16,55902.0,Artificial Flowers
32,2020-05-17,50681.0,Artificial Flowers
33,2020-05-18,50681.0,Artificial Flowers
34,2020-05-19,50681.0,Artificial Flowers
35,2020-05-20,50681.0,Artificial Flowers
36,2020-05-21,60066.0,Artificial Flowers
37,2020-05-22,50158.0,Artificial Flowers
38,2020-05-23,50356.0,Artificial Flowers
39,2020-05-24,50356.0,Artificial Flowers
40,2020-05-25,50356.0,Artificial Flowers
41,2020-05-26,50356.0,Artificial Flowers
42,2020-05-27,50356.0,Artificial Flowers
43,2020-05-28,42968.0,Artificial Flowers
44,2020-05-29,42240.0,Artificial Flowers
45,2020-05-30,42240.0,Artificial Flowers
46,2020-05-31,42272.0,Artificial Flowers
47,2020-06-01,42272.0,Artificial Flowers
48,2020-06-02,42272.0,Artificial Flowers
49,2020-06-03,42272.0,Artificial Flowers
50,2020-06-04,47511.0,Artificial Flowers
