,date,value,name_B08M949VD6
0,2021-05-20,212232.0,Waffle Irons
1,2021-05-21,129636.0,Waffle Irons
2,2021-05-22,105456.0,Waffle Irons
3,2021-05-23,149500.0,Waffle Irons
4,2021-05-24,91115.0,Waffle Irons
5,2021-05-25,71608.0,Waffle Irons
6,2021-05-26,81390.0,Waffle Irons
7,2021-05-27,85600.0,Waffle Irons
8,2021-05-28,128058.0,Waffle Irons
9,2021-05-29,141240.0,Waffle Irons
10,2021-05-30,141240.0,Waffle Irons
11,2021-05-31,66148.0,Waffle Irons
12,2021-06-01,49706.0,Waffle Irons
13,2021-06-02,55131.0,Waffle Irons
14,2021-06-03,49879.0,Waffle Irons
15,2021-06-04,39841.0,Waffle Irons
16,2021-06-05,42233.0,Waffle Irons
17,2021-06-06,40761.0,Waffle Irons
18,2021-06-07,26614.0,Waffle Irons
19,2021-06-08,22409.0,Waffle Irons
20,2021-06-09,35148.0,Waffle Irons
21,2021-06-10,40153.0,Waffle Irons
22,2021-06-11,38040.0,Waffle Irons
23,2021-06-12,51999.0,Waffle Irons
24,2021-06-13,58130.0,Waffle Irons
25,2021-06-14,39874.0,Waffle Irons
26,2021-06-15,33636.0,Waffle Irons
27,2021-06-16,41501.0,Waffle Irons
28,2021-06-17,40545.0,Waffle Irons
29,2021-06-18,30694.0,Waffle Irons
30,2021-06-19,34612.0,Waffle Irons
31,2021-06-20,33899.0,Waffle Irons
32,2021-06-21,27170.0,Waffle Irons
33,2021-06-22,6843.0,Waffle Irons
34,2021-06-23,3730.0,Waffle Irons
35,2021-06-24,3526.0,Waffle Irons
36,2021-06-25,4698.0,Waffle Irons
37,2021-06-26,5049.0,Waffle Irons
38,2021-06-27,6882.0,Waffle Irons
39,2021-06-28,10716.0,Waffle Irons
40,2021-06-29,14190.0,Waffle Irons
41,2021-06-30,21997.0,Waffle Irons
42,2021-07-01,13628.0,Waffle Irons
43,2021-07-02,14565.0,Waffle Irons
44,2021-07-03,15919.0,Waffle Irons
45,2021-07-04,10835.0,Waffle Irons
46,2021-07-05,22005.0,Waffle Irons
47,2021-07-06,32538.0,Waffle Irons
48,2021-07-07,36566.0,Waffle Irons
49,2021-07-08,50603.0,Waffle Irons
50,2021-07-09,59630.0,Waffle Irons
