,date,value,name_B081SCC6GW
163,2020-11-12,19294.0,B12
164,2020-11-13,20420.0,B12
165,2020-11-14,20420.0,B12
166,2020-11-15,16106.0,B12
167,2020-11-16,16106.0,B12
168,2020-11-17,16106.0,B12
169,2020-11-18,20539.0,B12
170,2020-11-19,20539.0,B12
171,2020-11-20,20539.0,B12
172,2020-11-21,15112.0,B12
173,2020-11-22,15112.0,B12
174,2020-11-23,15112.0,B12
175,2020-11-24,21935.0,B12
176,2020-11-25,26743.0,B12
177,2020-11-26,26743.0,B12
178,2020-11-27,26743.0,B12
179,2020-11-28,26743.0,B12
180,2020-11-29,26743.0,B12
181,2020-11-30,26460.0,B12
182,2020-12-01,29305.0,B12
183,2020-12-02,31527.0,B12
184,2020-12-03,26866.0,B12
185,2020-12-04,26866.0,B12
186,2020-12-05,33649.0,B12
187,2020-12-06,33649.0,B12
188,2020-12-07,33649.0,B12
189,2020-12-08,25835.0,B12
190,2020-12-09,25835.0,B12
191,2020-12-10,17502.0,B12
192,2020-12-11,17502.0,B12
193,2020-12-12,17502.0,B12
194,2020-12-13,15481.0,B12
195,2020-12-14,15481.0,B12
196,2020-12-15,15481.0,B12
197,2020-12-16,15481.0,B12
198,2020-12-17,15481.0,B12
199,2020-12-18,15481.0,B12
200,2020-12-19,15481.0,B12
201,2020-12-20,18321.0,B12
202,2020-12-21,18321.0,B12
203,2020-12-22,18321.0,B12
204,2020-12-23,18321.0,B12
205,2020-12-24,18321.0,B12
206,2020-12-25,18321.0,B12
207,2020-12-26,18321.0,B12
208,2020-12-27,20528.0,B12
209,2020-12-28,20528.0,B12
210,2020-12-29,20528.0,B12
211,2020-12-30,17405.0,B12
212,2020-12-31,17405.0,B12
213,2021-01-01,17405.0,B12
214,2021-01-02,19833.0,B12
215,2021-01-03,19833.0,B12
216,2021-01-04,13550.0,B12
217,2021-01-05,13550.0,B12
218,2021-01-06,13550.0,B12
219,2021-01-07,13550.0,B12
220,2021-01-08,13550.0,B12
221,2021-01-09,13550.0,B12
222,2021-01-10,13550.0,B12
223,2021-01-11,13550.0,B12
224,2021-01-12,18913.0,B12
225,2021-01-13,15849.0,B12
226,2021-01-14,15849.0,B12
227,2021-01-15,15849.0,B12
228,2021-01-16,17093.0,B12
229,2021-01-17,17093.0,B12
230,2021-01-18,17093.0,B12
231,2021-01-19,17093.0,B12
232,2021-01-20,21480.0,B12
233,2021-01-21,21480.0,B12
234,2021-01-22,21480.0,B12
235,2021-01-23,21480.0,B12
236,2021-01-24,19189.0,B12
237,2021-01-25,15783.0,B12
238,2021-01-26,15783.0,B12
239,2021-01-27,15783.0,B12
240,2021-01-28,22802.0,B12
241,2021-01-29,20760.0,B12
242,2021-01-30,20760.0,B12
243,2021-01-31,20760.0,B12
244,2021-02-01,20529.0,B12
245,2021-02-02,20529.0,B12
246,2021-02-03,20529.0,B12
247,2021-02-04,24747.0,B12
248,2021-02-05,24747.0,B12
249,2021-02-06,24747.0,B12
250,2021-02-07,24747.0,B12
251,2021-02-08,19032.0,B12
252,2021-02-09,19032.0,B12
253,2021-02-10,19032.0,B12
254,2021-02-11,19032.0,B12
255,2021-02-12,20208.0,B12
256,2021-02-13,20208.0,B12
257,2021-02-14,20208.0,B12
258,2021-02-15,15039.0,B12
259,2021-02-16,15039.0,B12
260,2021-02-17,15039.0,B12
261,2021-02-18,18458.0,B12
262,2021-02-19,18458.0,B12
263,2021-02-20,17671.0,B12
264,2021-02-21,17671.0,B12
265,2021-02-22,17671.0,B12
266,2021-02-23,15047.0,B12
267,2021-02-24,15047.0,B12
268,2021-02-25,15047.0,B12
269,2021-02-26,15047.0,B12
270,2021-02-27,21837.0,B12
271,2021-02-28,21837.0,B12
272,2021-03-01,21837.0,B12
273,2021-03-02,21032.0,B12
274,2021-03-03,18580.0,B12
275,2021-03-04,18580.0,B12
276,2021-03-05,15979.0,B12
277,2021-03-06,15979.0,B12
278,2021-03-07,15979.0,B12
279,2021-03-08,15979.0,B12
280,2021-03-09,17124.0,B12
281,2021-03-10,17124.0,B12
282,2021-03-11,16002.0,B12
283,2021-03-12,16002.0,B12
284,2021-03-13,16002.0,B12
285,2021-03-14,14942.0,B12
286,2021-03-15,14942.0,B12
287,2021-03-16,14942.0,B12
288,2021-03-17,18193.0,B12
289,2021-03-18,17641.0,B12
290,2021-03-19,17641.0,B12
291,2021-03-20,17641.0,B12
292,2021-03-21,21460.0,B12
293,2021-03-22,21460.0,B12
294,2021-03-23,21460.0,B12
295,2021-03-24,20509.0,B12
296,2021-03-25,20509.0,B12
297,2021-03-26,20986.0,B12
298,2021-03-27,20986.0,B12
299,2021-03-28,22563.0,B12
300,2021-03-29,22563.0,B12
301,2021-03-30,22563.0,B12
302,2021-03-31,22883.0,B12
303,2021-04-01,22883.0,B12
304,2021-04-02,22883.0,B12
305,2021-04-03,17515.0,B12
306,2021-04-04,17515.0,B12
307,2021-04-05,16279.0,B12
308,2021-04-06,16279.0,B12
309,2021-04-07,16279.0,B12
310,2021-04-08,16279.0,B12
311,2021-04-09,18096.0,B12
312,2021-04-10,18096.0,B12
313,2021-04-11,14411.0,B12
314,2021-04-12,14411.0,B12
315,2021-04-13,14411.0,B12
316,2021-04-14,16662.0,B12
317,2021-04-15,16662.0,B12
318,2021-04-16,14936.0,B12
319,2021-04-17,14936.0,B12
320,2021-04-18,14936.0,B12
321,2021-04-19,13493.0,B12
322,2021-04-20,13493.0,B12
323,2021-04-21,12283.0,B12
324,2021-04-22,12283.0,B12
325,2021-04-23,19447.0,B12
326,2021-04-24,19447.0,B12
327,2021-04-25,19447.0,B12
328,2021-04-26,12735.0,B12
329,2021-04-27,12735.0,B12
330,2021-04-28,16377.0,B12
331,2021-04-29,16377.0,B12
332,2021-04-30,16708.0,B12
333,2021-05-01,16708.0,B12
334,2021-05-02,16708.0,B12
335,2021-05-03,14910.0,B12
336,2021-05-04,14910.0,B12
337,2021-05-05,17898.0,B12
338,2021-05-06,17898.0,B12
339,2021-05-07,16430.0,B12
340,2021-05-08,16430.0,B12
341,2021-05-09,16430.0,B12
342,2021-05-10,14222.0,B12
343,2021-05-11,14222.0,B12
344,2021-05-12,20883.0,B12
345,2021-05-13,20883.0,B12
346,2021-05-14,16535.0,B12
347,2021-05-15,16535.0,B12
348,2021-05-16,16535.0,B12
349,2021-05-17,15992.0,B12
350,2021-05-18,15992.0,B12
351,2021-05-19,15757.0,B12
352,2021-05-20,16763.0,B12
353,2021-05-21,17964.0,B12
354,2021-05-22,17964.0,B12
355,2021-05-23,17964.0,B12
356,2021-05-24,19097.0,B12
357,2021-05-25,19097.0,B12
358,2021-05-26,17318.0,B12
359,2021-05-27,17318.0,B12
360,2021-05-28,17318.0,B12
361,2021-05-29,17066.0,B12
362,2021-05-30,17066.0,B12
363,2021-05-31,17066.0,B12
364,2021-06-01,14870.0,B12
365,2021-06-02,14870.0,B12
366,2021-06-03,15871.0,B12
367,2021-06-04,15871.0,B12
368,2021-06-05,15871.0,B12
369,2021-06-06,14542.0,B12
370,2021-06-07,14542.0,B12
371,2021-06-08,14542.0,B12
372,2021-06-09,16361.0,B12
373,2021-06-10,16361.0,B12
374,2021-06-11,16361.0,B12
375,2021-06-12,21569.0,B12
376,2021-06-13,21569.0,B12
377,2021-06-14,21569.0,B12
378,2021-06-15,19508.0,B12
379,2021-06-16,19508.0,B12
380,2021-06-17,19508.0,B12
381,2021-06-18,18295.0,B12
382,2021-06-19,18295.0,B12
383,2021-06-20,18295.0,B12
384,2021-06-21,17765.0,B12
385,2021-06-22,22266.0,B12
386,2021-06-23,22266.0,B12
387,2021-06-24,22266.0,B12
388,2021-06-25,22266.0,B12
389,2021-06-26,20257.0,B12
390,2021-06-27,20257.0,B12
391,2021-06-28,18760.0,B12
392,2021-06-29,18760.0,B12
393,2021-06-30,17531.0,B12
394,2021-07-01,17531.0,B12
395,2021-07-02,17531.0,B12
396,2021-07-03,16711.0,B12
397,2021-07-04,16711.0,B12
398,2021-07-05,15143.0,B12
399,2021-07-06,15143.0,B12
400,2021-07-07,15143.0,B12
401,2021-07-08,17323.0,B12
402,2021-07-09,17323.0,B12
403,2021-07-10,17323.0,B12
404,2021-07-11,18942.0,B12
