,date,value,name_B094NKKH6J
0,2021-05-18,7327.0,Fidget Blocks
1,2021-05-19,7327.0,Fidget Blocks
2,2021-05-20,6805.0,Fidget Blocks
3,2021-05-21,6805.0,Fidget Blocks
4,2021-05-22,6805.0,Fidget Blocks
5,2021-05-23,7010.0,Fidget Blocks
6,2021-05-24,7010.0,Fidget Blocks
7,2021-05-25,7851.0,Fidget Blocks
8,2021-05-26,7851.0,Fidget Blocks
9,2021-05-27,3016.0,Fidget Blocks
10,2021-05-28,3016.0,Fidget Blocks
11,2021-05-29,2801.0,Fidget Blocks
12,2021-05-30,2801.0,Fidget Blocks
13,2021-05-31,2782.0,Fidget Blocks
14,2021-06-01,2782.0,Fidget Blocks
15,2021-06-02,4568.0,Fidget Blocks
16,2021-06-03,4568.0,Fidget Blocks
17,2021-06-04,4723.0,Fidget Blocks
18,2021-06-05,4799.0,Fidget Blocks
19,2021-06-06,5778.0,Fidget Blocks
20,2021-06-07,7621.0,Fidget Blocks
21,2021-06-08,8128.0,Fidget Blocks
22,2021-06-09,8128.0,Fidget Blocks
23,2021-06-10,8806.0,Fidget Blocks
24,2021-06-11,8806.0,Fidget Blocks
25,2021-06-12,8806.0,Fidget Blocks
26,2021-06-13,8806.0,Fidget Blocks
27,2021-06-14,5238.0,Fidget Blocks
28,2021-06-15,5238.0,Fidget Blocks
29,2021-06-16,5238.0,Fidget Blocks
30,2021-06-17,11564.0,Fidget Blocks
31,2021-06-18,11924.0,Fidget Blocks
32,2021-06-19,11924.0,Fidget Blocks
33,2021-06-20,11924.0,Fidget Blocks
34,2021-06-21,8453.0,Fidget Blocks
35,2021-06-22,7327.0,Fidget Blocks
36,2021-06-23,7327.0,Fidget Blocks
37,2021-06-24,11717.0,Fidget Blocks
38,2021-06-25,11717.0,Fidget Blocks
39,2021-06-26,11717.0,Fidget Blocks
40,2021-06-27,11717.0,Fidget Blocks
41,2021-06-28,15151.0,Fidget Blocks
42,2021-06-29,15151.0,Fidget Blocks
43,2021-06-30,15151.0,Fidget Blocks
44,2021-07-01,5849.0,Fidget Blocks
45,2021-07-02,5849.0,Fidget Blocks
46,2021-07-03,5849.0,Fidget Blocks
47,2021-07-04,5705.0,Fidget Blocks
48,2021-07-05,5705.0,Fidget Blocks
49,2021-07-06,5429.0,Fidget Blocks
50,2021-07-07,5429.0,Fidget Blocks
51,2021-07-08,5429.0,Fidget Blocks
52,2021-07-09,8058.0,Fidget Blocks
53,2021-07-10,8058.0,Fidget Blocks
54,2021-07-11,11362.0,Fidget Blocks
