,date,value,name_B07VCLG1DD
0,2020-11-29,36518.0,Blended Vitamin & Mineral Supplements
1,2020-11-30,36518.0,Blended Vitamin & Mineral Supplements
2,2020-12-01,36518.0,Blended Vitamin & Mineral Supplements
3,2020-12-02,36518.0,Blended Vitamin & Mineral Supplements
4,2020-12-03,36518.0,Blended Vitamin & Mineral Supplements
5,2020-12-04,36518.0,Blended Vitamin & Mineral Supplements
6,2020-12-05,36518.0,Blended Vitamin & Mineral Supplements
7,2020-12-06,59289.0,Blended Vitamin & Mineral Supplements
8,2020-12-07,59289.0,Blended Vitamin & Mineral Supplements
9,2020-12-08,59289.0,Blended Vitamin & Mineral Supplements
10,2020-12-09,59289.0,Blended Vitamin & Mineral Supplements
11,2020-12-10,37047.0,Blended Vitamin & Mineral Supplements
12,2020-12-11,37047.0,Blended Vitamin & Mineral Supplements
13,2020-12-12,37047.0,Blended Vitamin & Mineral Supplements
14,2020-12-13,37047.0,Blended Vitamin & Mineral Supplements
15,2020-12-14,37047.0,Blended Vitamin & Mineral Supplements
16,2020-12-15,37047.0,Blended Vitamin & Mineral Supplements
17,2020-12-16,37047.0,Blended Vitamin & Mineral Supplements
18,2020-12-17,37047.0,Blended Vitamin & Mineral Supplements
19,2020-12-18,37047.0,Blended Vitamin & Mineral Supplements
20,2020-12-19,37047.0,Blended Vitamin & Mineral Supplements
21,2020-12-20,35674.0,Blended Vitamin & Mineral Supplements
22,2020-12-21,35674.0,Blended Vitamin & Mineral Supplements
23,2020-12-22,26722.0,Blended Vitamin & Mineral Supplements
24,2020-12-23,26722.0,Blended Vitamin & Mineral Supplements
25,2020-12-24,26722.0,Blended Vitamin & Mineral Supplements
26,2020-12-25,26722.0,Blended Vitamin & Mineral Supplements
27,2020-12-26,26722.0,Blended Vitamin & Mineral Supplements
28,2020-12-27,26722.0,Blended Vitamin & Mineral Supplements
29,2020-12-28,29992.0,Blended Vitamin & Mineral Supplements
30,2020-12-29,29992.0,Blended Vitamin & Mineral Supplements
31,2020-12-30,29992.0,Blended Vitamin & Mineral Supplements
32,2020-12-31,29992.0,Blended Vitamin & Mineral Supplements
33,2021-01-01,29992.0,Blended Vitamin & Mineral Supplements
34,2021-01-02,29992.0,Blended Vitamin & Mineral Supplements
35,2021-01-03,29992.0,Blended Vitamin & Mineral Supplements
36,2021-01-04,19092.0,Blended Vitamin & Mineral Supplements
37,2021-01-05,19092.0,Blended Vitamin & Mineral Supplements
38,2021-01-06,19092.0,Blended Vitamin & Mineral Supplements
39,2021-01-07,19092.0,Blended Vitamin & Mineral Supplements
40,2021-01-08,19092.0,Blended Vitamin & Mineral Supplements
41,2021-01-09,19092.0,Blended Vitamin & Mineral Supplements
42,2021-01-10,25288.0,Blended Vitamin & Mineral Supplements
43,2021-01-11,25288.0,Blended Vitamin & Mineral Supplements
44,2021-01-12,25288.0,Blended Vitamin & Mineral Supplements
