,date,value,name_B06XXQYXPF
0,2020-06-16,23609.0,Coin Envelopes
1,2020-06-17,23609.0,Coin Envelopes
2,2020-06-18,23609.0,Coin Envelopes
3,2020-06-19,17203.0,Coin Envelopes
4,2020-06-20,17203.0,Coin Envelopes
5,2020-06-21,17203.0,Coin Envelopes
6,2020-06-22,17203.0,Coin Envelopes
7,2020-06-23,17203.0,Coin Envelopes
8,2020-06-24,17203.0,Coin Envelopes
9,2020-06-25,17203.0,Coin Envelopes
10,2020-06-26,17203.0,Coin Envelopes
11,2020-06-27,17203.0,Coin Envelopes
12,2020-06-28,17203.0,Coin Envelopes
13,2020-06-29,18722.0,Coin Envelopes
14,2020-06-30,18722.0,Coin Envelopes
15,2020-07-01,18722.0,Coin Envelopes
16,2020-07-02,18722.0,Coin Envelopes
17,2020-07-03,18722.0,Coin Envelopes
18,2020-07-04,18722.0,Coin Envelopes
19,2020-07-05,18722.0,Coin Envelopes
20,2020-07-06,18722.0,Coin Envelopes
21,2020-07-07,18722.0,Coin Envelopes
22,2020-07-08,18722.0,Coin Envelopes
23,2020-07-09,18722.0,Coin Envelopes
24,2020-07-10,21399.0,Coin Envelopes
25,2020-07-11,21399.0,Coin Envelopes
26,2020-07-12,21399.0,Coin Envelopes
27,2020-07-13,21399.0,Coin Envelopes
28,2020-07-14,21399.0,Coin Envelopes
29,2020-07-15,21399.0,Coin Envelopes
30,2020-07-16,21399.0,Coin Envelopes
31,2020-07-17,21399.0,Coin Envelopes
32,2020-07-18,14205.0,Coin Envelopes
33,2020-07-19,14205.0,Coin Envelopes
34,2020-07-20,32671.0,Coin Envelopes
35,2020-07-21,32671.0,Coin Envelopes
36,2020-07-22,32671.0,Coin Envelopes
37,2020-07-23,32671.0,Coin Envelopes
38,2020-07-24,23658.0,Coin Envelopes
39,2020-07-25,23658.0,Coin Envelopes
40,2020-07-26,23658.0,Coin Envelopes
41,2020-07-27,23658.0,Coin Envelopes
42,2020-07-28,23658.0,Coin Envelopes
43,2020-07-29,23658.0,Coin Envelopes
44,2020-07-30,23658.0,Coin Envelopes
45,2020-07-31,23658.0,Coin Envelopes
46,2020-08-01,23658.0,Coin Envelopes
47,2020-08-02,20426.0,Coin Envelopes
48,2020-08-03,20426.0,Coin Envelopes
49,2020-08-04,20426.0,Coin Envelopes
50,2020-08-05,18827.0,Coin Envelopes
51,2020-08-06,18827.0,Coin Envelopes
52,2020-08-07,18827.0,Coin Envelopes
53,2020-08-08,18827.0,Coin Envelopes
54,2020-08-09,18827.0,Coin Envelopes
55,2020-08-10,27426.0,Coin Envelopes
56,2020-08-11,27426.0,Coin Envelopes
57,2020-08-12,27426.0,Coin Envelopes
58,2020-08-13,22113.0,Coin Envelopes
59,2020-08-14,22113.0,Coin Envelopes
60,2020-08-15,22113.0,Coin Envelopes
61,2020-08-16,22113.0,Coin Envelopes
62,2020-08-17,22113.0,Coin Envelopes
63,2020-08-18,22113.0,Coin Envelopes
64,2020-08-19,23668.0,Coin Envelopes
65,2020-08-20,23668.0,Coin Envelopes
66,2020-08-21,23668.0,Coin Envelopes
67,2020-08-22,23668.0,Coin Envelopes
68,2020-08-23,23668.0,Coin Envelopes
69,2020-08-24,35306.0,Coin Envelopes
70,2020-08-25,35306.0,Coin Envelopes
71,2020-08-26,35306.0,Coin Envelopes
72,2020-08-27,35306.0,Coin Envelopes
73,2020-08-28,35306.0,Coin Envelopes
74,2020-08-29,35306.0,Coin Envelopes
75,2020-08-30,35306.0,Coin Envelopes
76,2020-08-31,35409.0,Coin Envelopes
77,2020-09-01,35409.0,Coin Envelopes
78,2020-09-02,35409.0,Coin Envelopes
79,2020-09-03,35409.0,Coin Envelopes
80,2020-09-04,35409.0,Coin Envelopes
81,2020-09-05,35409.0,Coin Envelopes
82,2020-09-06,34569.0,Coin Envelopes
83,2020-09-07,34569.0,Coin Envelopes
84,2020-09-08,34569.0,Coin Envelopes
85,2020-09-09,34569.0,Coin Envelopes
86,2020-09-10,34569.0,Coin Envelopes
87,2020-09-11,23635.0,Coin Envelopes
88,2020-09-12,23635.0,Coin Envelopes
89,2020-09-13,30976.0,Coin Envelopes
90,2020-09-14,30976.0,Coin Envelopes
91,2020-09-15,25423.0,Coin Envelopes
92,2020-09-16,25423.0,Coin Envelopes
93,2020-09-17,25423.0,Coin Envelopes
94,2020-09-18,25423.0,Coin Envelopes
95,2020-09-19,25423.0,Coin Envelopes
96,2020-09-20,25423.0,Coin Envelopes
97,2020-09-21,40530.0,Coin Envelopes
98,2020-09-22,40530.0,Coin Envelopes
99,2020-09-23,40530.0,Coin Envelopes
100,2020-09-24,40530.0,Coin Envelopes
101,2020-09-25,40530.0,Coin Envelopes
102,2020-09-26,40530.0,Coin Envelopes
103,2020-09-27,40530.0,Coin Envelopes
104,2020-09-28,21773.0,Coin Envelopes
105,2020-09-29,29494.0,Coin Envelopes
106,2020-09-30,29494.0,Coin Envelopes
107,2020-10-01,29494.0,Coin Envelopes
108,2020-10-02,29494.0,Coin Envelopes
109,2020-10-03,29494.0,Coin Envelopes
110,2020-10-04,29494.0,Coin Envelopes
111,2020-10-05,29494.0,Coin Envelopes
112,2020-10-06,29494.0,Coin Envelopes
113,2020-10-07,29494.0,Coin Envelopes
114,2020-10-08,24576.0,Coin Envelopes
115,2020-10-09,24576.0,Coin Envelopes
116,2020-10-10,24576.0,Coin Envelopes
117,2020-10-11,24576.0,Coin Envelopes
118,2020-10-12,24576.0,Coin Envelopes
119,2020-10-13,24576.0,Coin Envelopes
120,2020-10-14,24576.0,Coin Envelopes
