,date,value,name_B081N39N4W
0,2020-01-04,46217.0,Coffee Cups & Mugs
1,2020-01-05,46217.0,Coffee Cups & Mugs
2,2020-01-06,37596.0,Coffee Cups & Mugs
3,2020-01-07,37596.0,Coffee Cups & Mugs
4,2020-01-08,37596.0,Coffee Cups & Mugs
5,2020-01-09,21488.0,Coffee Cups & Mugs
6,2020-01-10,21488.0,Coffee Cups & Mugs
7,2020-01-11,17630.0,Coffee Cups & Mugs
8,2020-01-12,17630.0,Coffee Cups & Mugs
9,2020-01-13,17678.0,Coffee Cups & Mugs
10,2020-01-14,17678.0,Coffee Cups & Mugs
11,2020-01-15,16011.0,Coffee Cups & Mugs
12,2020-01-16,11037.0,Coffee Cups & Mugs
13,2020-01-17,8818.0,Coffee Cups & Mugs
14,2020-01-18,6491.0,Coffee Cups & Mugs
15,2020-01-19,7772.0,Coffee Cups & Mugs
16,2020-01-20,7634.0,Coffee Cups & Mugs
17,2020-01-21,6090.0,Coffee Cups & Mugs
18,2020-01-22,4804.0,Coffee Cups & Mugs
19,2020-01-23,4687.0,Coffee Cups & Mugs
20,2020-01-24,3019.0,Coffee Cups & Mugs
21,2020-01-25,3233.0,Coffee Cups & Mugs
22,2020-01-26,2288.0,Coffee Cups & Mugs
23,2020-01-27,3461.0,Coffee Cups & Mugs
24,2020-01-28,3210.0,Coffee Cups & Mugs
25,2020-01-29,2964.0,Coffee Cups & Mugs
26,2020-01-30,2549.0,Coffee Cups & Mugs
27,2020-01-31,2534.0,Coffee Cups & Mugs
28,2020-02-01,1799.0,Coffee Cups & Mugs
29,2020-02-02,1796.0,Coffee Cups & Mugs
30,2020-02-03,2279.0,Coffee Cups & Mugs
31,2020-02-04,2375.0,Coffee Cups & Mugs
32,2020-02-05,1933.0,Coffee Cups & Mugs
33,2020-02-06,1724.0,Coffee Cups & Mugs
34,2020-02-07,1539.0,Coffee Cups & Mugs
35,2020-02-08,1626.0,Coffee Cups & Mugs
36,2020-02-09,1700.0,Coffee Cups & Mugs
37,2020-02-10,1700.0,Coffee Cups & Mugs
38,2020-02-11,1631.0,Coffee Cups & Mugs
39,2020-02-12,1326.0,Coffee Cups & Mugs
40,2020-02-13,1178.0,Coffee Cups & Mugs
41,2020-02-14,1497.0,Coffee Cups & Mugs
42,2020-02-15,1713.0,Coffee Cups & Mugs
43,2020-02-16,2614.0,Coffee Cups & Mugs
44,2020-02-17,2466.0,Coffee Cups & Mugs
45,2020-02-18,2466.0,Coffee Cups & Mugs
46,2020-02-19,2466.0,Coffee Cups & Mugs
47,2020-02-20,2152.0,Coffee Cups & Mugs
48,2020-02-21,2152.0,Coffee Cups & Mugs
49,2020-02-22,1488.0,Coffee Cups & Mugs
50,2020-02-23,546.0,Coffee Cups & Mugs
51,2020-02-24,546.0,Coffee Cups & Mugs
52,2020-02-25,1038.0,Coffee Cups & Mugs
53,2020-02-26,1038.0,Coffee Cups & Mugs
54,2020-02-27,1530.0,Coffee Cups & Mugs
55,2020-02-28,1530.0,Coffee Cups & Mugs
56,2020-02-29,1530.0,Coffee Cups & Mugs
57,2020-03-01,1530.0,Coffee Cups & Mugs
58,2020-03-02,2175.0,Coffee Cups & Mugs
59,2020-03-03,2358.0,Coffee Cups & Mugs
60,2020-03-04,2358.0,Coffee Cups & Mugs
61,2020-03-05,2358.0,Coffee Cups & Mugs
62,2020-03-06,1572.0,Coffee Cups & Mugs
63,2020-03-07,1956.0,Coffee Cups & Mugs
64,2020-03-08,-1.0,Coffee Cups & Mugs
