,date,value,name_B07T4SXC6P
0,2020-05-28,4308.0,Hookahs
1,2020-05-29,4308.0,Hookahs
2,2020-05-30,4308.0,Hookahs
3,2020-05-31,4308.0,Hookahs
4,2020-06-01,4308.0,Hookahs
5,2020-06-02,3952.0,Hookahs
6,2020-06-03,3952.0,Hookahs
7,2020-06-04,3952.0,Hookahs
8,2020-06-05,6910.0,Hookahs
9,2020-06-06,7065.0,Hookahs
10,2020-06-07,7065.0,Hookahs
11,2020-06-08,7065.0,Hookahs
12,2020-06-09,10621.0,Hookahs
13,2020-06-10,10621.0,Hookahs
14,2020-06-11,11557.0,Hookahs
15,2020-06-12,11557.0,Hookahs
16,2020-06-13,11557.0,Hookahs
17,2020-06-14,11557.0,Hookahs
18,2020-06-15,4781.0,Hookahs
19,2020-06-16,5479.0,Hookahs
20,2020-06-17,5479.0,Hookahs
21,2020-06-18,4970.0,Hookahs
22,2020-06-19,4970.0,Hookahs
23,2020-06-20,4970.0,Hookahs
24,2020-06-21,3863.0,Hookahs
25,2020-06-22,3745.0,Hookahs
26,2020-06-23,3745.0,Hookahs
27,2020-06-24,3922.0,Hookahs
28,2020-06-25,3922.0,Hookahs
29,2020-06-26,3922.0,Hookahs
30,2020-06-27,3922.0,Hookahs
31,2020-06-28,4398.0,Hookahs
32,2020-06-29,3607.0,Hookahs
33,2020-06-30,3607.0,Hookahs
34,2020-07-01,3607.0,Hookahs
35,2020-07-02,4174.0,Hookahs
36,2020-07-03,4174.0,Hookahs
37,2020-07-04,4709.0,Hookahs
38,2020-07-05,4709.0,Hookahs
39,2020-07-06,4709.0,Hookahs
40,2020-07-07,4659.0,Hookahs
41,2020-07-08,4659.0,Hookahs
42,2020-07-09,5438.0,Hookahs
43,2020-07-10,5438.0,Hookahs
44,2020-07-11,5438.0,Hookahs
45,2020-07-12,4112.0,Hookahs
46,2020-07-13,4112.0,Hookahs
47,2020-07-14,5040.0,Hookahs
48,2020-07-15,4024.0,Hookahs
49,2020-07-16,4311.0,Hookahs
50,2020-07-17,4311.0,Hookahs
51,2020-07-18,4311.0,Hookahs
52,2020-07-19,4486.0,Hookahs
53,2020-07-20,4486.0,Hookahs
54,2020-07-21,4486.0,Hookahs
55,2020-07-22,4486.0,Hookahs
56,2020-07-23,4486.0,Hookahs
57,2020-07-24,4742.0,Hookahs
58,2020-07-25,4742.0,Hookahs
59,2020-07-26,5600.0,Hookahs
60,2020-07-27,5600.0,Hookahs
61,2020-07-28,5600.0,Hookahs
62,2020-07-29,4527.0,Hookahs
63,2020-07-30,4527.0,Hookahs
64,2020-07-31,4360.0,Hookahs
65,2020-08-01,4360.0,Hookahs
66,2020-08-02,4360.0,Hookahs
67,2020-08-03,4360.0,Hookahs
68,2020-08-04,4360.0,Hookahs
69,2020-08-05,5163.0,Hookahs
70,2020-08-06,5163.0,Hookahs
71,2020-08-07,5163.0,Hookahs
72,2020-08-08,5163.0,Hookahs
73,2020-08-09,8834.0,Hookahs
74,2020-08-10,9985.0,Hookahs
75,2020-08-11,9985.0,Hookahs
76,2020-08-12,14879.0,Hookahs
77,2020-08-13,17176.0,Hookahs
78,2020-08-14,13700.0,Hookahs
79,2020-08-15,14329.0,Hookahs
80,2020-08-16,14329.0,Hookahs
81,2020-08-17,14329.0,Hookahs
82,2020-08-18,14329.0,Hookahs
83,2020-08-19,7345.0,Hookahs
84,2020-08-20,7345.0,Hookahs
85,2020-08-21,7345.0,Hookahs
86,2020-08-22,7583.0,Hookahs
87,2020-08-23,7583.0,Hookahs
88,2020-08-24,6948.0,Hookahs
89,2020-08-25,6948.0,Hookahs
90,2020-08-26,7905.0,Hookahs
91,2020-08-27,7326.0,Hookahs
92,2020-08-28,7326.0,Hookahs
93,2020-08-29,7326.0,Hookahs
94,2020-08-30,9952.0,Hookahs
95,2020-08-31,9952.0,Hookahs
96,2020-09-01,9952.0,Hookahs
97,2020-09-02,7912.0,Hookahs
98,2020-09-03,7912.0,Hookahs
99,2020-09-04,7912.0,Hookahs
100,2020-09-05,7912.0,Hookahs
101,2020-09-06,7912.0,Hookahs
102,2020-09-07,8250.0,Hookahs
103,2020-09-08,7777.0,Hookahs
104,2020-09-09,7777.0,Hookahs
105,2020-09-10,7777.0,Hookahs
106,2020-09-11,8311.0,Hookahs
107,2020-09-12,8311.0,Hookahs
108,2020-09-13,7331.0,Hookahs
109,2020-09-14,7331.0,Hookahs
110,2020-09-15,7331.0,Hookahs
111,2020-09-16,11203.0,Hookahs
112,2020-09-17,11203.0,Hookahs
113,2020-09-18,11203.0,Hookahs
114,2020-09-19,11203.0,Hookahs
115,2020-09-20,11203.0,Hookahs
116,2020-09-21,12089.0,Hookahs
117,2020-09-22,10798.0,Hookahs
118,2020-09-23,9589.0,Hookahs
119,2020-09-24,9589.0,Hookahs
120,2020-09-25,9589.0,Hookahs
121,2020-09-26,9589.0,Hookahs
122,2020-09-27,9589.0,Hookahs
123,2020-09-28,9120.0,Hookahs
124,2020-09-29,8962.0,Hookahs
125,2020-09-30,8962.0,Hookahs
126,2020-10-01,9715.0,Hookahs
127,2020-10-02,9715.0,Hookahs
128,2020-10-03,9715.0,Hookahs
129,2020-10-04,9715.0,Hookahs
130,2020-10-05,11117.0,Hookahs
131,2020-10-06,19114.0,Hookahs
132,2020-10-07,19651.0,Hookahs
133,2020-10-08,19651.0,Hookahs
134,2020-10-09,19651.0,Hookahs
135,2020-10-10,13537.0,Hookahs
136,2020-10-11,13537.0,Hookahs
137,2020-10-12,13537.0,Hookahs
138,2020-10-13,10492.0,Hookahs
139,2020-10-14,10492.0,Hookahs
140,2020-10-15,13627.0,Hookahs
141,2020-10-16,13627.0,Hookahs
142,2020-10-17,13627.0,Hookahs
143,2020-10-18,13627.0,Hookahs
144,2020-10-19,12296.0,Hookahs
145,2020-10-20,12296.0,Hookahs
146,2020-10-21,12296.0,Hookahs
147,2020-10-22,10432.0,Hookahs
148,2020-10-23,10432.0,Hookahs
149,2020-10-24,10432.0,Hookahs
150,2020-10-25,10432.0,Hookahs
151,2020-10-26,10432.0,Hookahs
152,2020-10-27,10432.0,Hookahs
153,2020-10-28,10093.0,Hookahs
154,2020-10-29,10093.0,Hookahs
155,2020-10-30,9140.0,Hookahs
156,2020-10-31,11064.0,Hookahs
157,2020-11-01,11064.0,Hookahs
158,2020-11-02,11064.0,Hookahs
159,2020-11-03,14067.0,Hookahs
160,2020-11-04,13574.0,Hookahs
161,2020-11-05,12014.0,Hookahs
162,2020-11-06,12014.0,Hookahs
163,2020-11-07,11849.0,Hookahs
164,2020-11-08,11849.0,Hookahs
165,2020-11-09,11849.0,Hookahs
166,2020-11-10,11064.0,Hookahs
167,2020-11-11,11064.0,Hookahs
168,2020-11-12,10859.0,Hookahs
169,2020-11-13,10859.0,Hookahs
170,2020-11-14,10859.0,Hookahs
171,2020-11-15,13025.0,Hookahs
172,2020-11-16,17450.0,Hookahs
173,2020-11-17,17450.0,Hookahs
174,2020-11-18,17450.0,Hookahs
175,2020-11-19,12576.0,Hookahs
176,2020-11-20,12576.0,Hookahs
177,2020-11-21,11634.0,Hookahs
178,2020-11-22,11634.0,Hookahs
179,2020-11-23,11634.0,Hookahs
180,2020-11-24,11389.0,Hookahs
181,2020-11-25,12000.0,Hookahs
182,2020-11-26,13565.0,Hookahs
183,2020-11-27,13565.0,Hookahs
184,2020-11-28,13565.0,Hookahs
185,2020-11-29,13219.0,Hookahs
186,2020-11-30,13219.0,Hookahs
187,2020-12-01,13219.0,Hookahs
188,2020-12-02,14393.0,Hookahs
189,2020-12-03,17023.0,Hookahs
190,2020-12-04,17023.0,Hookahs
191,2020-12-05,18018.0,Hookahs
192,2020-12-06,18018.0,Hookahs
193,2020-12-07,20417.0,Hookahs
194,2020-12-08,20417.0,Hookahs
195,2020-12-09,20417.0,Hookahs
196,2020-12-10,20417.0,Hookahs
197,2020-12-11,20417.0,Hookahs
198,2020-12-12,16610.0,Hookahs
199,2020-12-13,16610.0,Hookahs
200,2020-12-14,16610.0,Hookahs
201,2020-12-15,15538.0,Hookahs
202,2020-12-16,15465.0,Hookahs
203,2020-12-17,15465.0,Hookahs
204,2020-12-18,15465.0,Hookahs
205,2020-12-19,15465.0,Hookahs
206,2020-12-20,12942.0,Hookahs
207,2020-12-21,12942.0,Hookahs
208,2020-12-22,13743.0,Hookahs
209,2020-12-23,10913.0,Hookahs
210,2020-12-24,10913.0,Hookahs
211,2020-12-25,10913.0,Hookahs
212,2020-12-26,13291.0,Hookahs
213,2020-12-27,13291.0,Hookahs
214,2020-12-28,10613.0,Hookahs
215,2020-12-29,10613.0,Hookahs
216,2020-12-30,10613.0,Hookahs
217,2020-12-31,17088.0,Hookahs
218,2021-01-01,17088.0,Hookahs
219,2021-01-02,17088.0,Hookahs
220,2021-01-03,13656.0,Hookahs
221,2021-01-04,14999.0,Hookahs
222,2021-01-05,14999.0,Hookahs
223,2021-01-06,14999.0,Hookahs
224,2021-01-07,17172.0,Hookahs
225,2021-01-08,17172.0,Hookahs
226,2021-01-09,17172.0,Hookahs
227,2021-01-10,17172.0,Hookahs
228,2021-01-11,17151.0,Hookahs
229,2021-01-12,17151.0,Hookahs
230,2021-01-13,17151.0,Hookahs
231,2021-01-14,17151.0,Hookahs
232,2021-01-15,18044.0,Hookahs
233,2021-01-16,18044.0,Hookahs
234,2021-01-17,18044.0,Hookahs
235,2021-01-18,18044.0,Hookahs
236,2021-01-19,18044.0,Hookahs
237,2021-01-20,17947.0,Hookahs
238,2021-01-21,15268.0,Hookahs
239,2021-01-22,12857.0,Hookahs
240,2021-01-23,12857.0,Hookahs
241,2021-01-24,12857.0,Hookahs
242,2021-01-25,13553.0,Hookahs
243,2021-01-26,13553.0,Hookahs
244,2021-01-27,15055.0,Hookahs
245,2021-01-28,10846.0,Hookahs
246,2021-01-29,11869.0,Hookahs
247,2021-01-30,11869.0,Hookahs
248,2021-01-31,12672.0,Hookahs
249,2021-02-01,12672.0,Hookahs
250,2021-02-02,12672.0,Hookahs
251,2021-02-03,13258.0,Hookahs
252,2021-02-04,11730.0,Hookahs
253,2021-02-05,11730.0,Hookahs
254,2021-02-06,11730.0,Hookahs
255,2021-02-07,11730.0,Hookahs
256,2021-02-08,11730.0,Hookahs
257,2021-02-09,11903.0,Hookahs
258,2021-02-10,11903.0,Hookahs
259,2021-02-11,11903.0,Hookahs
260,2021-02-12,11903.0,Hookahs
261,2021-02-13,10966.0,Hookahs
262,2021-02-14,10966.0,Hookahs
263,2021-02-15,10966.0,Hookahs
264,2021-02-16,14039.0,Hookahs
265,2021-02-17,14039.0,Hookahs
266,2021-02-18,14039.0,Hookahs
267,2021-02-19,10966.0,Hookahs
268,2021-02-20,13834.0,Hookahs
269,2021-02-21,13834.0,Hookahs
270,2021-02-22,13834.0,Hookahs
271,2021-02-23,13834.0,Hookahs
272,2021-02-24,12846.0,Hookahs
273,2021-02-25,12846.0,Hookahs
274,2021-02-26,12378.0,Hookahs
275,2021-02-27,12378.0,Hookahs
276,2021-02-28,12378.0,Hookahs
277,2021-03-01,15984.0,Hookahs
278,2021-03-02,15984.0,Hookahs
279,2021-03-03,15984.0,Hookahs
280,2021-03-04,17129.0,Hookahs
281,2021-03-05,17129.0,Hookahs
282,2021-03-06,17129.0,Hookahs
283,2021-03-07,17641.0,Hookahs
284,2021-03-08,17537.0,Hookahs
285,2021-03-09,15945.0,Hookahs
286,2021-03-10,15945.0,Hookahs
287,2021-03-11,15945.0,Hookahs
288,2021-03-12,15945.0,Hookahs
289,2021-03-13,11702.0,Hookahs
290,2021-03-14,11702.0,Hookahs
291,2021-03-15,13364.0,Hookahs
292,2021-03-16,13364.0,Hookahs
293,2021-03-17,8918.0,Hookahs
294,2021-03-18,7550.0,Hookahs
295,2021-03-19,8555.0,Hookahs
296,2021-03-20,8555.0,Hookahs
297,2021-03-21,8555.0,Hookahs
298,2021-03-22,11917.0,Hookahs
299,2021-03-23,12188.0,Hookahs
300,2021-03-24,12188.0,Hookahs
301,2021-03-25,12188.0,Hookahs
302,2021-03-26,13104.0,Hookahs
303,2021-03-27,13104.0,Hookahs
304,2021-03-28,13104.0,Hookahs
305,2021-03-29,10371.0,Hookahs
306,2021-03-30,10371.0,Hookahs
307,2021-03-31,10371.0,Hookahs
308,2021-04-01,10371.0,Hookahs
309,2021-04-02,10121.0,Hookahs
310,2021-04-03,10121.0,Hookahs
311,2021-04-04,10121.0,Hookahs
312,2021-04-05,10121.0,Hookahs
313,2021-04-06,13016.0,Hookahs
314,2021-04-07,13016.0,Hookahs
315,2021-04-08,10281.0,Hookahs
316,2021-04-09,10281.0,Hookahs
317,2021-04-10,10281.0,Hookahs
318,2021-04-11,10281.0,Hookahs
319,2021-04-12,12791.0,Hookahs
320,2021-04-13,12791.0,Hookahs
321,2021-04-14,12791.0,Hookahs
322,2021-04-15,11692.0,Hookahs
323,2021-04-16,11692.0,Hookahs
324,2021-04-17,11692.0,Hookahs
325,2021-04-18,11692.0,Hookahs
326,2021-04-19,10271.0,Hookahs
327,2021-04-20,11516.0,Hookahs
328,2021-04-21,11045.0,Hookahs
329,2021-04-22,11483.0,Hookahs
330,2021-04-23,9117.0,Hookahs
331,2021-04-24,9117.0,Hookahs
332,2021-04-25,9117.0,Hookahs
333,2021-04-26,10530.0,Hookahs
334,2021-04-27,10181.0,Hookahs
335,2021-04-28,10181.0,Hookahs
336,2021-04-29,10181.0,Hookahs
337,2021-04-30,11211.0,Hookahs
338,2021-05-01,11211.0,Hookahs
339,2021-05-02,9607.0,Hookahs
340,2021-05-03,9607.0,Hookahs
341,2021-05-04,9607.0,Hookahs
342,2021-05-05,9947.0,Hookahs
343,2021-05-06,9947.0,Hookahs
344,2021-05-07,10181.0,Hookahs
345,2021-05-08,10181.0,Hookahs
346,2021-05-09,10181.0,Hookahs
347,2021-05-10,9479.0,Hookahs
348,2021-05-11,9479.0,Hookahs
349,2021-05-12,10384.0,Hookahs
350,2021-05-13,10384.0,Hookahs
351,2021-05-14,11396.0,Hookahs
352,2021-05-15,11944.0,Hookahs
353,2021-05-16,11944.0,Hookahs
354,2021-05-17,11944.0,Hookahs
355,2021-05-18,9984.0,Hookahs
356,2021-05-19,11482.0,Hookahs
357,2021-05-20,10845.0,Hookahs
358,2021-05-21,10117.0,Hookahs
359,2021-05-22,10117.0,Hookahs
360,2021-05-23,10897.0,Hookahs
361,2021-05-24,10897.0,Hookahs
362,2021-05-25,10897.0,Hookahs
363,2021-05-26,11042.0,Hookahs
364,2021-05-27,11042.0,Hookahs
365,2021-05-28,11042.0,Hookahs
366,2021-05-29,11042.0,Hookahs
367,2021-05-30,13147.0,Hookahs
368,2021-05-31,9705.0,Hookahs
369,2021-06-01,10388.0,Hookahs
370,2021-06-02,10388.0,Hookahs
371,2021-06-03,9454.0,Hookahs
372,2021-06-04,9454.0,Hookahs
