,date,value,name_B08F4R2PWD
0,2020-08-09,14070.0,Duvet Cover Sets
1,2020-08-10,14070.0,Duvet Cover Sets
2,2020-08-11,12085.0,Duvet Cover Sets
3,2020-08-12,11471.0,Duvet Cover Sets
4,2020-08-13,11471.0,Duvet Cover Sets
5,2020-08-14,11471.0,Duvet Cover Sets
6,2020-08-15,11471.0,Duvet Cover Sets
7,2020-08-16,11471.0,Duvet Cover Sets
8,2020-08-17,12416.0,Duvet Cover Sets
9,2020-08-18,12416.0,Duvet Cover Sets
10,2020-08-19,12416.0,Duvet Cover Sets
11,2020-08-20,11237.0,Duvet Cover Sets
12,2020-08-21,13948.0,Duvet Cover Sets
13,2020-08-22,13948.0,Duvet Cover Sets
14,2020-08-23,13948.0,Duvet Cover Sets
15,2020-08-24,10116.0,Duvet Cover Sets
16,2020-08-25,10116.0,Duvet Cover Sets
17,2020-08-26,10116.0,Duvet Cover Sets
18,2020-08-27,10116.0,Duvet Cover Sets
19,2020-08-28,12530.0,Duvet Cover Sets
20,2020-08-29,14997.0,Duvet Cover Sets
21,2020-08-30,14997.0,Duvet Cover Sets
22,2020-08-31,14997.0,Duvet Cover Sets
23,2020-09-01,12323.0,Duvet Cover Sets
24,2020-09-02,13636.0,Duvet Cover Sets
25,2020-09-03,13636.0,Duvet Cover Sets
26,2020-09-04,13636.0,Duvet Cover Sets
27,2020-09-05,12282.0,Duvet Cover Sets
28,2020-09-06,12282.0,Duvet Cover Sets
29,2020-09-07,12282.0,Duvet Cover Sets
30,2020-09-08,11423.0,Duvet Cover Sets
31,2020-09-09,11423.0,Duvet Cover Sets
32,2020-09-10,11423.0,Duvet Cover Sets
33,2020-09-11,13230.0,Duvet Cover Sets
34,2020-09-12,13230.0,Duvet Cover Sets
35,2020-09-13,13230.0,Duvet Cover Sets
36,2020-09-14,13174.0,Duvet Cover Sets
37,2020-09-15,13174.0,Duvet Cover Sets
38,2020-09-16,9395.0,Duvet Cover Sets
39,2020-09-17,12516.0,Duvet Cover Sets
40,2020-09-18,15403.0,Duvet Cover Sets
41,2020-09-19,15403.0,Duvet Cover Sets
42,2020-09-20,9221.0,Duvet Cover Sets
43,2020-09-21,9221.0,Duvet Cover Sets
44,2020-09-22,9091.0,Duvet Cover Sets
45,2020-09-23,9091.0,Duvet Cover Sets
46,2020-09-24,9091.0,Duvet Cover Sets
47,2020-09-25,9091.0,Duvet Cover Sets
48,2020-09-26,9091.0,Duvet Cover Sets
49,2020-09-27,12858.0,Duvet Cover Sets
50,2020-09-28,12858.0,Duvet Cover Sets
51,2020-09-29,14542.0,Duvet Cover Sets
52,2020-09-30,14542.0,Duvet Cover Sets
