,date,value,name_B07PX1P79L
0,2019-04-30,138452.0,Mattress Protectors
1,2019-05-01,138452.0,Mattress Protectors
2,2019-05-02,138452.0,Mattress Protectors
3,2019-05-03,138452.0,Mattress Protectors
4,2019-05-04,219686.0,Mattress Protectors
5,2019-05-05,370694.0,Mattress Protectors
6,2019-05-06,239676.0,Mattress Protectors
7,2019-05-07,421933.0,Mattress Protectors
8,2019-05-08,459981.0,Mattress Protectors
9,2019-05-09,157700.0,Mattress Protectors
10,2019-05-10,201105.0,Mattress Protectors
11,2019-05-11,156976.0,Mattress Protectors
12,2019-05-12,306688.0,Mattress Protectors
13,2019-05-13,175410.0,Mattress Protectors
14,2019-05-14,106978.0,Mattress Protectors
15,2019-05-15,96335.0,Mattress Protectors
16,2019-05-16,101290.0,Mattress Protectors
17,2019-05-17,151337.0,Mattress Protectors
18,2019-05-18,104152.0,Mattress Protectors
19,2019-05-19,122289.0,Mattress Protectors
20,2019-05-20,83153.0,Mattress Protectors
21,2019-05-21,101113.0,Mattress Protectors
22,2019-05-22,122709.0,Mattress Protectors
23,2019-05-23,71889.0,Mattress Protectors
24,2019-05-24,71889.0,Mattress Protectors
25,2019-05-25,61438.0,Mattress Protectors
26,2019-05-26,81822.0,Mattress Protectors
27,2019-05-27,52652.0,Mattress Protectors
28,2019-05-28,52652.0,Mattress Protectors
29,2019-05-29,61030.0,Mattress Protectors
30,2019-05-30,61030.0,Mattress Protectors
31,2019-05-31,27850.0,Mattress Protectors
32,2019-06-01,17354.0,Mattress Protectors
33,2019-06-02,17175.0,Mattress Protectors
34,2019-06-03,18186.0,Mattress Protectors
35,2019-06-04,20760.0,Mattress Protectors
36,2019-06-05,30364.0,Mattress Protectors
37,2019-06-06,41836.0,Mattress Protectors
38,2019-06-07,53856.0,Mattress Protectors
39,2019-06-08,72522.0,Mattress Protectors
40,2019-06-09,72522.0,Mattress Protectors
41,2019-06-10,93690.0,Mattress Protectors
42,2019-06-11,93690.0,Mattress Protectors
43,2019-06-12,145997.0,Mattress Protectors
44,2019-06-13,99592.0,Mattress Protectors
45,2019-06-14,99592.0,Mattress Protectors
46,2019-06-15,94626.0,Mattress Protectors
47,2019-06-16,94626.0,Mattress Protectors
48,2019-06-17,101298.0,Mattress Protectors
49,2019-06-18,86877.0,Mattress Protectors
50,2019-06-19,86877.0,Mattress Protectors
51,2019-06-20,94258.0,Mattress Protectors
